 	nous	faisons	la	cuisine	avec	le	sel	indigène	</S>
a66	0.27382	0.132306	0.117757	0.139095	0.131396	0.0979939	0.0507651	0.0319945	0.0248721
a10	0.198614	0.126156	0.0918945	0.0591734	0.102924	0.118295	0.0854046	0.110968	0.10657
a87	0.44504	0.205918	0.0687402	0.0501757	0.057931	0.0490192	0.0393166	0.0422572	0.0416022
a23	0.442803	0.223385	0.0743124	0.0489266	0.0611328	0.0522922	0.037247	0.0312294	0.0286715
a97	0.505721	0.22119	0.0733988	0.0377179	0.0399908	0.0385872	0.0357146	0.0238199	0.0238604
a10	0.398901	0.246248	0.111433	0.0494009	0.0545268	0.0506882	0.0502635	0.0209139	0.0176254
a99	0.395937	0.253814	0.115719	0.0448874	0.0473965	0.0476697	0.0579386	0.0204703	0.0161672
a62	0.416284	0.254501	0.0944433	0.0374292	0.0410094	0.0467339	0.0653408	0.0241802	0.0200786
a43	0.430581	0.266237	0.129609	0.0520543	0.0326185	0.022253	0.0276403	0.0220557	0.0169505
a21	0.285406	0.191067	0.140453	0.094536	0.0648297	0.0446064	0.0567322	0.0662023	0.0561681
a85	0.15765	0.157178	0.188317	0.159469	0.0984283	0.0546773	0.0600608	0.0712581	0.0529618
a6	0.10067	0.103674	0.155786	0.179281	0.128254	0.0819509	0.0716767	0.096745	0.0819629
a98	0.0911432	0.094955	0.176589	0.253957	0.152446	0.0717982	0.0494686	0.0577831	0.0518601
a47	0.0372631	0.0513022	0.139167	0.274699	0.191842	0.10553	0.071427	0.0688665	0.0599032
a21	0.0333827	0.0472222	0.145817	0.233886	0.152131	0.0936183	0.0834313	0.0946957	0.115815
a92	0.0500777	0.0566749	0.144613	0.217586	0.150459	0.0925881	0.0700154	0.105698	0.112287
a25	0.012133	0.0131649	0.0571832	0.151694	0.131593	0.114681	0.11537	0.186052	0.218129
a69	0.00765496	0.00928549	0.04438	0.16285	0.162372	0.151864	0.120498	0.145802	0.195293
a98	0.0112113	0.0130036	0.0544704	0.161497	0.153252	0.147515	0.118821	0.140285	0.199944
a92	0.0111861	0.0111452	0.0420869	0.126177	0.134664	0.146061	0.129396	0.158081	0.241202
a56	0.00500036	0.00391088	0.0167178	0.0703475	0.0990136	0.14302	0.171313	0.196243	0.294435
a96	0.00353991	0.00172847	0.00401981	0.0267163	0.0448927	0.0758849	0.13264	0.248238	0.46234
a37	0.0020734	0.000995109	0.00154425	0.00712914	0.0185082	0.0517649	0.108567	0.237748	0.57167
a70	0.00135128	0.000630965	0.000950109	0.00405834	0.0127219	0.0561814	0.122767	0.225366	0.575973
a66	0.00114056	0.000651676	0.00117208	0.00497549	0.0150289	0.0628409	0.127217	0.241569	0.545404
a26	0.0150543	0.0102499	0.0104102	0.0185726	0.0367953	0.106681	0.146518	0.188913	0.466805
a82	0.11072	0.0542767	0.0354118	0.0381896	0.0496976	0.0929123	0.121698	0.153624	0.34347
a87	0.216339	0.0870165	0.0329564	0.0256982	0.0298561	0.05665	0.0875639	0.152046	0.311875
a23	0.120533	0.0576055	0.0268158	0.0313295	0.0388614	0.0811984	0.127388	0.204577	0.311691
a97	0.0280983	0.0114219	0.00598695	0.00715482	0.0113828	0.0331496	0.088895	0.272279	0.541631
a87	0.00859418	0.00399766	0.00361485	0.00743095	0.0110718	0.0268403	0.0663141	0.275018	0.597119
a79	0.0120625	0.00583832	0.00325614	0.00620211	0.0107431	0.0278023	0.0672198	0.266199	0.600676
a26	0.029599	0.0164077	0.0100881	0.0118987	0.017635	0.0393722	0.100366	0.26419	0.510443
a27	0.0358514	0.0147381	0.0140553	0.0154163	0.0186571	0.0339864	0.083952	0.263118	0.520225
</S>	0.0240072	0.00891486	0.00861135	0.0127817	0.0157586	0.029117	0.0713575	0.272159	0.557293
