 	l'	homme	qui	venait	dans	cette	route	a	bifurqué	à	gauche	</S>
a66	0.155692	0.125054	0.116583	0.176914	0.132324	0.0993541	0.0797786	0.0508148	0.037128	0.0135702	0.00541425	0.00737246
a87	0.362705	0.271038	0.161775	0.101396	0.0275239	0.0120928	0.00814657	0.00646985	0.00533699	0.00624071	0.00891895	0.0283566
a23	0.337413	0.235105	0.144337	0.0794648	0.0460968	0.0300743	0.0214328	0.0193302	0.0152808	0.0122709	0.0149896	0.0442042
a79	0.331352	0.24819	0.164696	0.0732623	0.035198	0.023864	0.0166183	0.0168875	0.011954	0.00957454	0.0115241	0.0568786
a53	0.288041	0.183686	0.130802	0.0895275	0.0578476	0.0447348	0.0383038	0.0330714	0.0263747	0.0197263	0.0223645	0.065521
a93	0.309971	0.184061	0.158108	0.137721	0.0654953	0.0367845	0.0307459	0.0226396	0.0197309	0.0114272	0.00784762	0.015467
a70	0.237992	0.182021	0.19462	0.170186	0.0790146	0.0389801	0.0237741	0.0159553	0.0164973	0.0124023	0.00845108	0.0201067
a96	0.167073	0.152601	0.205753	0.195246	0.103113	0.057266	0.0316718	0.0218076	0.0209121	0.0147359	0.0108086	0.0190127
a62	0.149713	0.139718	0.196321	0.200797	0.1078	0.0634816	0.0352041	0.0266012	0.0256354	0.0189081	0.0138168	0.0220035
a47	0.12991	0.141383	0.179408	0.191774	0.119698	0.0809795	0.0472715	0.0358404	0.0315662	0.0188553	0.00980117	0.0135135
a88	0.0821865	0.0963036	0.124328	0.171914	0.133638	0.11522	0.070677	0.0589091	0.048155	0.0314605	0.0264666	0.0407426
a62	0.0452431	0.0673114	0.111378	0.188896	0.142593	0.131493	0.0847357	0.0744453	0.0663661	0.0344994	0.0210323	0.0320072
a21	0.037035	0.0539914	0.0816439	0.145615	0.12833	0.14563	0.107897	0.105822	0.0942982	0.0473425	0.0201623	0.0322334
a85	0.03639	0.0520772	0.0854605	0.149117	0.118103	0.136093	0.113888	0.106947	0.104183	0.0616078	0.0158367	0.0202979
a5	0.0150223	0.0265391	0.0578046	0.160334	0.143372	0.136238	0.0999744	0.0966714	0.0900615	0.0716144	0.0394103	0.0629588
a85	0.0145283	0.0214981	0.0402752	0.142714	0.154518	0.162988	0.131563	0.121887	0.10506	0.0555119	0.0191044	0.0303516
a47	0.00753063	0.0106878	0.0250995	0.129537	0.141198	0.157034	0.130052	0.115576	0.105945	0.0760766	0.0422312	0.0590329
a79	0.00360951	0.00458027	0.0093543	0.0505616	0.0958957	0.144325	0.155604	0.139903	0.124504	0.0853216	0.0549245	0.131417
a44	0.00326497	0.00437364	0.00831789	0.0439227	0.0925052	0.157202	0.163086	0.150573	0.127145	0.0786109	0.048785	0.122214
a58	0.00300491	0.00337591	0.00507831	0.024765	0.0790508	0.169289	0.176467	0.168816	0.132635	0.0693924	0.0423273	0.125799
a53	0.00411078	0.00368194	0.00391722	0.0124114	0.045594	0.125472	0.145385	0.161281	0.132681	0.0755427	0.0615249	0.228399
a4	0.00230293	0.00203132	0.00275342	0.0107336	0.0409705	0.117708	0.171712	0.181616	0.159113	0.108931	0.0691553	0.132973
a57	0.00179647	0.00152032	0.00221289	0.0106289	0.0368448	0.111407	0.157128	0.180092	0.155512	0.118219	0.0806709	0.143967
a82	0.00321077	0.00287527	0.00265334	0.00602456	0.0214637	0.0713346	0.0967256	0.122443	0.107439	0.0894698	0.0904109	0.385949
a87	0.0127568	0.0125984	0.0145467	0.0227335	0.0379873	0.0742054	0.0904877	0.125565	0.0997303	0.0910817	0.106421	0.311886
a23	0.0284636	0.0232984	0.0250777	0.0364971	0.0457578	0.0650042	0.0751414	0.0938369	0.0907897	0.100494	0.12655	0.289089
a40	0.0019983	0.00161245	0.00183721	0.00353026	0.00573148	0.013771	0.018409	0.0270563	0.0417504	0.0683082	0.184958	0.631038
a7	0.0021146	0.0021611	0.00319395	0.0101107	0.0172898	0.0449306	0.0679906	0.084014	0.0914981	0.0876163	0.157435	0.431645
a2	0.000322656	0.000353859	0.000562263	0.00213515	0.00566566	0.0176009	0.027816	0.0368492	0.0435829	0.0677482	0.203903	0.593461
a54	0.00132797	0.00141828	0.00157846	0.00261004	0.0041951	0.00995291	0.0120453	0.0168509	0.0215715	0.0496848	0.250847	0.627918
a36	0.000588437	0.000721435	0.00125342	0.00461129	0.00728914	0.0178438	0.0312374	0.0512925	0.0569522	0.0904792	0.216729	0.521002
a0	0.000299318	0.000317366	0.000507803	0.00174804	0.00377389	0.00855192	0.0130765	0.0194946	0.0234206	0.0500155	0.257843	0.620952
a11	0.000756037	0.000754105	0.000892138	0.00221139	0.00346155	0.00688826	0.00789383	0.012424	0.0143393	0.043911	0.329483	0.576985
a75	0.000821626	0.000858454	0.00088559	0.00184045	0.00261473	0.00481827	0.00573877	0.00949992	0.0104629	0.0327962	0.322309	0.607354
a37	0.000145704	0.000161816	0.000238033	0.000982611	0.00253009	0.00576474	0.00844177	0.0129031	0.0135335	0.0344822	0.257045	0.663771
a90	0.000215327	0.000228913	0.000294505	0.000956011	0.00151165	0.00277567	0.00347919	0.00607422	0.00639805	0.0194544	0.254368	0.704244
a21	0.000156767	0.000179567	0.000264707	0.00101775	0.00214819	0.00503427	0.00744957	0.0108179	0.0108212	0.0226986	0.212655	0.726757
a56	0.00011171	0.000101689	0.000138254	0.000613603	0.00122523	0.00319398	0.00543841	0.00891977	0.0098322	0.0278989	0.263666	0.67886
a96	0.000122022	0.000113092	0.000135146	0.000573074	0.00101532	0.00222	0.00337434	0.00587523	0.00562781	0.0164523	0.225392	0.7391
a56	0.000284758	0.000270572	0.000347069	0.00127855	0.00169284	0.00288186	0.00338291	0.00573302	0.00594706	0.0225136	0.285017	0.670651
a0	0.000189169	0.0001875	0.000254003	0.00100664	0.00155784	0.00277981	0.00345505	0.00579602	0.00578056	0.021557	0.281632	0.675804
a88	0.000272271	0.000257514	0.000332203	0.0010852	0.00167907	0.00273076	0.00261918	0.00441886	0.00561647	0.0211926	0.250635	0.709161
a71	0.000595739	0.000573081	0.000629209	0.00166682	0.00270152	0.00417986	0.00403493	0.00687182	0.00798482	0.0259964	0.299494	0.645272
a9	0.00977392	0.00823639	0.00794361	0.0136735	0.0185994	0.0258672	0.0353307	0.0407503	0.0581525	0.111518	0.303198	0.366957
a87	0.0894998	0.0541048	0.0447073	0.0552105	0.0571983	0.0616339	0.0732942	0.0689957	0.0900784	0.111177	0.150533	0.143567
a23	0.16307	0.115072	0.0806765	0.0608757	0.0537747	0.0562253	0.0587408	0.0524801	0.0627638	0.0658777	0.110583	0.11986
a87	0.105862	0.0696982	0.0417119	0.0318468	0.0258156	0.0325526	0.043399	0.0509513	0.0503148	0.0780907	0.152596	0.317162
</S>	0.0141389	0.0101709	0.00820995	0.0140328	0.0157846	0.020431	0.022345	0.0252802	0.0259808	0.042558	0.168144	0.632923
