 	mon	argent	a	disparu	</S>
a66	0.43265	0.240885	0.16977	0.0976372	0.0590574
a87	0.244343	0.197386	0.22586	0.185949	0.146461
a97	0.458249	0.24578	0.140496	0.0914821	0.0639919
a83	0.515622	0.250882	0.12272	0.0675822	0.0431935
a98	0.501346	0.279594	0.125087	0.0608271	0.0331465
a79	0.462506	0.316489	0.131705	0.0573073	0.0319926
a25	0.350046	0.327165	0.178124	0.0886712	0.0559931
a56	0.254403	0.273954	0.201069	0.143417	0.127157
a21	0.193245	0.241732	0.22905	0.179973	0.156
a12	0.119139	0.160266	0.21914	0.244911	0.256544
a62	0.0767343	0.10465	0.177217	0.275989	0.36541
a31	0.0462267	0.0634057	0.12855	0.278943	0.482874
a21	0.0312557	0.0436145	0.103517	0.273389	0.548224
a47	0.0209476	0.0303009	0.083092	0.263096	0.602564
a96	0.0214698	0.0306548	0.0889204	0.27234	0.586616
a66	0.0150148	0.0228846	0.0741807	0.256399	0.63152
a9	0.0222224	0.0354488	0.0861486	0.240966	0.615214
a99	0.120064	0.101106	0.122017	0.210145	0.446668
a3	0.156507	0.117388	0.134226	0.222978	0.368901
a97	0.118719	0.0994776	0.133963	0.251861	0.39598
a99	0.12707	0.0931959	0.118809	0.236883	0.424041
a97	0.0415996	0.0409158	0.0719375	0.223712	0.621835
a99	0.0734424	0.0789426	0.128017	0.25528	0.464318
a87	0.0405045	0.0493732	0.101582	0.251423	0.557117
</S>	0.0701529	0.0822817	0.135686	0.259882	0.451997
