 	il	est	borgne	de	naissance	</S>
a23	0.638775	0.165487	0.0600068	0.0280515	0.0397807	0.0678995
a53	0.611422	0.195624	0.0727049	0.0407468	0.0364236	0.0430793
a15	0.281115	0.154605	0.129652	0.112226	0.14786	0.174542
a92	0.41142	0.276507	0.179629	0.0636981	0.0416998	0.0270464
a37	0.304649	0.295198	0.218537	0.0886657	0.0559126	0.037038
a61	0.29026	0.270809	0.18955	0.099021	0.0793643	0.0709958
a66	0.248533	0.223946	0.183887	0.136248	0.111153	0.0962327
a31	0.187351	0.220703	0.212729	0.168779	0.11248	0.0979586
a0	0.135338	0.165374	0.188441	0.227555	0.173995	0.109298
a62	0.108837	0.130998	0.148837	0.234388	0.216324	0.160617
a34	0.0636353	0.0774345	0.100925	0.239802	0.313277	0.204927
a90	0.0288307	0.0416301	0.0635944	0.207653	0.37046	0.287832
a69	0.0246714	0.0399009	0.0625702	0.209046	0.362373	0.301438
a58	0.0161671	0.0271548	0.0399002	0.125568	0.312602	0.478609
a84	0.0106441	0.0135496	0.0198335	0.0849548	0.258013	0.613005
a87	0.0111134	0.00911977	0.0107323	0.0416174	0.178751	0.748666
a23	0.208841	0.138099	0.106388	0.110075	0.157601	0.278996
a87	0.206577	0.167656	0.129277	0.116267	0.163815	0.216408
</S>	0.0578045	0.066197	0.0784898	0.125118	0.273283	0.399107
