 	quelle	heure	est-il	</S>
a82	0.561049	0.201562	0.164102	0.0732867
a3	0.366582	0.295342	0.265336	0.0727408
a97	0.78053	0.148205	0.045887	0.0253772
a87	0.798865	0.15728	0.0301829	0.0136728
a23	0.767787	0.189059	0.0297005	0.013454
a87	0.792538	0.145489	0.0328495	0.0291236
a23	0.807813	0.153248	0.025172	0.0137672
a99	0.694323	0.202216	0.0559873	0.0474738
a50	0.544882	0.299921	0.0725384	0.0826589
a88	0.500088	0.291148	0.110934	0.0978296
a71	0.334775	0.368339	0.170607	0.12628
a75	0.250907	0.347561	0.243683	0.15785
a5	0.294005	0.33849	0.217267	0.150238
a24	0.173871	0.298829	0.334033	0.193267
a47	0.0970361	0.211919	0.372775	0.318269
a62	0.152064	0.227279	0.34693	0.273727
a47	0.0483322	0.125094	0.37535	0.451224
a88	0.0657029	0.13875	0.372459	0.423088
a71	0.0167131	0.0465565	0.292968	0.643762
a9	0.015453	0.0274667	0.181186	0.775894
a97	0.0410422	0.0689408	0.226599	0.663418
a87	0.185526	0.15569	0.297616	0.361168
a23	0.267917	0.183944	0.265202	0.282938
a99	0.183302	0.144477	0.287877	0.384344
a9	0.0824739	0.115702	0.261899	0.539925
a44	0.0752498	0.0999855	0.2331	0.591664
</S>	0.0741312	0.100378	0.191849	0.633642
