 	celui-ci	est	mon	enfant	celui-là	est	mon	neveu	</S>
a66	0.230866	0.171436	0.109959	0.0888698	0.118243	0.119068	0.0894393	0.0485054	0.0236136
a87	0.424945	0.207548	0.0925457	0.0640593	0.0585478	0.0595129	0.0404743	0.0307077	0.0216586
a97	0.280918	0.177592	0.118252	0.111057	0.132856	0.0815882	0.0451451	0.028774	0.0238184
a30	0.176751	0.149708	0.126314	0.14163	0.223047	0.0997843	0.0401181	0.0235846	0.0190616
a53	0.293948	0.194868	0.120382	0.121362	0.151363	0.0545469	0.0256775	0.0171438	0.0207088
a90	0.25873	0.194598	0.139198	0.132373	0.130291	0.0766887	0.0399468	0.0165856	0.0115874
a98	0.138244	0.137164	0.150788	0.184074	0.180171	0.104801	0.0628112	0.0268714	0.0150747
a92	0.102718	0.127878	0.156535	0.194461	0.172117	0.116989	0.0749929	0.0347072	0.0196018
a37	0.133613	0.135954	0.158815	0.168517	0.144879	0.103171	0.0820152	0.0439357	0.0290999
a75	0.0950852	0.109986	0.135245	0.187404	0.185046	0.119117	0.0820731	0.0498734	0.0361709
a6	0.0875164	0.110202	0.140165	0.152761	0.122653	0.104751	0.118117	0.0915329	0.0723016
a7	0.0631909	0.0831013	0.113818	0.152756	0.123347	0.107857	0.130327	0.116526	0.109076
a26	0.0432176	0.0569811	0.0745482	0.0999491	0.0935586	0.107047	0.147323	0.163219	0.214156
a57	0.0185454	0.0222919	0.0296383	0.0413575	0.0712922	0.122168	0.180991	0.218606	0.295109
a30	0.0118717	0.0136076	0.0188052	0.0287147	0.0513202	0.103002	0.192366	0.26009	0.320222
a4	0.0127903	0.0114095	0.0140828	0.0205895	0.0292591	0.0750404	0.183664	0.287359	0.365805
a94	0.0103125	0.0104942	0.0126997	0.0186889	0.0248535	0.063969	0.175697	0.267932	0.415353
a44	0.00297972	0.00294798	0.00370459	0.00645993	0.0101538	0.0389914	0.140742	0.294206	0.499815
a79	0.00184654	0.00186538	0.00241108	0.00432892	0.00685296	0.0269914	0.102538	0.266998	0.586168
a36	0.000687598	0.000728955	0.00104122	0.00203035	0.00329567	0.015294	0.0723773	0.240684	0.663861
a6	0.000954495	0.00098916	0.00135371	0.00269589	0.00371907	0.0112586	0.0426767	0.186318	0.750035
a7	0.000435064	0.00044206	0.000632866	0.00137851	0.00171844	0.00726658	0.0357536	0.179973	0.7724
a44	0.0014404	0.00145217	0.00182532	0.00342418	0.00378296	0.009896	0.0354376	0.162436	0.780306
a26	0.00150781	0.00164951	0.00210609	0.00408073	0.00428811	0.0116882	0.0395991	0.157197	0.777883
a9	0.0194892	0.0139162	0.0112477	0.0151686	0.0117973	0.0208629	0.0687467	0.201441	0.637331
a82	0.15073	0.0909125	0.0596275	0.0547012	0.0374497	0.0421777	0.077293	0.172891	0.314217
a97	0.166191	0.119721	0.0900735	0.0765445	0.0580649	0.0507379	0.0627014	0.137141	0.238824
a87	0.133269	0.102963	0.085801	0.0761391	0.0569157	0.0507248	0.0713996	0.165656	0.257132
a97	0.116047	0.0947539	0.0810825	0.0754874	0.0597522	0.054887	0.0826154	0.18056	0.254815
a99	0.0638616	0.0560264	0.0632719	0.0681613	0.067215	0.0626141	0.0919857	0.207146	0.319718
a97	0.0442415	0.0378588	0.0466578	0.0458623	0.0475114	0.062528	0.102979	0.21177	0.400591
</S>	0.0808865	0.072761	0.0814149	0.0664977	0.0633743	0.0681748	0.0916743	0.159845	0.315371
