 	la	construction	du	bâtiment	de	l'	école	concerne	tout	le	village	</S>
a66	0.359022	0.176061	0.0944729	0.0403495	0.0562291	0.0746668	0.0734272	0.0515184	0.0391968	0.0185797	0.00913081	0.00734576
a10	0.332301	0.198552	0.112659	0.0396602	0.0450871	0.0567811	0.0680436	0.0553109	0.0349618	0.0222593	0.0163159	0.0180678
a97	0.0707561	0.080584	0.0598862	0.0915427	0.14189	0.212139	0.209382	0.0898151	0.0170393	0.0100511	0.00737659	0.009538
a83	0.079981	0.131482	0.109566	0.152187	0.174501	0.177526	0.122789	0.0264304	0.00820811	0.00606397	0.00477072	0.00649445
a50	0.175802	0.258437	0.165266	0.122153	0.117853	0.0674672	0.0490214	0.0153795	0.0078981	0.00695902	0.00607397	0.00769097
a83	0.134362	0.16502	0.162227	0.178823	0.197885	0.0800252	0.0437416	0.00985984	0.0080217	0.00688856	0.00622581	0.0069194
a71	0.130454	0.146313	0.155349	0.200973	0.180369	0.0905357	0.0514183	0.0128982	0.00917054	0.00804979	0.0069986	0.00747005
a9	0.0805067	0.0976755	0.132044	0.223045	0.184019	0.110522	0.0793739	0.0311473	0.0194702	0.0156276	0.0128707	0.0136988
a90	0.0751088	0.0571778	0.0721246	0.125858	0.152237	0.12997	0.110104	0.0685141	0.0635921	0.053199	0.0446706	0.0474431
a93	0.094937	0.120648	0.142673	0.168187	0.157585	0.10387	0.0760394	0.0380163	0.0299435	0.0247097	0.0215044	0.0218867
a90	0.127322	0.145128	0.17695	0.168921	0.118393	0.0823121	0.0728261	0.0407126	0.0226522	0.0166491	0.0139432	0.0141904
a98	0.112926	0.101319	0.140933	0.150192	0.12059	0.105065	0.104775	0.0702206	0.0349941	0.0229292	0.018188	0.0178685
a92	0.0823328	0.0608446	0.097057	0.110134	0.120137	0.126277	0.127612	0.0788069	0.0733255	0.0543454	0.0379215	0.031206
a5	0.0973757	0.0553785	0.0834858	0.0912852	0.120126	0.145205	0.148431	0.101295	0.0576095	0.0407044	0.0311671	0.0279382
a12	0.0436012	0.0317033	0.0543302	0.0794189	0.125082	0.177084	0.190384	0.138367	0.0574779	0.0413206	0.0328139	0.0284166
a21	0.0166585	0.0130386	0.0230045	0.0364576	0.0743095	0.144532	0.198005	0.227849	0.0981084	0.0704236	0.0532291	0.0443844
a5	0.00744591	0.00686096	0.0124311	0.0206346	0.0450193	0.102809	0.162005	0.23329	0.125186	0.10876	0.0961809	0.0793781
