 	approche-toi	de	la	table	</S>
a23	0.335989	0.246396	0.157206	0.120835	0.139574
a38	0.474253	0.240839	0.114477	0.0820995	0.0883321
a41	0.419726	0.206546	0.122745	0.120044	0.130939
a35	0.522322	0.257563	0.107327	0.0705549	0.0422332
a14	0.487815	0.29674	0.118053	0.0611754	0.0362169
a35	0.481422	0.297515	0.121689	0.0598067	0.0395677
a75	0.446616	0.302801	0.143454	0.0642639	0.0428655
a41	0.321872	0.267768	0.191098	0.128773	0.0904895
a47	0.231673	0.234249	0.214803	0.177867	0.141408
a43	0.126343	0.163075	0.24042	0.250504	0.219658
a75	0.110103	0.131412	0.219049	0.264501	0.274935
a14	0.0816457	0.111427	0.223586	0.295098	0.288242
a2	0.062748	0.088538	0.195117	0.305317	0.348279
a57	0.0314227	0.0423604	0.0994446	0.231915	0.594857
a87	0.0196043	0.0215931	0.0541491	0.20119	0.703463
</S>	0.0362096	0.0497059	0.110429	0.268555	0.5351
