 	il	a	donné	un	coup	de	pied	au	chien	pour	rien	</S>
a66	0.259506	0.195119	0.139609	0.104082	0.0907188	0.0724519	0.0551582	0.0327571	0.0176242	0.0112397	0.0105821	0.0111522
a87	0.265304	0.161092	0.123642	0.0982936	0.0912372	0.0682951	0.0476983	0.0429189	0.0298627	0.0241043	0.0219831	0.0255682
a23	0.401453	0.24115	0.144668	0.0691291	0.0379406	0.0223566	0.0134434	0.01249	0.0115435	0.0127784	0.0142348	0.0188136
a79	0.289994	0.24002	0.156322	0.0739993	0.0438782	0.0233442	0.0135582	0.0209136	0.0240083	0.0288906	0.031976	0.0530964
a54	0.184572	0.144952	0.115628	0.0821885	0.0784903	0.0600343	0.0469215	0.0402521	0.0441931	0.0536808	0.0597043	0.0893835
a6	0.106449	0.124696	0.130517	0.122183	0.133488	0.0949646	0.0797654	0.0477698	0.0395233	0.0397721	0.0380347	0.0428369
a0	0.0664517	0.104589	0.136247	0.157206	0.191525	0.129442	0.0906012	0.0382882	0.0262525	0.0228	0.018594	0.0180031
a43	0.0775429	0.111081	0.141225	0.167498	0.195617	0.120716	0.0736129	0.0297652	0.0198457	0.020718	0.0197813	0.0225975
a31	0.0662528	0.0940544	0.124844	0.166741	0.211711	0.135859	0.0811282	0.0307928	0.0203197	0.0204602	0.0213429	0.026494
a61	0.0582837	0.0714851	0.103396	0.161726	0.216183	0.161808	0.0968844	0.0325865	0.020612	0.0225314	0.0245462	0.029958
a96	0.0522011	0.0559784	0.0876428	0.149657	0.210699	0.183386	0.122322	0.0419038	0.0221022	0.0220057	0.0238074	0.0282942
a98	0.0455254	0.0451228	0.0731305	0.13479	0.197197	0.2015	0.143354	0.0521345	0.0255332	0.0245993	0.0263254	0.0307877
a85	0.0417465	0.0382681	0.0594222	0.105449	0.141226	0.172299	0.15549	0.0744614	0.0411123	0.0454087	0.0553708	0.069747
a92	0.0340416	0.0285815	0.045451	0.0826812	0.106943	0.149829	0.15461	0.0996255	0.0597879	0.0644402	0.0780141	0.095995
a36	0.0247144	0.0212561	0.0328737	0.0624068	0.0798932	0.118094	0.132992	0.118836	0.0888112	0.0928164	0.107584	0.119723
a21	0.0234345	0.0183479	0.0217209	0.0314534	0.040001	0.0744786	0.117366	0.151161	0.121135	0.114407	0.128996	0.1575
a12	0.00986944	0.00805289	0.00942669	0.0129392	0.0149755	0.0244821	0.0449964	0.107132	0.156554	0.181339	0.20717	0.223063
a47	0.00707568	0.00639269	0.00775841	0.0110926	0.0128902	0.0217786	0.0393815	0.0930197	0.165098	0.194171	0.208001	0.233341
a62	0.00505788	0.00468858	0.00578719	0.00775548	0.00923082	0.0152938	0.02614	0.0590663	0.131927	0.220325	0.245159	0.26957
a88	0.00478644	0.00473151	0.00570342	0.00759376	0.00823021	0.010645	0.0166366	0.0389006	0.102536	0.209574	0.274201	0.316463
a24	0.00290747	0.00270604	0.00312189	0.0041917	0.00461334	0.00665231	0.0109487	0.024744	0.0705685	0.190427	0.282719	0.3964
a88	0.00655637	0.0056861	0.0064896	0.00784519	0.00687691	0.00909546	0.0148876	0.0266643	0.0673093	0.172371	0.282155	0.394064
a62	0.00189118	0.00156895	0.00171731	0.00230804	0.00253348	0.00443737	0.00946446	0.0217384	0.0638327	0.18159	0.296191	0.412727
a56	0.00105244	0.000934019	0.00106873	0.00152603	0.00179129	0.00299953	0.00608319	0.0157924	0.0507411	0.164728	0.301721	0.451562
a93	0.000396047	0.000311313	0.00036065	0.000539693	0.000637321	0.00121326	0.00293512	0.00910063	0.0358636	0.142723	0.301473	0.504446
a90	0.000448897	0.000361186	0.000418951	0.000638572	0.00072801	0.00136376	0.00318299	0.00962431	0.0398208	0.156923	0.308894	0.477596
a15	0.000242262	0.000154885	0.000165761	0.000218437	0.000233527	0.000473103	0.00153145	0.00704164	0.034508	0.141817	0.311826	0.501788
a7	0.000377542	0.000223332	0.000228987	0.000310277	0.000358796	0.000793473	0.00294519	0.0110814	0.0420018	0.143029	0.298324	0.500326
a84	0.000751907	0.000527789	0.000573137	0.000762518	0.000909874	0.00184155	0.00589993	0.018979	0.0594502	0.167628	0.30584	0.436836
a87	0.0273126	0.0197804	0.0216591	0.0281779	0.0271348	0.0367855	0.0548707	0.0728007	0.108367	0.150795	0.201614	0.250702
a23	0.271118	0.164443	0.137924	0.100622	0.0619494	0.0445976	0.0353581	0.0383211	0.0389077	0.0345464	0.0346427	0.0375695
a99	0.0779593	0.0435473	0.0351473	0.0259003	0.0167491	0.0125578	0.014756	0.0321271	0.0706426	0.164501	0.245955	0.260158
a87	0.0287711	0.0131011	0.0100549	0.00741039	0.00518499	0.00463461	0.0064	0.0175229	0.0600729	0.188912	0.297193	0.360742
</S>	0.00854922	0.0041071	0.00358027	0.00298652	0.00231653	0.00235886	0.00366878	0.0134321	0.0503646	0.177532	0.291852	0.439251
