 	il	n'	y	a	pas	d'	acheteur	pour	ces	marchandises	</S>
a23	0.229896	0.220924	0.139639	0.133285	0.0744332	0.0645497	0.0335162	0.0406256	0.0210403	0.022633	0.0194571
a38	0.170913	0.182987	0.185147	0.153425	0.0689679	0.050411	0.0488324	0.0488331	0.0290493	0.034614	0.0268194
a75	0.166277	0.169475	0.158312	0.160366	0.0860044	0.078945	0.0534144	0.0467627	0.0259589	0.0289694	0.0255154
a41	0.213679	0.207692	0.131858	0.137084	0.0789243	0.085874	0.0785808	0.0364151	0.0153843	0.00849468	0.006014
a14	0.174662	0.171708	0.125351	0.164865	0.108294	0.105117	0.079536	0.0407287	0.0150789	0.00879063	0.00586876
a66	0.16866	0.156787	0.126743	0.159613	0.113575	0.106078	0.0730902	0.0556626	0.0219159	0.010847	0.00702804
a26	0.150132	0.136946	0.106424	0.136036	0.113303	0.127796	0.0834935	0.0647962	0.0367531	0.0247023	0.0196191
a83	0.109485	0.0983815	0.0797764	0.10777	0.1161	0.155575	0.101766	0.091024	0.0592767	0.0431846	0.0376612
a25	0.112762	0.102317	0.0874678	0.120285	0.121484	0.149219	0.106735	0.0868632	0.0527036	0.0346308	0.0255315
a87	0.100746	0.0807213	0.0641284	0.0944124	0.115451	0.158504	0.103429	0.089929	0.0717927	0.0689625	0.051924
a23	0.0714446	0.0667661	0.054044	0.0801284	0.0976305	0.149302	0.105318	0.0988601	0.0936509	0.107127	0.0757294
a26	0.0641399	0.0542637	0.0484442	0.0779874	0.103903	0.167165	0.144991	0.094765	0.0942922	0.0904519	0.0595967
a24	0.100217	0.0828802	0.0672571	0.0984676	0.11376	0.174471	0.129105	0.0636701	0.0666298	0.0633162	0.0402255
a71	0.102337	0.094474	0.0906062	0.110352	0.115664	0.146928	0.15148	0.0680931	0.0483612	0.0401594	0.0315457
a38	0.0585369	0.0547053	0.0568026	0.074934	0.0971196	0.132774	0.137489	0.0921636	0.0930218	0.119209	0.0832435
a26	0.0577636	0.05268	0.050341	0.0712578	0.0933572	0.132111	0.11254	0.0887867	0.0953439	0.142017	0.103802
a41	0.0437698	0.0426292	0.0497105	0.0702747	0.100012	0.133509	0.114805	0.0904779	0.0905874	0.146805	0.11742
a14	0.0496584	0.053384	0.0599534	0.0812149	0.0927908	0.117208	0.0923961	0.0956373	0.0896526	0.142965	0.12514
a35	0.0502109	0.0558198	0.0637963	0.0750082	0.0726829	0.0913696	0.0904357	0.0990644	0.0961371	0.160534	0.144941
a11	0.0344158	0.0393861	0.0417307	0.0498714	0.047554	0.0643356	0.0500159	0.0660428	0.0970971	0.223265	0.286285
a75	0.0122477	0.0147767	0.0202767	0.0279716	0.0346354	0.0513183	0.0536033	0.0689431	0.108139	0.242394	0.365694
a76	0.016134	0.0183487	0.0181564	0.0208512	0.0192608	0.0271558	0.0272314	0.0444524	0.0869372	0.238073	0.483399
a35	0.0195939	0.0203585	0.0173655	0.0194943	0.0160583	0.0210954	0.0177574	0.025122	0.0782897	0.20473	0.560135
a66	0.00950011	0.0108433	0.0105336	0.0113037	0.0101375	0.0143892	0.0174393	0.0269301	0.0714337	0.23226	0.58523
a26	0.00726813	0.00783757	0.00911584	0.0110305	0.011452	0.0152604	0.0217475	0.0287933	0.0693882	0.220746	0.59736
a24	0.00323438	0.00337309	0.00426809	0.00546697	0.00684314	0.010168	0.0170487	0.0252526	0.0734987	0.214005	0.636842
a25	0.00233938	0.00286085	0.00370737	0.00435189	0.00593063	0.00911628	0.0192518	0.0276979	0.0727475	0.19124	0.660756
a38	0.00909273	0.00891341	0.00881915	0.00985477	0.0083999	0.0115906	0.0174576	0.0255663	0.0685895	0.186628	0.645087
a75	0.00671094	0.00674686	0.00795781	0.00924702	0.00892524	0.011613	0.016697	0.0230952	0.0579614	0.169199	0.681847
a14	0.00172141	0.00165573	0.00180017	0.00238022	0.00328037	0.00513121	0.00643096	0.0102128	0.04252	0.174115	0.750752
a73	0.00171853	0.00172559	0.00196004	0.00245394	0.00323993	0.00481943	0.00610639	0.010532	0.0410771	0.178683	0.747684
a57	0.00452008	0.00457963	0.00547804	0.00623236	0.00709282	0.00938558	0.0133353	0.0218227	0.056572	0.194764	0.676218
a87	0.0151809	0.0156938	0.0194198	0.0220497	0.0244871	0.0299527	0.0478344	0.0517231	0.0959427	0.206255	0.471461
</S>	0.0190738	0.0166101	0.0188599	0.024342	0.0292575	0.0514494	0.0688805	0.0542311	0.107441	0.204879	0.404976
