 	l'	enfant	efface	ce	qu'	il	a	écrit	</S>
a87	0.173618	0.123831	0.202852	0.175569	0.150346	0.0738284	0.0525932	0.0277548	0.0196087
a23	0.338156	0.119788	0.111943	0.113501	0.0701905	0.0619632	0.0546489	0.0475432	0.0822673
a70	0.349351	0.229636	0.0990353	0.0630238	0.0506855	0.0416865	0.0454094	0.04101	0.0801631
a98	0.412046	0.273323	0.139032	0.0574159	0.0416491	0.0239165	0.020568	0.0144656	0.0175843
a6	0.518714	0.327751	0.0745811	0.019594	0.0171056	0.0111677	0.0109019	0.00750436	0.0126806
a85	0.374977	0.326721	0.111699	0.041626	0.041758	0.0279258	0.0258621	0.0197989	0.0296311
a18	0.304202	0.255544	0.175111	0.0693466	0.0674071	0.0462951	0.0337791	0.0214429	0.0268713
a61	0.265506	0.293515	0.218764	0.0670787	0.0575361	0.032544	0.0268454	0.0189193	0.0192917
a47	0.246235	0.274667	0.236318	0.0847471	0.0744221	0.0342878	0.0212336	0.0137	0.01439
a88	0.169398	0.215504	0.259443	0.116306	0.104046	0.0554351	0.034916	0.022897	0.0220551
a61	0.108021	0.158988	0.27879	0.158158	0.139779	0.0700709	0.037016	0.0244104	0.0247664
a0	0.0902069	0.124911	0.272687	0.173363	0.156497	0.0844088	0.0426495	0.0276019	0.027675
a75	0.0543445	0.0744351	0.201424	0.194125	0.196095	0.121569	0.0614697	0.0458033	0.0507335
a85	0.0675504	0.0770171	0.136845	0.153922	0.151013	0.140119	0.103468	0.0816628	0.0884023
a26	0.0696299	0.0788734	0.130315	0.152733	0.138288	0.128007	0.102401	0.0941572	0.105596
a57	0.0537231	0.0547563	0.077014	0.147341	0.185129	0.192388	0.0989254	0.0755946	0.115128
a62	0.0418347	0.0380061	0.0614597	0.143459	0.181519	0.200844	0.131314	0.0943969	0.107167
a96	0.0363719	0.0418423	0.0721307	0.148034	0.18988	0.216434	0.127337	0.0761736	0.0917966
a98	0.0279906	0.0325137	0.066306	0.131745	0.164958	0.23496	0.16172	0.0968867	0.082921
a85	0.0275495	0.0329049	0.0606693	0.109503	0.122196	0.175063	0.135156	0.146146	0.190811
a27	0.0421278	0.0464121	0.0662948	0.107498	0.117729	0.170898	0.142095	0.135529	0.171416
a57	0.0308624	0.0242915	0.0333183	0.0571568	0.0746204	0.1332	0.148216	0.188683	0.309651
a38	0.0188828	0.0117192	0.0193696	0.0429194	0.0565534	0.121329	0.157848	0.222829	0.348549
a21	0.0116224	0.00867437	0.014872	0.0357084	0.0513976	0.117409	0.152559	0.247704	0.360054
a96	0.0202956	0.0175126	0.0281867	0.05669	0.0682909	0.118837	0.129005	0.1994	0.361781
a83	0.0112951	0.01084	0.0235383	0.0483625	0.0545865	0.102366	0.124176	0.232113	0.392723
a93	0.00621002	0.005665	0.0130391	0.0301795	0.0367008	0.0775185	0.112961	0.260559	0.457167
a4	0.00594586	0.0058525	0.0123769	0.033617	0.0458963	0.104551	0.137234	0.258466	0.39606
a69	0.00237736	0.00232521	0.00715607	0.0190679	0.0234359	0.0594747	0.0995799	0.257453	0.52913
a84	0.0046225	0.00472613	0.0111131	0.0270394	0.0318398	0.067781	0.0968561	0.239008	0.517013
a57	0.00143328	0.000976458	0.00270513	0.00958091	0.0108741	0.0336599	0.0706517	0.226727	0.643392
a87	0.0206668	0.00878185	0.00901248	0.0171066	0.0139841	0.0344222	0.0770875	0.233737	0.585201
a23	0.117807	0.0494688	0.0429407	0.0618699	0.0444226	0.0868191	0.154148	0.175406	0.267118
a87	0.138157	0.0493783	0.0313639	0.0560377	0.0463726	0.0861318	0.141523	0.174406	0.27663
a23	0.0771073	0.03516	0.041122	0.0652582	0.0488232	0.0727584	0.121004	0.189851	0.348916
a87	0.0648138	0.0310173	0.0376241	0.0698713	0.0538907	0.0772548	0.111859	0.179092	0.374577
a23	0.0439295	0.0202678	0.0198101	0.0461876	0.0350409	0.0604235	0.102855	0.198814	0.472671
a87	0.0754153	0.0380582	0.0312815	0.0659764	0.048272	0.0749376	0.111601	0.186815	0.367642
</S>	0.0716661	0.0371015	0.0319351	0.052749	0.0383545	0.0574165	0.0949853	0.179469	0.436323
