 	il	est	arrivé	au	bout	de	quelques	minutes	</S>
a23	0.323026	0.244585	0.136098	0.105606	0.0752889	0.046931	0.0291083	0.021486	0.0178705
a85	0.31697	0.221817	0.111865	0.0926069	0.092767	0.0698055	0.0431305	0.0222677	0.028771
a87	0.123219	0.130189	0.113416	0.116029	0.108978	0.103288	0.100695	0.087153	0.117032
a23	0.183312	0.187655	0.148931	0.137981	0.0921733	0.0649227	0.0506063	0.0507528	0.0836659
a87	0.153171	0.139448	0.104019	0.0910352	0.064835	0.0545641	0.0843662	0.11499	0.193572
a23	0.139487	0.107788	0.110351	0.118052	0.120125	0.101853	0.0994512	0.0751638	0.127729
a40	0.126057	0.107753	0.0935053	0.0900774	0.076345	0.0649866	0.097628	0.120068	0.22358
a30	0.197025	0.16027	0.123862	0.130377	0.107913	0.0966243	0.0671892	0.0801869	0.0365514
a35	0.155251	0.154027	0.173892	0.208908	0.163197	0.0948511	0.0281947	0.0135654	0.00811358
a24	0.178969	0.140757	0.142969	0.154469	0.144216	0.114109	0.0546503	0.0408028	0.0290583
a41	0.172066	0.13859	0.126702	0.12155	0.12521	0.13483	0.0849314	0.0546884	0.0414334
a35	0.125489	0.0937045	0.116642	0.123708	0.130972	0.139326	0.106018	0.087438	0.0767021
a76	0.108521	0.0828134	0.105141	0.114697	0.13509	0.152221	0.116469	0.0969638	0.0880838
a35	0.0875811	0.0745249	0.0872526	0.0952552	0.121543	0.158117	0.153803	0.127026	0.0948977
a14	0.0773844	0.0669789	0.097596	0.120505	0.161268	0.166817	0.126103	0.0972991	0.0860488
a30	0.0651626	0.0551591	0.0880666	0.11387	0.16392	0.175252	0.135303	0.111814	0.091452
a26	0.0711249	0.0686354	0.112627	0.130899	0.147093	0.127825	0.107306	0.109157	0.125332
a41	0.0236479	0.0249736	0.0421362	0.0646266	0.0944027	0.109857	0.151734	0.2144	0.274221
a14	0.0184171	0.0115738	0.0146098	0.0179797	0.0328843	0.0656039	0.178116	0.348861	0.311954
a2	0.0482196	0.0314044	0.0342244	0.0390568	0.0576102	0.102955	0.209324	0.295822	0.181383
a30	0.00442205	0.00338702	0.00422621	0.00528913	0.00912613	0.0187474	0.072667	0.250608	0.631527
a14	0.00325954	0.00188081	0.00188642	0.00209348	0.00433859	0.0146474	0.0810438	0.242961	0.647889
a35	0.00255645	0.00127268	0.00121578	0.00154346	0.00398518	0.0182553	0.127106	0.360974	0.483091
a26	0.00222931	0.0011248	0.001066	0.00130429	0.00313694	0.0125127	0.0919243	0.381286	0.505416
a35	0.00240174	0.00121555	0.00102332	0.00102305	0.00182429	0.00691174	0.0575905	0.295695	0.632315
a24	0.00336135	0.00133889	0.00106585	0.001163	0.00293556	0.0157714	0.0866162	0.301673	0.586074
a32	0.00187214	0.00103937	0.00101715	0.00124659	0.00293897	0.0117394	0.0717161	0.298824	0.609606
a25	0.006515	0.00327689	0.00268053	0.00273752	0.00522133	0.0212181	0.089313	0.273474	0.595564
a10	0.00852436	0.00375884	0.00297606	0.00296182	0.00551065	0.0210053	0.0772856	0.240486	0.637491
a9	0.00678034	0.00329415	0.00258428	0.00250355	0.00494946	0.0179584	0.0695634	0.209768	0.682599
a87	0.0111819	0.00494239	0.00368371	0.00293348	0.00553347	0.0167429	0.0704131	0.193019	0.69155
</S>	0.0124721	0.00787325	0.00787788	0.00955559	0.0153597	0.0252466	0.10039	0.21714	0.604085
