 	elle	a	un	furoncle	au	vagin	</S>
a66	0.287806	0.272138	0.276368	0.095697	0.0364402	0.0199389	0.0116108
a87	0.340615	0.333387	0.250231	0.0467776	0.0170655	0.00731307	0.00461089
a23	0.382512	0.305852	0.198895	0.0582954	0.0244852	0.0181009	0.0118598
a30	0.402843	0.32947	0.175564	0.0417281	0.00910065	0.0138432	0.0274518
a53	0.360994	0.306842	0.202235	0.0743911	0.0184127	0.0168774	0.0202471
a54	0.318071	0.321411	0.241645	0.0802503	0.0150136	0.0126969	0.0109118
a79	0.214585	0.250793	0.219184	0.204795	0.0487661	0.0382252	0.0236507
a36	0.148449	0.169314	0.164729	0.30897	0.130557	0.0569364	0.0210432
a12	0.0770051	0.088377	0.0974512	0.376253	0.172583	0.125623	0.0627082
a96	0.103652	0.113645	0.123914	0.359912	0.153737	0.0872002	0.0579404
a62	0.0741934	0.0796242	0.110626	0.415455	0.162758	0.0932725	0.0640708
a83	0.0520966	0.0504075	0.0792103	0.36207	0.21418	0.137098	0.104937
a24	0.0435725	0.0385083	0.0566067	0.234572	0.262406	0.20173	0.162604
a62	0.0168022	0.01316	0.0151577	0.0566178	0.160554	0.35124	0.386468
a21	0.0120983	0.0103804	0.0141209	0.0500894	0.165296	0.410453	0.337562
a92	0.0054676	0.00480388	0.0064067	0.015668	0.0876281	0.380614	0.499412
a85	0.00309977	0.00236106	0.00287585	0.00600314	0.0435858	0.267859	0.674215
a21	0.00105988	0.000612068	0.000609059	0.00133592	0.0108555	0.170961	0.814567
a5	0.00137418	0.000872851	0.000860356	0.0016428	0.0173248	0.170972	0.806953
a43	0.000885832	0.000520866	0.000475053	0.00107596	0.0126273	0.13707	0.847345
a75	0.000500739	0.00028542	0.000240662	0.000750695	0.00989741	0.125602	0.862724
a85	0.000357864	0.000199099	0.000143978	0.000640734	0.00626924	0.0996755	0.892714
a37	0.00026532	0.000136491	8.94855e-05	0.000276228	0.00449599	0.0865828	0.908154
a88	0.00130747	0.000711334	0.000489756	0.00132383	0.0123078	0.125759	0.858101
a71	0.00144333	0.000999716	0.000861832	0.00245473	0.0232521	0.165215	0.805773
a9	0.00386862	0.00254935	0.00193489	0.00590805	0.0396062	0.23189	0.714243
a87	0.155188	0.0772593	0.0381207	0.0250478	0.0868359	0.228741	0.388808
a23	0.39275	0.276704	0.164762	0.0395297	0.0418996	0.0400839	0.044271
a87	0.280649	0.170597	0.0766274	0.0288465	0.0677156	0.121238	0.254327
</S>	0.0203757	0.0121341	0.00587698	0.00705843	0.0261623	0.173203	0.755189
