 	dans	ce	village	on	ne	veut	plus	de	cette	femme	parce	qu'	elle	est	trop	arrogante	</S>
a87	0.165384	0.112332	0.0736573	0.0563819	0.0647588	0.0544106	0.0504911	0.0411081	0.0472347	0.047729	0.0493643	0.0676162	0.049152	0.0447432	0.0290573	0.0235218	0.0230574
a23	0.320708	0.118159	0.0546723	0.0320935	0.0208235	0.0207693	0.024375	0.0252746	0.0328981	0.0369862	0.0294748	0.0265397	0.0232107	0.02945	0.0324528	0.0655774	0.106535
a10	0.116973	0.0856213	0.080752	0.070761	0.0498653	0.0381154	0.0383449	0.0403881	0.0538339	0.0597735	0.0475285	0.0440974	0.0351815	0.0366486	0.04239	0.0614167	0.0983093
a75	0.0769945	0.0705955	0.0688588	0.0649632	0.0541094	0.0390549	0.0373571	0.0390575	0.0577358	0.0690652	0.0599583	0.0522369	0.044823	0.0456702	0.0529158	0.0625652	0.104039
a47	0.31541	0.222817	0.161045	0.0957806	0.0376918	0.0175219	0.0137174	0.0106889	0.0102492	0.00982406	0.0079103	0.00946394	0.00818524	0.0092459	0.0160353	0.0230241	0.0313899
a44	0.21877	0.235082	0.183839	0.115177	0.0529369	0.0259999	0.0190821	0.0155358	0.0152528	0.0138665	0.0107448	0.0129778	0.0107053	0.0123499	0.0192866	0.0191872	0.0192064
a84	0.142205	0.176421	0.150358	0.100955	0.0618581	0.0382255	0.0327029	0.0296804	0.0358354	0.0350923	0.0302169	0.0372295	0.0267809	0.0268258	0.0272852	0.0228653	0.0254628
a57	0.0761698	0.105168	0.118281	0.0949633	0.0820117	0.0568802	0.044495	0.0395902	0.0446038	0.044975	0.0431992	0.050863	0.0427093	0.0453863	0.0442219	0.0299713	0.0365109
a53	0.0299072	0.0449045	0.065748	0.0639842	0.0684745	0.0661288	0.0604984	0.0598664	0.0697567	0.0655917	0.0673188	0.0617717	0.0506092	0.0554625	0.0578938	0.0465789	0.0655047
a93	0.0278827	0.0539939	0.0949389	0.110377	0.116825	0.103867	0.0964305	0.0820141	0.0767535	0.058006	0.0481903	0.0398695	0.0229911	0.019029	0.0162562	0.0134479	0.0191276
a62	0.0321404	0.0564846	0.0886774	0.104977	0.123421	0.0971169	0.0886798	0.0748972	0.0736433	0.0594824	0.0541381	0.0513073	0.0297521	0.0214257	0.0150508	0.0124489	0.016357
a75	0.023215	0.0346926	0.0558192	0.0725222	0.10487	0.0931316	0.0907064	0.0810569	0.0860886	0.0745365	0.0740715	0.0750763	0.0484668	0.0323604	0.020157	0.0154054	0.0178237
a85	0.0194811	0.0277785	0.0419179	0.0571395	0.0868838	0.0735578	0.0815936	0.0806555	0.0840392	0.0832207	0.0853323	0.0832149	0.0629832	0.0487548	0.029527	0.0244831	0.0294371
a66	0.0324366	0.0388179	0.0499587	0.0639346	0.0978525	0.0750396	0.0761484	0.0710811	0.0702461	0.0702393	0.0710256	0.0747121	0.0613318	0.0490252	0.0321063	0.0322899	0.0337543
a62	0.0121307	0.0158121	0.0308167	0.0487655	0.101844	0.10474	0.101962	0.0874026	0.0914037	0.086172	0.0821561	0.088059	0.0589546	0.0381701	0.0188824	0.0134821	0.0192459
a9	0.0156351	0.0182477	0.0239305	0.0324292	0.0664314	0.0791644	0.0924753	0.0870408	0.0969243	0.0921328	0.0990821	0.106327	0.0787752	0.0535506	0.0247862	0.0162467	0.0168203
a75	0.0058757	0.00718795	0.0135586	0.0221937	0.0572055	0.0829741	0.0973841	0.088371	0.0995916	0.0979696	0.103542	0.116914	0.0847081	0.057998	0.0247539	0.0168474	0.0229256
a5	0.0113577	0.0118875	0.0154871	0.0212158	0.0438815	0.063611	0.0893627	0.0974679	0.102381	0.101048	0.101797	0.0920799	0.0724813	0.0563478	0.0415427	0.0379151	0.0401358
a61	0.0138955	0.0153241	0.0175939	0.0207836	0.0349172	0.0502155	0.0774084	0.0874409	0.107179	0.10628	0.113306	0.117278	0.0865266	0.0632903	0.0365436	0.0247958	0.0272212
a90	0.00910381	0.00988205	0.0116846	0.0145537	0.0255831	0.0454153	0.0804229	0.097062	0.120535	0.114641	0.124944	0.122155	0.0874272	0.0633056	0.0323499	0.0198949	0.02104
a93	0.00506237	0.00559085	0.00864149	0.0130072	0.0246508	0.0448328	0.0794471	0.0949119	0.118502	0.121101	0.124179	0.107601	0.0799157	0.0595142	0.0397426	0.0329512	0.0403477
a70	0.00316824	0.00358286	0.00647714	0.0103294	0.0209046	0.0405047	0.0734019	0.0882518	0.118803	0.126464	0.128466	0.116355	0.0827238	0.0642561	0.0389954	0.0309807	0.0463353
a61	0.00253265	0.00291895	0.00497725	0.00839788	0.0165198	0.031226	0.0610422	0.0837041	0.124385	0.127798	0.138421	0.115489	0.0810904	0.0694646	0.0451236	0.0364141	0.0504947
a96	0.00174955	0.00194531	0.0036243	0.0064175	0.0139495	0.0297619	0.0611665	0.0865927	0.129878	0.129973	0.14279	0.115135	0.0771622	0.0642809	0.0408677	0.0374942	0.0572113
a93	0.00210809	0.00224599	0.00382586	0.00651542	0.0136354	0.0284989	0.0587231	0.0857919	0.130553	0.12813	0.142076	0.118056	0.0805468	0.069797	0.0462258	0.0356494	0.0476219
a90	0.00101374	0.00100269	0.00189586	0.00353348	0.00831264	0.0211262	0.0500124	0.0798278	0.124126	0.127701	0.138283	0.100824	0.0694832	0.0644736	0.0525812	0.0554883	0.100314
a84	0.00378725	0.00396079	0.00641619	0.0097259	0.0168567	0.0305186	0.0545537	0.0740543	0.107464	0.11495	0.121017	0.0978351	0.080961	0.0783847	0.0710199	0.0597834	0.0687121
a40	0.000761837	0.00058152	0.000836499	0.00137847	0.0032968	0.0103478	0.0290822	0.054299	0.0911405	0.109718	0.118469	0.0867034	0.0683065	0.0736239	0.0850692	0.100526	0.16586
a75	0.00298316	0.00237355	0.00352511	0.00552067	0.00989394	0.0197076	0.0392151	0.0593222	0.0893747	0.105155	0.101571	0.0711459	0.0593009	0.0630497	0.0764262	0.0959913	0.195444
a47	0.00554031	0.00507173	0.00770621	0.0110779	0.0170573	0.0287614	0.0480611	0.0629462	0.0852624	0.0919417	0.0932488	0.0774126	0.0650316	0.0682981	0.0727699	0.102123	0.157689
a5	0.00791694	0.00671481	0.00871236	0.0119965	0.0173611	0.0282115	0.0491722	0.063032	0.0725723	0.0773148	0.075972	0.0602531	0.0586524	0.0608524	0.0815828	0.126758	0.192925
