 	j'	ai	reçu	du	sable	dans	les	yeux	</S>
a66	0.429111	0.196253	0.111752	0.0637017	0.0463363	0.0371437	0.0408821	0.0372638	0.0375558
a99	0.25804	0.146982	0.115948	0.113256	0.09565	0.0833669	0.0801116	0.0613551	0.0452907
a97	0.371584	0.23185	0.189535	0.0739521	0.0539418	0.0231287	0.0203734	0.0206867	0.0149485
a99	0.354856	0.246539	0.204232	0.084707	0.0482161	0.0206143	0.0163449	0.0139195	0.0105716
a87	0.425889	0.223372	0.167665	0.0666963	0.0517929	0.0235413	0.0161664	0.0130305	0.0118462
a23	0.39039	0.213782	0.192662	0.0965187	0.0544169	0.0217851	0.012966	0.00916426	0.00831493
a47	0.344472	0.189662	0.164416	0.120412	0.117644	0.0245879	0.0132057	0.0116892	0.0139115
a62	0.289416	0.235639	0.186716	0.128544	0.0980814	0.0253766	0.0128167	0.0118035	0.0116069
a61	0.203597	0.220776	0.246155	0.140152	0.120937	0.0346639	0.0147748	0.0105346	0.00841053
a21	0.133053	0.173719	0.226035	0.169676	0.161405	0.0598915	0.0351939	0.025077	0.0159495
a12	0.110663	0.12753	0.165812	0.139997	0.195741	0.102903	0.0751469	0.0519317	0.0302763
a34	0.103407	0.109277	0.141984	0.133176	0.186806	0.106673	0.0888817	0.0747798	0.0550157
a96	0.0826185	0.0826915	0.108604	0.103056	0.135893	0.111628	0.11516	0.131301	0.129048
a44	0.0474869	0.0323686	0.028638	0.0267938	0.0391671	0.0783001	0.149119	0.253986	0.34414
a90	0.0184336	0.0127029	0.0105786	0.0102761	0.0137247	0.0343424	0.111362	0.270466	0.518114
a25	0.00546222	0.00352031	0.00315312	0.0048834	0.0089743	0.0231456	0.0984596	0.259396	0.593006
a85	0.00145408	0.000885598	0.000811281	0.00156817	0.0039167	0.0134814	0.0690709	0.261414	0.647398
a0	0.000978893	0.000654486	0.000674343	0.00163769	0.00347056	0.0138135	0.0730307	0.253741	0.651999
a75	0.00116038	0.000782855	0.000631533	0.00142691	0.00280693	0.0166658	0.093037	0.278335	0.605154
a5	0.000967126	0.000693118	0.000547752	0.00124964	0.00199089	0.011925	0.0912046	0.300195	0.591227
a12	0.000742437	0.000455176	0.000283136	0.000435443	0.00050734	0.0054485	0.0608737	0.257889	0.673366
a31	0.000708436	0.000533101	0.000361965	0.000554758	0.000617042	0.00568205	0.0596067	0.269802	0.662134
a0	0.0021302	0.00162121	0.00107053	0.00125465	0.00123263	0.00982122	0.0714127	0.295011	0.616446
a10	0.00503245	0.00493887	0.00472345	0.00755503	0.0101825	0.038618	0.121079	0.267821	0.54005
a87	0.077598	0.0428458	0.0271076	0.0266576	0.024562	0.0656565	0.154499	0.248732	0.332341
a23	0.323248	0.110443	0.0549795	0.0409686	0.0287303	0.051723	0.100021	0.131113	0.158773
a87	0.132483	0.0665554	0.0366889	0.0318341	0.0241367	0.0490242	0.132773	0.243966	0.282538
</S>	0.0166344	0.00771546	0.00496592	0.00606203	0.00988832	0.0228874	0.0991425	0.332296	0.500408
