 	je	me	suis	battu	avec	un	fou	dans	le	rêve	</S>
a66	0.287724	0.145927	0.0850102	0.0801464	0.0949498	0.0824341	0.0616982	0.0367404	0.0321154	0.0447224	0.0485321
a87	0.334075	0.187552	0.0825145	0.0523386	0.0475467	0.0463127	0.0476533	0.0431851	0.0494415	0.0588304	0.05055
a23	0.306808	0.225402	0.114759	0.0412639	0.0279041	0.0234018	0.0275798	0.0433298	0.0694926	0.0771697	0.0428896
a18	0.299283	0.191102	0.0800343	0.0325492	0.0266241	0.0243536	0.032683	0.0579472	0.0944618	0.11624	0.0447217
a11	0.277861	0.160292	0.0636444	0.0389448	0.0364305	0.0319362	0.042706	0.0723526	0.115148	0.104174	0.0565111
a31	0.280976	0.172046	0.0927862	0.0695813	0.051982	0.0328792	0.0315767	0.0546336	0.0754391	0.0891664	0.0489336
a94	0.19582	0.184515	0.146507	0.0953943	0.0647527	0.048249	0.0465151	0.0501589	0.0532992	0.0685541	0.0462343
a93	0.118566	0.151191	0.153381	0.113679	0.0857237	0.0702673	0.0659273	0.0578122	0.0585675	0.0732413	0.0516434
a70	0.0664971	0.103162	0.133408	0.114077	0.0954981	0.0856988	0.0765605	0.0658326	0.0684171	0.0972058	0.0936426
a34	0.0488643	0.0717149	0.100844	0.0955629	0.0857698	0.0840706	0.0760436	0.0697809	0.076356	0.123768	0.167225
a96	0.0383166	0.0624722	0.0923345	0.0998276	0.0883939	0.0825396	0.0722737	0.0726988	0.0856393	0.120505	0.184999
a88	0.0253083	0.0373106	0.0590033	0.0766738	0.0788992	0.0871627	0.0789378	0.0775084	0.0896782	0.137398	0.25212
a70	0.0187801	0.0290395	0.0511496	0.0787298	0.0820199	0.0872149	0.0747456	0.0742449	0.0910618	0.149524	0.26349
a83	0.0128536	0.0165154	0.0286394	0.056705	0.0683416	0.0806334	0.0720967	0.0731445	0.0932598	0.1853	0.31251
a75	0.00865912	0.0108581	0.0189406	0.0433658	0.0595405	0.0815483	0.0758022	0.0750207	0.0952351	0.200208	0.330821
a93	0.0118931	0.019603	0.035442	0.0777247	0.105332	0.138371	0.131933	0.104081	0.0999953	0.122199	0.153426
a90	0.00794972	0.0114039	0.021931	0.0565707	0.0770043	0.102191	0.0980323	0.0854822	0.0897714	0.177494	0.27217
a92	0.0124867	0.0179479	0.0332819	0.0779227	0.103819	0.129511	0.117773	0.0861435	0.0793974	0.14554	0.196178
a56	0.00654008	0.00881075	0.0169048	0.0457777	0.0650544	0.0972147	0.110292	0.0990855	0.104736	0.186716	0.258868
a96	0.00255194	0.00320982	0.00667995	0.0222313	0.0358075	0.0638254	0.0846639	0.086628	0.100345	0.210468	0.383589
a88	0.000732254	0.000822032	0.00150739	0.00515607	0.00907101	0.0214811	0.0386634	0.0603303	0.0970822	0.236177	0.528978
a71	0.000487297	0.000522128	0.000808704	0.00223398	0.00375305	0.0102751	0.0222228	0.0439443	0.0892415	0.215106	0.611405
a70	0.00108878	0.00121683	0.00164318	0.00433435	0.00576191	0.0123878	0.0291629	0.0572921	0.128674	0.197142	0.561296
a13	0.00152827	0.00169315	0.00212863	0.00626771	0.00785455	0.0148167	0.0346708	0.0745997	0.185731	0.190678	0.480031
a9	0.0031651	0.00345648	0.00445048	0.0126202	0.0153416	0.0280229	0.0583481	0.0902107	0.192556	0.160926	0.430903
a3	0.0146383	0.0122704	0.0126279	0.0253633	0.0289707	0.0450493	0.0771828	0.0982022	0.207636	0.156931	0.321128
a87	0.0638736	0.0434682	0.0335696	0.0323236	0.0339028	0.0464157	0.0784103	0.109582	0.197567	0.180359	0.180529
a97	0.0706735	0.05857	0.0533573	0.0462539	0.0584584	0.0851006	0.133237	0.123833	0.146189	0.14076	0.083566
a87	0.0442651	0.0472868	0.0466533	0.0492499	0.0654265	0.0896564	0.134573	0.13605	0.17193	0.143006	0.0719022
a23	0.0506779	0.0516106	0.0456884	0.0404935	0.0446579	0.0557044	0.082959	0.12742	0.179566	0.186787	0.134435
a99	0.0722727	0.0649365	0.0532516	0.0473994	0.044732	0.0487715	0.0679031	0.117672	0.160039	0.177643	0.145379
a87	0.104192	0.085242	0.0650434	0.0576668	0.0514739	0.0510449	0.0630965	0.0994934	0.133022	0.151356	0.138368
a97	0.0589931	0.0536218	0.0437304	0.0450317	0.0430754	0.0477406	0.0696151	0.130709	0.182515	0.177957	0.147011
</S>	0.103943	0.0921703	0.0695986	0.0523459	0.0416937	0.0398445	0.0533898	0.0979767	0.142559	0.156562	0.149917
