 	ce	jeune	garçon	a	une	large	pomme	d'	adam	</S>
a66	0.150731	0.142326	0.116017	0.11529	0.207844	0.13579	0.0754224	0.0239106	0.0170687	0.0156007
a87	0.332123	0.230715	0.112605	0.0574834	0.0580332	0.0408836	0.0359869	0.0456537	0.0461082	0.040408
a23	0.424119	0.258435	0.114701	0.0707202	0.0582001	0.0236013	0.0147648	0.0116121	0.0121036	0.0117423
a83	0.46839	0.218814	0.0827121	0.0410712	0.0295244	0.0120397	0.0153301	0.0222443	0.0407438	0.0691304
a54	0.144764	0.0589625	0.0397768	0.0324268	0.0560857	0.0479307	0.0702933	0.133788	0.227795	0.188176
a6	0.0636357	0.0602353	0.0762007	0.0536026	0.0734348	0.107547	0.122409	0.169984	0.174768	0.0981824
a92	0.108882	0.132549	0.17954	0.0863509	0.0869061	0.0714466	0.0689292	0.102437	0.109323	0.0536354
a61	0.125712	0.126229	0.150698	0.0999441	0.0961583	0.0802475	0.0824504	0.0794984	0.0973643	0.0616976
a96	0.112683	0.11587	0.153007	0.136218	0.147125	0.110486	0.0944747	0.0459433	0.0483905	0.0358034
a83	0.0496912	0.0580442	0.11592	0.158915	0.195189	0.140562	0.124885	0.0512474	0.0553052	0.0502401
a98	0.0378317	0.0462757	0.0924181	0.137617	0.196788	0.154451	0.133	0.055875	0.0736547	0.0720902
a15	0.033164	0.0424041	0.0700905	0.104621	0.164742	0.171373	0.144978	0.0659038	0.0888728	0.113851
a98	0.0399742	0.0499756	0.0834612	0.125323	0.179006	0.14329	0.107875	0.0518755	0.0777418	0.141478
a92	0.0316141	0.0396203	0.0714157	0.122571	0.191216	0.153733	0.11286	0.0617971	0.0767985	0.138373
a61	0.012931	0.0147286	0.0300247	0.0670014	0.151132	0.161976	0.121229	0.107069	0.128988	0.204921
a47	0.0122784	0.014683	0.0277273	0.0547288	0.129839	0.226738	0.180119	0.0924286	0.0970952	0.164362
a34	0.0161548	0.0181852	0.0315382	0.0523507	0.0914243	0.185909	0.211759	0.11043	0.107698	0.174551
a75	0.0126026	0.0144789	0.0249227	0.040021	0.0750908	0.15574	0.191998	0.148058	0.141262	0.195825
a56	0.0040422	0.00469627	0.00772461	0.0110029	0.0194141	0.0336958	0.0599451	0.129745	0.242281	0.487454
a93	0.0042875	0.00537836	0.0102489	0.0154503	0.024163	0.0440389	0.0626448	0.130412	0.220367	0.48301
a75	0.00366052	0.0038951	0.00775263	0.0111649	0.0142149	0.0258935	0.0481497	0.11826	0.252996	0.514013
a21	0.00075847	0.000753807	0.00144235	0.0019633	0.00318242	0.00776768	0.0203954	0.109503	0.280276	0.573957
a34	0.000790241	0.000731286	0.00142579	0.00189864	0.00242652	0.00525516	0.0110321	0.065697	0.196156	0.714588
a96	0.00052381	0.000475648	0.00106032	0.00139987	0.00153214	0.00301565	0.00748174	0.0522041	0.18476	0.747547
a12	0.000692844	0.000581541	0.00145847	0.00195923	0.00203247	0.00347818	0.00684136	0.0431593	0.188403	0.751394
a18	0.000723819	0.000638041	0.00145057	0.00185119	0.00204623	0.00410955	0.00909205	0.0542884	0.198957	0.726843
a71	0.00250399	0.00226387	0.00385243	0.00460142	0.00529763	0.0120935	0.0262585	0.149062	0.275785	0.518282
a25	0.0170774	0.0122293	0.0220054	0.0276404	0.0336115	0.115462	0.121038	0.157269	0.192898	0.300769
a99	0.117196	0.0824113	0.0610666	0.0604242	0.0808357	0.134002	0.0901706	0.104321	0.115402	0.154171
a87	0.109232	0.0626203	0.0339729	0.0294149	0.0353375	0.0458621	0.0421551	0.0892075	0.198961	0.353237
a23	0.159693	0.124783	0.0620837	0.0451942	0.0464378	0.054562	0.036024	0.0640691	0.13367	0.273483
a99	0.0401514	0.0243558	0.0120052	0.00955855	0.0109244	0.0227549	0.0281217	0.100556	0.294256	0.457316
a87	0.0221116	0.012628	0.00662672	0.00636909	0.00842058	0.0276859	0.0361549	0.101288	0.28374	0.494975
</S>	0.00517794	0.00327897	0.00210864	0.00193582	0.00263052	0.00641357	0.0110694	0.074965	0.281621	0.610799
