 	le	bord	de	son	pagne	est	usé	</S>
a87	0.238067	0.173544	0.162593	0.161596	0.139145	0.0782278	0.0308171	0.0160093
a23	0.289699	0.163468	0.140184	0.122601	0.114648	0.0785556	0.0481559	0.0426883
a83	0.194676	0.150854	0.155386	0.147714	0.122427	0.0742013	0.0687344	0.086007
a9	0.372259	0.286987	0.171536	0.0943011	0.0384597	0.0169628	0.00992834	0.00956568
a99	0.329386	0.319427	0.178081	0.0860092	0.0362991	0.0184518	0.0168376	0.0155087
a38	0.242703	0.225681	0.147335	0.104664	0.0656408	0.0546033	0.0679354	0.0914386
a62	0.160016	0.18127	0.177561	0.171969	0.118841	0.0743114	0.0586048	0.0574275
a75	0.187629	0.231945	0.225457	0.174197	0.0885844	0.0422926	0.0271523	0.0227428
a25	0.202712	0.232343	0.216548	0.155954	0.0775073	0.046003	0.0356964	0.0332374
a44	0.149784	0.194426	0.217928	0.19731	0.114439	0.0583881	0.0357674	0.0319558
a40	0.0921697	0.107333	0.158525	0.217674	0.172177	0.109576	0.0726142	0.0699309
a75	0.0488019	0.0564565	0.0775393	0.126318	0.132927	0.154187	0.183931	0.219839
a85	0.0447902	0.0584293	0.075621	0.105049	0.108406	0.134424	0.200148	0.273132
a37	0.0412651	0.0593688	0.0623389	0.079246	0.11006	0.144661	0.204783	0.298277
a85	0.0847378	0.0832758	0.0743409	0.0802898	0.108934	0.16596	0.185412	0.21705
a92	0.0416476	0.0438746	0.0366594	0.0379639	0.0535786	0.134033	0.249645	0.402599
a34	0.0528883	0.0458023	0.038788	0.0407143	0.0515723	0.133531	0.249774	0.38693
a61	0.0331765	0.0237457	0.0218952	0.0268911	0.0399521	0.11875	0.29178	0.443809
a62	0.0142171	0.00960204	0.00958486	0.014957	0.0274819	0.0986906	0.298865	0.526602
a83	0.00795581	0.00520055	0.0050153	0.00809654	0.018058	0.0827992	0.288716	0.584158
a21	0.0032058	0.00204926	0.00195063	0.00320873	0.00866524	0.0505718	0.246936	0.683412
a56	0.00755764	0.00525594	0.00511647	0.00792445	0.0159349	0.0586034	0.234954	0.664653
a94	0.00277584	0.00218547	0.00213817	0.00299599	0.00671708	0.034199	0.201885	0.747103
a26	0.00151991	0.00125208	0.00139545	0.0020892	0.00499381	0.0265617	0.176306	0.785882
a57	0.027727	0.016706	0.0159696	0.0191983	0.0291464	0.0801013	0.234914	0.576237
a87	0.101201	0.0691205	0.0558497	0.0491709	0.0590891	0.109091	0.197928	0.35855
a23	0.198384	0.151627	0.110787	0.0842607	0.0794679	0.11863	0.126512	0.130331
a87	0.127653	0.0773105	0.0519847	0.043336	0.0569834	0.138907	0.244335	0.259489
</S>	0.0277325	0.0248088	0.0231292	0.0314738	0.0586037	0.130881	0.249689	0.453682
