 	la	femme	qu'	il	est	allé	épouser	est	sourde-muette	</S>
a15	0.170692	0.141077	0.113574	0.141466	0.161898	0.109269	0.100033	0.0314683	0.0180911	0.0124321
a66	0.255374	0.174973	0.137381	0.109897	0.110337	0.095147	0.0612221	0.022564	0.0160922	0.0170138
a87	0.433476	0.245176	0.128843	0.0686532	0.0475991	0.0301598	0.0172062	0.00862284	0.00877835	0.0114865
a23	0.341244	0.249101	0.170819	0.0987219	0.0558928	0.0364676	0.0208095	0.00820378	0.0081626	0.0105781
a30	0.316978	0.257471	0.201677	0.0929931	0.0403872	0.0232445	0.0154174	0.010668	0.0148228	0.0263406
a93	0.282158	0.223351	0.174957	0.105895	0.0731623	0.0521166	0.0329171	0.0174222	0.0167901	0.0212307
a12	0.310257	0.273877	0.173947	0.0909474	0.0591684	0.0473752	0.0288306	0.00846288	0.00399255	0.00314195
a61	0.211048	0.238092	0.210798	0.128438	0.0824865	0.0591008	0.0372917	0.0149666	0.0113019	0.00647722
a21	0.194495	0.227217	0.207573	0.121077	0.0771455	0.0638325	0.0502254	0.0219943	0.022408	0.0140322
a12	0.156572	0.198047	0.180859	0.125803	0.107219	0.0935799	0.0659948	0.0273038	0.0263323	0.0182881
a56	0.153201	0.195445	0.169598	0.123046	0.103271	0.0918918	0.0633658	0.0301617	0.0383975	0.0316215
a25	0.103689	0.146762	0.153369	0.147627	0.133744	0.107144	0.0715149	0.0397957	0.0496962	0.0466592
a69	0.057905	0.0796966	0.0895641	0.0993495	0.11376	0.111429	0.107138	0.100944	0.125815	0.114397
a98	0.0277079	0.0379626	0.0498003	0.0939263	0.133638	0.123813	0.113488	0.115114	0.152935	0.151615
a85	0.0218747	0.031975	0.0516074	0.113431	0.199191	0.145085	0.149342	0.111529	0.093955	0.0820098
a92	0.0177931	0.0255239	0.0418247	0.105425	0.191728	0.154606	0.165357	0.108828	0.0986134	0.0902996
a21	0.0162301	0.0222427	0.0359007	0.107277	0.206058	0.158098	0.177342	0.111426	0.0884166	0.0770082
a37	0.0134753	0.0160574	0.0231784	0.0593565	0.111442	0.0840803	0.175073	0.180845	0.159419	0.177073
a12	0.0110077	0.0132898	0.0180304	0.0388498	0.0745043	0.0715121	0.177623	0.206057	0.185536	0.203589
a62	0.00813681	0.00875098	0.010356	0.0194836	0.0300486	0.0283731	0.0942957	0.21496	0.276884	0.308711
a88	0.0043363	0.00448828	0.004254	0.00601388	0.00806382	0.010028	0.0405791	0.113411	0.372869	0.435956
a31	0.00464026	0.00465768	0.00400837	0.00526799	0.00772155	0.0117598	0.0371549	0.0674555	0.302354	0.55498
a47	0.00291606	0.0026695	0.00229267	0.00309535	0.00419294	0.00696203	0.0297126	0.0655219	0.340876	0.541761
a21	0.00425859	0.00384566	0.0032318	0.00376136	0.0051864	0.00922871	0.0332319	0.0679201	0.304113	0.565222
a85	0.000928596	0.000656643	0.000555344	0.00081574	0.00130453	0.00219889	0.0155551	0.0623036	0.277247	0.638435
a6	0.000231344	0.000193718	0.000184581	0.00033165	0.000609001	0.000951228	0.00726597	0.0465886	0.25471	0.688934
a36	0.000288254	0.000215276	0.000180011	0.000337713	0.000909104	0.00244331	0.0208023	0.0725024	0.300463	0.601858
a26	0.00891033	0.00646528	0.00543639	0.00755285	0.015819	0.0317127	0.106015	0.144747	0.231205	0.442137
a84	0.171974	0.101916	0.0607544	0.0569073	0.0864114	0.0819885	0.0822204	0.0798115	0.108053	0.169964
a87	0.222166	0.135581	0.086299	0.0842095	0.128342	0.101618	0.0794501	0.0492113	0.0461272	0.0669965
a23	0.213614	0.168345	0.12268	0.101986	0.128115	0.0931321	0.0571786	0.033699	0.0342551	0.0469948
a99	0.063327	0.0445685	0.0285307	0.0221832	0.0297247	0.0235212	0.0276898	0.0616047	0.158346	0.540504
a97	0.0407904	0.0268625	0.0169961	0.0154683	0.0258854	0.0252862	0.0503115	0.116903	0.206253	0.475243
</S>	0.0116674	0.00774006	0.0048666	0.00609242	0.0102177	0.0117159	0.0214832	0.0718028	0.206824	0.64759
