 	le	pêcheur	est	en	train	de	vendre	du	poisson	</S>
a66	0.270372	0.231134	0.0954925	0.0931448	0.0795784	0.0721841	0.0522327	0.0363997	0.0361764	0.033286
a87	0.293379	0.140627	0.0799805	0.0731556	0.0620151	0.0615309	0.062288	0.067418	0.0855745	0.0740322
a23	0.463314	0.212218	0.0946383	0.061964	0.0387996	0.028349	0.0205364	0.0202581	0.0305458	0.029377
a79	0.33414	0.165589	0.115634	0.090646	0.0698462	0.0570074	0.036602	0.0346017	0.0415372	0.0543962
a44	0.296891	0.152946	0.108454	0.0858889	0.0704802	0.0618985	0.0474869	0.0478381	0.0596904	0.0684265
a90	0.202419	0.160782	0.113752	0.0776257	0.0624353	0.0535335	0.0618354	0.0729923	0.102193	0.092432
a44	0.160058	0.155996	0.152969	0.110949	0.0952901	0.0767618	0.0708883	0.0572566	0.0619959	0.0578353
a13	0.110583	0.121907	0.158848	0.138642	0.117975	0.0840437	0.0674795	0.059267	0.0682732	0.0729818
a57	0.0900928	0.101716	0.151047	0.146984	0.127859	0.0915964	0.0702774	0.0599683	0.0742827	0.0861768
a53	0.0941334	0.123143	0.162803	0.152956	0.122372	0.0786745	0.0539662	0.0496657	0.0717273	0.0905601
a90	0.0614683	0.0971147	0.132395	0.141576	0.134751	0.106315	0.0722835	0.069289	0.0843282	0.100479
a56	0.0643692	0.0992478	0.135407	0.148368	0.138156	0.11347	0.0739696	0.0666198	0.0728212	0.087572
a54	0.0669253	0.0951812	0.12037	0.13941	0.12972	0.109698	0.0733398	0.0672725	0.0836757	0.114408
a6	0.0261602	0.0476003	0.0824799	0.110059	0.121275	0.129078	0.105152	0.107835	0.114778	0.155584
a36	0.0240004	0.0439782	0.068958	0.0934025	0.107831	0.122065	0.104398	0.110502	0.133913	0.190953
a2	0.0155603	0.0276173	0.0436007	0.0670375	0.0874024	0.112857	0.101522	0.110523	0.164492	0.269388
a38	0.0093291	0.0111765	0.016429	0.0242409	0.0339879	0.0426281	0.0491866	0.084273	0.223224	0.505525
a50	0.0184426	0.0175056	0.0293287	0.0391555	0.053337	0.0656065	0.078596	0.113228	0.208463	0.376337
a18	0.0147247	0.0144616	0.0200544	0.0256523	0.0382134	0.0473175	0.0790199	0.119153	0.224456	0.416948
a75	0.0143235	0.0132693	0.0177795	0.023537	0.0350062	0.0470862	0.0811319	0.12633	0.207666	0.43387
a6	0.00269651	0.00502576	0.0103853	0.0158094	0.0256358	0.0398143	0.0877847	0.151605	0.23955	0.421693
a0	0.00187532	0.00392751	0.00827571	0.013054	0.0217885	0.0384806	0.0805873	0.150433	0.23808	0.443498
a11	0.00236919	0.00294178	0.00574932	0.00829411	0.0141968	0.0257595	0.0779849	0.134202	0.237134	0.491368
a38	0.00742752	0.00600576	0.0112245	0.0162035	0.0278062	0.0482907	0.0851916	0.132699	0.20255	0.462602
a9	0.0234664	0.0141815	0.0237744	0.0302909	0.0436561	0.066564	0.104236	0.141742	0.199009	0.35308
a87	0.148525	0.0670337	0.0601939	0.0650636	0.0721814	0.0909159	0.0968106	0.10955	0.123822	0.165904
a23	0.257945	0.124281	0.0771245	0.0779078	0.076473	0.0894583	0.0770201	0.0679835	0.0719581	0.0798486
a87	0.20642	0.104636	0.0811599	0.0764224	0.0773274	0.0895559	0.078588	0.0850736	0.0949064	0.105911
</S>	0.0415252	0.0272728	0.0285133	0.0315876	0.0378387	0.0567286	0.0767437	0.115644	0.204283	0.379863
