 	celles-ci	sont	mes	boucles	d'	oreilles	celles-là	sont	à	toi	</S>
a15	0.216709	0.201016	0.152085	0.0978487	0.0822496	0.0758807	0.0611726	0.0382089	0.0290482	0.0234089	0.0223717
a66	0.363543	0.296965	0.152144	0.0798971	0.0308249	0.0135847	0.0134108	0.0138491	0.0129959	0.0116213	0.0111645
a87	0.297324	0.248471	0.173386	0.114158	0.0416953	0.023625	0.0240204	0.0197867	0.018228	0.01909	0.0202154
a23	0.327506	0.297632	0.178978	0.0964891	0.0282663	0.0132093	0.0132559	0.0117452	0.0108429	0.010855	0.01122
a99	0.275081	0.224255	0.13483	0.109193	0.0317013	0.020912	0.0229927	0.0309031	0.0409265	0.0501581	0.0590469
a61	0.176388	0.141797	0.107981	0.118341	0.0332842	0.0207788	0.0251214	0.0493588	0.0794015	0.108265	0.139283
a12	0.196818	0.179245	0.208814	0.16064	0.0686176	0.0317237	0.0249242	0.0259076	0.0328335	0.0340055	0.036471
a47	0.0965866	0.135666	0.206482	0.255368	0.099288	0.0481026	0.0329329	0.0233148	0.0295078	0.0326241	0.0401264
a21	0.104224	0.146593	0.21139	0.249139	0.0848543	0.0474801	0.0384228	0.027487	0.0284303	0.0282335	0.0337456
a5	0.0813346	0.11498	0.19257	0.251234	0.1125	0.0753739	0.0548911	0.0300496	0.0278003	0.0267949	0.0324712
a85	0.0714239	0.0893317	0.148497	0.200342	0.133283	0.115226	0.0817316	0.0427133	0.0377929	0.0368317	0.0428273
a47	0.0279521	0.0349831	0.062664	0.134145	0.157028	0.201712	0.118737	0.0630399	0.0576092	0.0633624	0.0787659
a36	0.0347879	0.0394214	0.0710912	0.123466	0.16341	0.181509	0.104282	0.0542807	0.0610329	0.0719954	0.094723
a37	0.0442631	0.055451	0.0979436	0.12699	0.180559	0.168984	0.09851	0.0455374	0.0491202	0.0583264	0.0743151
a25	0.0313234	0.0426826	0.0739815	0.106153	0.17235	0.200244	0.119691	0.0592846	0.054639	0.0619918	0.0776588
a98	0.0224284	0.0244481	0.0348822	0.0459165	0.100442	0.174481	0.134475	0.0826394	0.0801331	0.111029	0.189125
a47	0.0070334	0.00734829	0.0110289	0.0185062	0.0576398	0.132555	0.118113	0.118317	0.126857	0.161237	0.241365
a79	0.00797476	0.0064256	0.00900817	0.0151716	0.0474449	0.110249	0.091112	0.0818725	0.110127	0.186891	0.333724
a37	0.00347244	0.00342857	0.00676932	0.0122108	0.0362025	0.0958779	0.115391	0.136125	0.154176	0.17923	0.257117
a54	0.00711986	0.00656366	0.0089454	0.0105688	0.025002	0.0703422	0.0904491	0.133441	0.153963	0.20462	0.288986
a47	0.00204218	0.00150203	0.00215862	0.00377087	0.0130561	0.0373172	0.0526202	0.09906	0.160319	0.244662	0.383492
a36	0.00196488	0.00137879	0.00174955	0.00249519	0.00984352	0.0271948	0.035468	0.0751808	0.154951	0.275508	0.414265
a2	0.00862574	0.00560222	0.00423551	0.00336713	0.00891178	0.0212408	0.0305077	0.0563851	0.111175	0.274768	0.475181
a57	0.0533778	0.0394675	0.0310847	0.0239343	0.0583603	0.0949119	0.0767888	0.0604388	0.0798727	0.177206	0.304557
a87	0.115756	0.0760946	0.0558767	0.0346519	0.113318	0.137315	0.0907394	0.0641202	0.0717241	0.104352	0.136051
a23	0.171419	0.108948	0.0645068	0.0282903	0.0757535	0.0839229	0.0834327	0.0827046	0.0933056	0.100954	0.106763
a99	0.0698971	0.0514478	0.0398802	0.0282681	0.102735	0.135429	0.114577	0.120125	0.120874	0.114722	0.102045
a61	0.0264371	0.0212434	0.0184961	0.0142465	0.0659591	0.103132	0.121551	0.133478	0.146607	0.165463	0.183387
a54	0.00109323	0.00134057	0.00222194	0.00387323	0.0177166	0.0442094	0.0743768	0.135844	0.174743	0.228859	0.315723
a85	0.00101017	0.00143978	0.0028341	0.00513146	0.0217688	0.0498982	0.0703018	0.112359	0.158147	0.234784	0.342325
a6	0.000935922	0.00129515	0.00193153	0.00265248	0.0151685	0.0470709	0.0660584	0.111676	0.161179	0.253071	0.338962
a37	0.00037418	0.000430652	0.000691164	0.00107874	0.00760893	0.0306348	0.0540123	0.112484	0.168267	0.276723	0.347696
a7	0.000572776	0.000608682	0.000920222	0.000814011	0.00464069	0.018284	0.0397535	0.110153	0.165018	0.290692	0.368544
a26	0.000413483	0.00038089	0.0004834	0.000381209	0.00215667	0.0092242	0.0234865	0.0753789	0.123042	0.296935	0.468118
a82	0.00284993	0.00256168	0.00221383	0.00178163	0.00632575	0.0122628	0.0285948	0.0807164	0.13115	0.288638	0.442905
a87	0.0167041	0.0141066	0.0119715	0.00848566	0.0213505	0.0349753	0.0496424	0.0850462	0.127035	0.257927	0.372755
</S>	0.172631	0.119164	0.0749412	0.0406343	0.0559424	0.0705085	0.0597672	0.0596074	0.081859	0.122285	0.14266
