 	où	vas-tu	</S>
a66	0.543253	0.349229	0.107517
a87	0.643629	0.264245	0.0921263
a23	0.73441	0.20546	0.0601302
a20	0.518855	0.326513	0.154632
a15	0.606702	0.255798	0.137501
a79	0.366293	0.438075	0.195632
a98	0.230209	0.448815	0.320975
a15	0.203934	0.357427	0.438639
a7	0.113812	0.31502	0.571168
a61	0.0824215	0.221877	0.695701
a18	0.0879569	0.159243	0.7528
a71	0.109542	0.23243	0.658028
a10	0.194298	0.281531	0.524171
a87	0.489353	0.250126	0.260521
a23	0.599753	0.226095	0.174152
a87	0.543846	0.245665	0.210489
</S>	0.192545	0.269934	0.537521
