 	ne	me	prends	pas	pour	un	imbécile	</S>
a15	0.204531	0.12989	0.144206	0.171786	0.167277	0.122213	0.0395947	0.0205016
a87	0.108768	0.105781	0.115555	0.155041	0.212829	0.170251	0.0944298	0.0373456
a10	0.204802	0.0996615	0.0717029	0.0611899	0.0735344	0.0832791	0.220697	0.185134
a87	0.328076	0.190598	0.106105	0.0708467	0.0655677	0.057883	0.0818425	0.0990814
a30	0.325738	0.198132	0.107869	0.0735535	0.0732282	0.0635554	0.0789704	0.0789544
a93	0.394671	0.213843	0.0934051	0.0671259	0.0658501	0.0547325	0.0570692	0.053303
a13	0.36807	0.237574	0.106347	0.0589596	0.0426959	0.0384788	0.0615619	0.086313
a53	0.410695	0.321333	0.125816	0.0438273	0.0236544	0.0204924	0.0244545	0.0297274
a90	0.337022	0.285195	0.147954	0.0705351	0.0395035	0.0343045	0.040109	0.0453765
a15	0.225871	0.250723	0.182988	0.109154	0.0647869	0.0522392	0.0513432	0.0628959
a73	0.244037	0.243594	0.179903	0.121605	0.0730938	0.0472804	0.0411412	0.0493466
a94	0.169104	0.194591	0.198908	0.153096	0.0948327	0.0614694	0.0520712	0.0759277
a75	0.143525	0.192106	0.226925	0.168486	0.105344	0.0627087	0.0416912	0.0592134
a41	0.137484	0.159789	0.189366	0.163864	0.120475	0.0886009	0.0550601	0.0853613
a37	0.118595	0.142261	0.210838	0.174234	0.124094	0.0881424	0.0574306	0.0844039
a44	0.0981321	0.108884	0.185797	0.18392	0.147828	0.102094	0.067847	0.105498
a75	0.0903497	0.0901141	0.154629	0.17506	0.15504	0.114329	0.0810609	0.139418
a47	0.076395	0.068908	0.0864903	0.100874	0.107179	0.105002	0.141335	0.313816
a88	0.0723705	0.0623804	0.0746826	0.098544	0.125699	0.12394	0.129061	0.313323
a31	0.0456626	0.0408591	0.0568269	0.0712369	0.0898392	0.0981034	0.160468	0.437005
a98	0.0414763	0.0402624	0.0535293	0.0755411	0.104385	0.131049	0.211235	0.342522
a62	0.0276453	0.0233349	0.0289116	0.0441012	0.0580282	0.0715846	0.191722	0.554672
a83	0.00713232	0.00542609	0.00781297	0.0134612	0.023614	0.047287	0.220598	0.674668
a38	0.00510702	0.00418482	0.00662143	0.0125713	0.0224615	0.0494981	0.246206	0.65335
a75	0.00141072	0.00114598	0.00199457	0.0050694	0.0132408	0.0393107	0.23831	0.699518
a47	0.0034772	0.00320295	0.00443291	0.00875151	0.0149483	0.032785	0.214295	0.718107
a36	0.00284982	0.00260141	0.00338111	0.00632025	0.0119847	0.0315302	0.22838	0.712952
a26	0.00378043	0.00345318	0.00431268	0.0103534	0.0368066	0.0942374	0.367153	0.479903
a57	0.0370637	0.0293057	0.0270316	0.0406334	0.0777299	0.111257	0.247833	0.429146
a87	0.0524648	0.0430242	0.0362595	0.0435703	0.0787683	0.132931	0.281343	0.331639
a9	0.0579424	0.0435423	0.0421989	0.0565893	0.0897819	0.132096	0.266296	0.311553
a82	0.0404183	0.0322909	0.0310891	0.0380993	0.0517417	0.0677354	0.26381	0.474815
</S>	0.0363223	0.0300671	0.02737	0.032166	0.0441603	0.0587593	0.248446	0.522709
