 	je	me	suis	déjà	rassasié	</S>
a66	0.370382	0.173312	0.117614	0.121435	0.113126	0.10413
a87	0.335764	0.236934	0.174948	0.131196	0.0738876	0.047271
a10	0.497165	0.289617	0.111582	0.0429947	0.0291078	0.0295335
a87	0.543075	0.279466	0.0806896	0.0330573	0.0271248	0.0365873
a23	0.51948	0.312267	0.0981817	0.0312459	0.0177255	0.0211
a83	0.49376	0.212261	0.0890048	0.0588656	0.0644611	0.0816478
a50	0.469892	0.204193	0.0954192	0.0648497	0.0760128	0.089633
a62	0.467659	0.277068	0.134049	0.0589691	0.0345755	0.0276794
a0	0.275664	0.299123	0.219297	0.114116	0.0521658	0.0396337
a56	0.161202	0.217613	0.23471	0.202486	0.106031	0.0779582
a96	0.144712	0.192905	0.204709	0.222357	0.139955	0.0953621
a70	0.130855	0.162343	0.171251	0.224297	0.170692	0.140561
a34	0.101147	0.117452	0.130696	0.215667	0.226541	0.208496
a79	0.0365273	0.0554088	0.0887974	0.228307	0.316877	0.274083
a37	0.0114814	0.0234007	0.0482278	0.161685	0.327884	0.427321
a26	0.00860519	0.0105266	0.0206766	0.0810859	0.284324	0.594781
a82	0.00361844	0.00411822	0.0090102	0.0357286	0.196263	0.751262
a97	0.118523	0.077798	0.0741079	0.109185	0.200245	0.420141
a87	0.38885	0.205869	0.106012	0.0818658	0.0898118	0.127591
a97	0.302752	0.181522	0.111763	0.101601	0.133534	0.168828
a87	0.201462	0.14108	0.101635	0.114868	0.166017	0.274938
a10	0.175079	0.155178	0.116857	0.123972	0.164833	0.264081
a57	0.163269	0.157564	0.120545	0.127075	0.166625	0.264921
a82	0.142092	0.148294	0.126373	0.129582	0.178742	0.274918
</S>	0.152494	0.153012	0.126468	0.12946	0.172755	0.265811
