 	la	manière	dont	monte	le	riz	va	éteindre	le	feu	</S>
a15	0.266147	0.161772	0.10051	0.118752	0.11077	0.100845	0.0498853	0.0250577	0.020689	0.022162	0.0234103
a84	0.361761	0.201118	0.108055	0.0778061	0.035912	0.0343259	0.0252182	0.0286483	0.0377117	0.0462348	0.0432099
a87	0.367433	0.168415	0.110298	0.0927619	0.060284	0.0490819	0.0251267	0.0257585	0.0273209	0.0350043	0.0385162
a23	0.342956	0.24507	0.143841	0.0729823	0.040372	0.0310108	0.0185147	0.0228028	0.0226842	0.0281994	0.0315669
a50	0.239271	0.244802	0.190336	0.0879957	0.0578365	0.0456614	0.030301	0.0258012	0.0237226	0.0258682	0.0284047
a62	0.261389	0.216661	0.19487	0.160626	0.06028	0.0338033	0.0178362	0.0149188	0.0132373	0.0131298	0.0132494
a61	0.230251	0.284061	0.252684	0.130887	0.04686	0.0211952	0.0109227	0.00570579	0.00613413	0.00587502	0.00542361
a35	0.148829	0.281851	0.268206	0.159038	0.0649034	0.02969	0.0160509	0.00724506	0.00797869	0.00835883	0.0078492
a56	0.135033	0.232823	0.247271	0.173551	0.0873852	0.0443168	0.0253	0.011683	0.0123062	0.0148488	0.0154821
a34	0.117862	0.178034	0.23566	0.184551	0.101879	0.0521583	0.0365778	0.0200896	0.0219709	0.025302	0.0259164
a21	0.113895	0.154173	0.221341	0.200305	0.123173	0.0622333	0.0383222	0.0185629	0.0200477	0.0231298	0.0248164
a85	0.0819249	0.128991	0.195478	0.173021	0.14806	0.0894928	0.0573389	0.028463	0.0292585	0.031889	0.0360837
a92	0.0489271	0.09048	0.161704	0.148598	0.165644	0.106893	0.0799164	0.0485964	0.050569	0.0482771	0.0503949
a98	0.0377414	0.0485726	0.100002	0.144097	0.194277	0.125517	0.103365	0.0647859	0.065177	0.0569393	0.0595266
a92	0.0130886	0.0199383	0.0528755	0.106738	0.215633	0.157614	0.137103	0.0874909	0.0763267	0.0650897	0.0681023
a56	0.0149243	0.0200057	0.0372983	0.0818561	0.16777	0.13886	0.127178	0.106629	0.107191	0.0938368	0.104451
a75	0.0199262	0.0231595	0.0421314	0.0979435	0.179176	0.154886	0.113984	0.0812631	0.0914337	0.0913161	0.104781
a21	0.00523192	0.00880823	0.0170402	0.0359156	0.10912	0.13307	0.140822	0.15981	0.146228	0.117493	0.126461
a47	0.00698003	0.00854072	0.011409	0.0156998	0.0434548	0.0820358	0.121784	0.175412	0.188806	0.166823	0.179056
