 	ses	cheveux	sont	pleins	de	poux	</S>
a87	0.304909	0.221173	0.171515	0.135049	0.0740328	0.0513299	0.0419917
a23	0.222999	0.17719	0.184185	0.11531	0.0826735	0.100361	0.117282
a87	0.348992	0.291134	0.187379	0.0668032	0.029015	0.0334696	0.043207
a10	0.288607	0.256281	0.194019	0.110183	0.0551984	0.0491879	0.0465247
a62	0.257779	0.235945	0.179062	0.115021	0.0707789	0.0728845	0.0685298
a75	0.333059	0.257181	0.134058	0.0577393	0.0537344	0.0828529	0.0813762
a73	0.394569	0.266971	0.109011	0.0475476	0.0383585	0.0733189	0.0702248
a15	0.309135	0.270036	0.169248	0.0828328	0.0508379	0.0642202	0.0536905
a98	0.29057	0.291487	0.189018	0.0992598	0.0480331	0.0450731	0.0365591
a5	0.258239	0.276463	0.21153	0.12078	0.0511607	0.0432902	0.0385371
a21	0.191583	0.321918	0.268377	0.121027	0.0386164	0.0327445	0.0257346
a18	0.210697	0.269519	0.257347	0.162038	0.0458785	0.0299216	0.0245989
a71	0.133272	0.180782	0.304114	0.201217	0.0646405	0.05613	0.0598446
a75	0.0332134	0.0562024	0.156495	0.308714	0.156254	0.128491	0.160631
a85	0.0852175	0.073021	0.124715	0.187483	0.153898	0.149322	0.226345
a37	0.0636498	0.0459312	0.0826961	0.185835	0.187534	0.162297	0.272057
a31	0.0717164	0.0514791	0.0700408	0.210206	0.205399	0.157887	0.233272
a88	0.0519261	0.0553194	0.0722219	0.193036	0.255061	0.165504	0.206931
a71	0.028605	0.0268157	0.0428435	0.14615	0.259585	0.213344	0.282657
a61	0.00761704	0.00805121	0.0147911	0.0908972	0.212952	0.297804	0.367888
a12	0.0100564	0.00949822	0.0153632	0.0841329	0.241612	0.298446	0.340891
a88	0.00750181	0.00585002	0.00913216	0.0473343	0.203262	0.330806	0.396114
a71	0.00322551	0.00245304	0.00498948	0.0364638	0.179544	0.328641	0.444683
a61	0.00248722	0.00243278	0.00446168	0.0326877	0.147747	0.263568	0.546616
a12	0.00161869	0.00158749	0.00364368	0.0299969	0.166056	0.333803	0.463294
a62	0.00207931	0.00223238	0.00443794	0.0314815	0.168901	0.338462	0.452406
a12	0.000684109	0.000736442	0.0018564	0.0251838	0.148204	0.296667	0.526668
a88	0.00104356	0.00131041	0.0031658	0.0257062	0.135278	0.307348	0.526148
a9	0.000794357	0.000676102	0.00127426	0.0163966	0.106798	0.239752	0.63431
a10	0.00539386	0.0041294	0.00709184	0.0403445	0.147641	0.285931	0.509469
a97	0.0176954	0.0114338	0.0216956	0.0658068	0.184747	0.286875	0.411747
a10	0.0508175	0.0401574	0.068502	0.166805	0.224472	0.224754	0.224492
a87	0.034531	0.0292741	0.0629152	0.167958	0.222104	0.25345	0.229767
a23	0.0303416	0.0349861	0.0838685	0.18421	0.211753	0.239275	0.215566
a9	0.0210087	0.0144701	0.0237639	0.0832688	0.181527	0.311136	0.364825
a10	0.0105316	0.0118231	0.0276348	0.0530808	0.118918	0.26728	0.510731
</S>	0.0147428	0.0131033	0.0261497	0.0479237	0.113668	0.273723	0.510689
