 	on	a	fabriqué	beaucoup	d'	alcool	de	maïs	pour	le	fête	</S>
a23	0.166532	0.122071	0.109216	0.074917	0.0955297	0.122141	0.0937432	0.0607958	0.0598614	0.0405525	0.0385851	0.0160546
a87	0.116553	0.062851	0.0558945	0.062849	0.0959692	0.105964	0.104632	0.104622	0.106423	0.0707502	0.0683624	0.0451304
a10	0.154273	0.124817	0.102153	0.0765647	0.0658792	0.0550815	0.053278	0.0447242	0.053903	0.0534831	0.104535	0.111308
a40	0.235742	0.18807	0.146057	0.0923039	0.0611096	0.0497351	0.0373044	0.0250958	0.0246085	0.0278466	0.054456	0.0576712
a30	0.256224	0.180775	0.120162	0.0898393	0.0622029	0.0543789	0.0496669	0.0402466	0.0393038	0.0352572	0.0447936	0.0271505
a37	0.253224	0.211256	0.124943	0.0950845	0.0646231	0.0570806	0.0500516	0.032807	0.0374432	0.0284114	0.0320267	0.0130482
a24	0.224857	0.209704	0.136752	0.100248	0.0712336	0.0656605	0.053594	0.0310555	0.0301333	0.0247018	0.0339902	0.0180696
a66	0.170405	0.188922	0.149414	0.121576	0.0873303	0.0713651	0.0628924	0.0385191	0.0343956	0.0254093	0.0300301	0.0197416
a76	0.136165	0.155522	0.133212	0.122676	0.0987848	0.0769373	0.0723235	0.050265	0.0426537	0.0318164	0.0386237	0.0410209
a94	0.128039	0.128254	0.110688	0.110925	0.0986123	0.0845983	0.0995785	0.0833259	0.0682655	0.0357882	0.0281606	0.0237649
a35	0.135377	0.12383	0.0995977	0.101038	0.106857	0.0964186	0.112029	0.0833478	0.0628316	0.0307648	0.0224738	0.0254352
a41	0.0735697	0.068324	0.0627593	0.0772482	0.10292	0.103475	0.133378	0.114739	0.100796	0.0587364	0.0480735	0.0559803
a66	0.0985306	0.0865458	0.0740494	0.0772424	0.0982676	0.10845	0.131307	0.0994012	0.082079	0.0545561	0.0428434	0.0467278
a75	0.0420123	0.0359204	0.0356639	0.0461714	0.0947248	0.13749	0.161834	0.114445	0.103039	0.0752202	0.0726546	0.0808242
a41	0.0353097	0.0353699	0.0347193	0.0481928	0.093234	0.113817	0.148603	0.128524	0.115601	0.0897458	0.0724896	0.0843944
a35	0.0282302	0.028014	0.0275126	0.0331205	0.0716429	0.107578	0.125343	0.110215	0.112509	0.109877	0.10767	0.138287
a14	0.0195921	0.020272	0.0202002	0.0208112	0.0420039	0.0678252	0.0856959	0.0879007	0.0980649	0.12601	0.161983	0.249641
a35	0.0211721	0.0229451	0.0233074	0.0235461	0.0472442	0.0711111	0.0872067	0.0838641	0.0963641	0.126152	0.169502	0.227585
a98	0.0163384	0.0163394	0.0145889	0.014697	0.0300272	0.0439843	0.0602959	0.0681207	0.0840703	0.130109	0.188018	0.333411
a75	0.0130208	0.0138094	0.0133139	0.0148519	0.0341564	0.0553839	0.0689448	0.0666045	0.0860913	0.130413	0.188455	0.314955
a26	0.0194178	0.0164393	0.0136465	0.0159395	0.0303871	0.0413774	0.0576181	0.0706062	0.0914133	0.140113	0.189496	0.313546
a24	0.00588357	0.00527273	0.00511494	0.00651343	0.0140158	0.0217215	0.0296415	0.037356	0.055582	0.107402	0.208213	0.503283
a9	0.00532072	0.00429777	0.00397076	0.00358456	0.00554148	0.00779325	0.00972572	0.0138134	0.0218459	0.0559375	0.189676	0.678493
a87	0.00309179	0.0028523	0.00365604	0.00415697	0.00761948	0.0105258	0.0127606	0.019459	0.0326189	0.0805159	0.209057	0.613687
a23	0.0032832	0.00262184	0.00308927	0.00267181	0.00478255	0.0068663	0.00931096	0.014015	0.0222395	0.0605981	0.174638	0.695883
a38	0.00321917	0.00249657	0.0028528	0.00281696	0.00634553	0.0101052	0.0147777	0.0256024	0.0369399	0.0816736	0.203949	0.609221
a76	0.00174492	0.00145178	0.00189105	0.00296672	0.0103386	0.0179579	0.0218515	0.0302506	0.0441353	0.0887697	0.167623	0.611019
a94	0.00608668	0.00514974	0.00490232	0.00558289	0.0129661	0.0242419	0.0230859	0.0273164	0.0397131	0.0762192	0.168066	0.606669
a11	0.00389411	0.00315969	0.00326192	0.00379564	0.00804535	0.0138121	0.0133353	0.0175112	0.027989	0.068845	0.169527	0.666824
a75	0.00378188	0.00296668	0.00371344	0.00518289	0.0114499	0.0165623	0.0183029	0.02425	0.034921	0.0745663	0.163665	0.640638
a41	0.00414706	0.00322389	0.00261488	0.00256402	0.00635783	0.01178	0.0107849	0.0143906	0.0233423	0.056668	0.134083	0.730043
a32	0.00185502	0.00133001	0.00132803	0.00160904	0.00427193	0.00713643	0.00831821	0.0129808	0.0224997	0.0637676	0.154761	0.720142
a25	0.00631551	0.00425947	0.0038285	0.00368259	0.00777063	0.0110214	0.0122031	0.0173677	0.024983	0.0550306	0.122395	0.731142
a10	0.0134699	0.00885261	0.0065488	0.00526342	0.00980873	0.0139341	0.01586	0.0223436	0.032674	0.0653182	0.136062	0.669865
a24	0.0276839	0.021951	0.0144529	0.00797689	0.0110484	0.0146701	0.0150718	0.0207597	0.0271071	0.0530143	0.14413	0.642134
a9	0.016275	0.0112597	0.0073054	0.00554127	0.0106563	0.0156402	0.0163294	0.022624	0.0325688	0.0664992	0.129013	0.666288
a87	0.00585393	0.00465429	0.00418502	0.00345489	0.00591813	0.00841941	0.0109308	0.0189107	0.0296868	0.0680685	0.147819	0.692099
a23	0.0287215	0.0208545	0.015387	0.00926424	0.0111511	0.0132131	0.0164101	0.0260344	0.0357592	0.0687792	0.169839	0.584587
a87	0.0363699	0.0303244	0.0181361	0.00992303	0.0126379	0.0164508	0.0205252	0.0297341	0.0436179	0.0826048	0.197674	0.502002
a23	0.0437567	0.0362958	0.0187007	0.00901939	0.0112849	0.0158336	0.0201982	0.0295578	0.0390623	0.0653336	0.182802	0.528155
a87	0.0350999	0.031741	0.0163362	0.00894641	0.0112253	0.0157452	0.0228355	0.033692	0.0492539	0.0881519	0.217444	0.469528
</S>	0.0353745	0.0257688	0.0133072	0.00887109	0.0124515	0.0155811	0.0207097	0.0308557	0.0396639	0.0684963	0.180867	0.548054
