 	je	ne	connais	pas	tes	enfants	</S>
a66	0.381092	0.20634	0.110821	0.110648	0.0987644	0.0553762	0.0369581
a87	0.368005	0.230592	0.135938	0.120914	0.0835653	0.0366128	0.0243735
a23	0.415314	0.282606	0.169723	0.0555728	0.0342249	0.0224136	0.0201461
a83	0.440744	0.228138	0.139042	0.0646606	0.0480074	0.0360091	0.0433987
a62	0.420519	0.217345	0.127564	0.0590443	0.0548338	0.0571103	0.0635835
a12	0.303403	0.246568	0.188942	0.104799	0.065624	0.0476108	0.0430532
a47	0.174956	0.197532	0.207864	0.154323	0.107201	0.0804526	0.0776719
a88	0.148083	0.156435	0.186073	0.163493	0.134597	0.108704	0.102615
a98	0.0994246	0.142212	0.188906	0.187761	0.143647	0.121861	0.116188
a6	0.0828083	0.12537	0.15815	0.173702	0.153601	0.151521	0.154847
a92	0.0995897	0.126257	0.138024	0.161177	0.154666	0.158681	0.161605
a79	0.0658687	0.0878186	0.119593	0.184442	0.197385	0.178604	0.166288
a32	0.0272427	0.04098	0.076736	0.174221	0.239406	0.231287	0.210127
a90	0.00974837	0.00975383	0.0185904	0.0722188	0.172146	0.306571	0.410971
a69	0.0082066	0.00979475	0.0228309	0.0980826	0.214929	0.310805	0.335351
a58	0.00452902	0.00462747	0.00953269	0.0420018	0.130006	0.325588	0.483715
a54	0.00553962	0.00522906	0.0083944	0.0237993	0.0783339	0.272746	0.605958
a47	0.00560031	0.00565617	0.00905192	0.0292149	0.0894499	0.28666	0.574367
a36	0.00262178	0.00253779	0.00510279	0.0213006	0.0693697	0.255412	0.643656
a2	0.0213478	0.0181119	0.0223512	0.0434944	0.0782462	0.229798	0.586651
a57	0.142404	0.0910532	0.0628034	0.0886729	0.103099	0.181074	0.330893
a87	0.440545	0.198493	0.0819524	0.0549553	0.0492769	0.0700473	0.10473
a23	0.423354	0.230398	0.101646	0.0647244	0.0536959	0.0592455	0.0669368
a87	0.218006	0.130989	0.0883923	0.0789791	0.103416	0.163203	0.217015
</S>	0.0420789	0.0343115	0.0410662	0.0648781	0.121511	0.268027	0.428127
