 	on	a	entendu	le	bruit	d'	un	coup	de	fusil	</S>
a23	0.32011	0.182118	0.0959038	0.0585299	0.0525549	0.05985	0.0727184	0.0636341	0.0411495	0.0280815	0.0253496
a83	0.290321	0.134396	0.0969315	0.102063	0.101294	0.0840507	0.0670644	0.0461359	0.0302078	0.0218828	0.0256518
a0	0.256776	0.190447	0.161945	0.103586	0.0856029	0.0599336	0.0502307	0.0325799	0.0231153	0.0181857	0.0175984
a75	0.215824	0.189974	0.197409	0.161528	0.116831	0.053495	0.0311816	0.0147084	0.00796032	0.00580122	0.00528793
a70	0.181237	0.21829	0.233054	0.161542	0.0989969	0.0429149	0.0261928	0.0154085	0.00968932	0.00673566	0.00593833
a34	0.135625	0.185252	0.243396	0.213531	0.131396	0.0472611	0.0231737	0.0101985	0.00450396	0.00299561	0.00266697
a75	0.121681	0.187345	0.256282	0.211164	0.128655	0.0488203	0.0257779	0.0108423	0.00433753	0.00266755	0.00242694
a34	0.115703	0.143337	0.179815	0.206596	0.171508	0.0835404	0.0505763	0.0239251	0.0108598	0.00732777	0.00681247
a66	0.0775526	0.0716476	0.0833424	0.147713	0.191935	0.157306	0.116594	0.0747099	0.0368688	0.0229566	0.0193729
a0	0.054629	0.0464074	0.0450544	0.101103	0.163903	0.168634	0.139666	0.112969	0.0752413	0.0490837	0.0433091
a83	0.0487273	0.0323268	0.0251159	0.0497132	0.100822	0.140086	0.14021	0.14464	0.128705	0.103652	0.0860025
a61	0.0328826	0.0253542	0.0223756	0.0434203	0.0907031	0.156384	0.163247	0.163469	0.127276	0.0971655	0.0777226
a75	0.0150794	0.0136526	0.015253	0.0318878	0.0656419	0.123665	0.150518	0.181349	0.162089	0.131935	0.108929
a98	0.0203404	0.0192249	0.023402	0.0434293	0.0667378	0.0898065	0.109931	0.143791	0.170713	0.173867	0.138757
a92	0.0113385	0.0119267	0.0169969	0.028115	0.043389	0.0512885	0.0653599	0.105925	0.175899	0.254072	0.235691
a7	0.00965292	0.00893796	0.0134022	0.0244989	0.0438004	0.0606243	0.0754026	0.116375	0.189983	0.240457	0.216866
a26	0.00452282	0.00257687	0.00285202	0.00557746	0.013834	0.028985	0.0410324	0.0784508	0.155294	0.242043	0.424831
a75	0.00385729	0.00233757	0.00249164	0.00292929	0.00648294	0.0137899	0.0207846	0.0427708	0.118097	0.252412	0.534047
a47	0.00161409	0.00112289	0.00156379	0.00234385	0.00648094	0.0129647	0.0203819	0.0448896	0.134223	0.277164	0.49725
a2	0.0052605	0.00459755	0.00640415	0.00916152	0.0202447	0.027733	0.0369462	0.0635816	0.148171	0.277899	0.400001
a57	0.00793759	0.00668495	0.00778568	0.0123534	0.0224086	0.0350452	0.0444949	0.067216	0.135041	0.242333	0.4187
a87	0.171714	0.0954096	0.0566991	0.0368077	0.0414167	0.0452613	0.0538877	0.074957	0.107671	0.135044	0.181132
a23	0.226109	0.135263	0.103209	0.0697217	0.065904	0.0713875	0.0831677	0.0799457	0.0604001	0.051052	0.0538409
a87	0.126184	0.0648039	0.0482241	0.0319564	0.0408918	0.066578	0.0922159	0.125298	0.151786	0.135621	0.116441
</S>	0.0199184	0.0159948	0.0151251	0.0102611	0.0167511	0.0309614	0.0459884	0.0828339	0.1583	0.262406	0.34146
