 	je	chante	et	tu	m'	accompagnes	</S>
a66	0.281569	0.232251	0.20256	0.147665	0.0891192	0.0353016	0.0115333
a87	0.34382	0.170733	0.133291	0.116205	0.107166	0.0773705	0.0514129
a23	0.318473	0.206537	0.13585	0.10526	0.0925311	0.0682382	0.0731108
a97	0.402235	0.281514	0.134483	0.067998	0.0451692	0.0323778	0.036224
a99	0.373734	0.268198	0.14771	0.0891543	0.0542776	0.0308911	0.0360344
a97	0.429087	0.244678	0.131828	0.0833618	0.046466	0.0287846	0.0357951
a99	0.375821	0.238717	0.149258	0.10132	0.0576538	0.0340972	0.0431336
a83	0.377708	0.232405	0.144347	0.106523	0.0627637	0.0349446	0.0413095
a75	0.345887	0.209891	0.147685	0.110059	0.0944883	0.0549861	0.0370038
a5	0.224185	0.163201	0.152606	0.13333	0.14853	0.104498	0.0736499
a21	0.166125	0.19261	0.201858	0.172907	0.15279	0.077323	0.0363866
a47	0.176452	0.195011	0.219188	0.184977	0.143141	0.0570884	0.0241434
a62	0.183126	0.203529	0.214598	0.169268	0.127412	0.0636742	0.0383937
a31	0.114136	0.170747	0.219949	0.214273	0.173288	0.0721272	0.0354806
a47	0.0765226	0.127516	0.17967	0.212411	0.218526	0.122163	0.0631923
a61	0.0706191	0.130198	0.18565	0.211182	0.20939	0.134767	0.0581944
a96	0.0552329	0.109762	0.161401	0.19221	0.217641	0.184186	0.0795664
a98	0.0400896	0.0986009	0.162023	0.198392	0.219326	0.19044	0.091128
a47	0.0401053	0.110237	0.156623	0.167552	0.169092	0.171852	0.184539
a36	0.0407351	0.0949693	0.137007	0.162894	0.148998	0.17201	0.243387
a26	0.0381792	0.0569888	0.0946594	0.159962	0.17064	0.185921	0.29365
a44	0.0292367	0.0490734	0.0975335	0.175351	0.176688	0.186036	0.286081
a34	0.0148603	0.0209351	0.0447583	0.117577	0.171506	0.267257	0.363106
a92	0.00824898	0.0162776	0.0353779	0.0886769	0.141698	0.264006	0.445715
a93	0.00535603	0.00972462	0.0187173	0.0450472	0.0750117	0.19024	0.655903
a4	0.00272596	0.00526042	0.0120721	0.0341044	0.0624202	0.15351	0.729907
a11	0.00240482	0.00368265	0.00732318	0.0212577	0.038627	0.129498	0.797206
a47	0.00100774	0.00160814	0.00330731	0.0111693	0.022646	0.0850352	0.875226
a62	0.0023271	0.00248764	0.00393731	0.0110216	0.0200635	0.0796707	0.880492
a75	0.00150676	0.00200941	0.00380546	0.012797	0.0258767	0.0961433	0.857861
a6	0.000564154	0.000792461	0.00149864	0.00533819	0.011488	0.0527137	0.927605
a36	0.000474134	0.000641863	0.00110079	0.00392805	0.00913357	0.0502886	0.934433
a26	0.00462997	0.00325374	0.00424417	0.0106871	0.0206397	0.0790757	0.87747
a3	0.127745	0.0678425	0.0659685	0.0861543	0.125274	0.193607	0.333408
a38	0.249162	0.100335	0.0634095	0.0614375	0.0872569	0.139561	0.298838
a97	0.104054	0.0402238	0.0237479	0.025935	0.0437952	0.1232	0.639045
a9	0.11107	0.0695398	0.0627581	0.0824711	0.109188	0.146571	0.418402
</S>	0.0467094	0.0350042	0.0366057	0.051516	0.0817447	0.15535	0.59307
