 	la	maladie	dont	il	souffre	a	beaucoup	duré	</S>
a66	0.162338	0.128988	0.163243	0.166669	0.163109	0.0965986	0.0549895	0.0405928	0.0234724
a10	0.216953	0.171185	0.146213	0.134885	0.117319	0.0849492	0.0586373	0.0514549	0.0184034
a87	0.370034	0.243567	0.166588	0.0725453	0.0405678	0.0233141	0.0282699	0.0401904	0.0149231
a23	0.32067	0.237437	0.177877	0.0936915	0.0638056	0.0324703	0.0270533	0.0350143	0.0119806
a83	0.318235	0.265978	0.194593	0.0657844	0.0387591	0.0214693	0.0231603	0.0424039	0.0296164
a9	0.339456	0.278076	0.225207	0.0748039	0.0363914	0.0146353	0.0156332	0.00939475	0.00640279
a53	0.285356	0.283635	0.229871	0.0888429	0.0571266	0.0246909	0.0196351	0.00721767	0.0036251
a56	0.242621	0.253243	0.241029	0.110721	0.0728683	0.038112	0.0279902	0.0100612	0.00335417
a96	0.173115	0.208552	0.221552	0.12092	0.0970286	0.0672843	0.0592541	0.0402361	0.0120579
a47	0.144114	0.163631	0.175008	0.125496	0.115193	0.0949493	0.0781661	0.0797259	0.0237176
a61	0.1129	0.131712	0.137532	0.105557	0.105823	0.103145	0.0972942	0.146486	0.0595515
a21	0.102798	0.112979	0.135462	0.142889	0.153444	0.125651	0.0800727	0.108103	0.0386013
a92	0.0787369	0.0881714	0.115438	0.146307	0.167069	0.13888	0.0879403	0.118361	0.0590967
a37	0.0524661	0.055489	0.0727291	0.131482	0.163209	0.171599	0.111344	0.1308	0.110882
a62	0.0642391	0.0597559	0.0723097	0.132945	0.152555	0.144584	0.119485	0.116048	0.13808
a88	0.0655677	0.0511953	0.0454436	0.0786565	0.0906462	0.11003	0.125263	0.163935	0.269263
a62	0.0346005	0.028481	0.0198787	0.0335912	0.032129	0.0472617	0.116948	0.214679	0.472431
a21	0.0252905	0.0188337	0.0120653	0.0169031	0.0215608	0.0524257	0.125848	0.255892	0.471181
a5	0.00905179	0.00592513	0.00334903	0.00465003	0.00652052	0.0269821	0.0812052	0.197103	0.665213
a18	0.00568779	0.00332245	0.00176114	0.0026267	0.00329318	0.0142995	0.0484877	0.137446	0.783076
a27	0.0128066	0.0101512	0.00678604	0.0102996	0.00831646	0.0182707	0.0535136	0.0652492	0.814607
a82	0.119521	0.0773844	0.045168	0.0614505	0.0475601	0.058492	0.0870382	0.0952202	0.408165
a87	0.196896	0.0949422	0.0598464	0.107973	0.0795895	0.0725522	0.0684614	0.0866761	0.233063
a23	0.313039	0.186804	0.116636	0.129567	0.0750846	0.0530797	0.0421577	0.0328273	0.050804
a87	0.207199	0.101614	0.0485069	0.0467453	0.0348435	0.0388185	0.0622799	0.0919294	0.368064
</S>	0.0552245	0.025301	0.0139838	0.0200672	0.0204372	0.0334456	0.0632878	0.150362	0.617891
