 	son	récit	nous	brisa	le	coeur	</S>
a23	0.285527	0.293733	0.19	0.0890889	0.0630178	0.0441334	0.0344989
a10	0.342626	0.225768	0.220464	0.103418	0.0479963	0.036457	0.0232708
a87	0.307382	0.231558	0.209393	0.0980204	0.0541408	0.047716	0.0517902
a99	0.304096	0.214757	0.180783	0.107097	0.0716151	0.059391	0.0622615
a0	0.280431	0.227767	0.173427	0.076568	0.0792843	0.0810773	0.0814454
a75	0.403452	0.24752	0.14453	0.0690768	0.0557143	0.041621	0.0380863
a21	0.324255	0.311363	0.206482	0.092437	0.0320167	0.0183455	0.0151006
a75	0.366971	0.349915	0.186978	0.0541592	0.0180101	0.0124243	0.0115431
a85	0.27999	0.301911	0.206729	0.104985	0.0486937	0.0326568	0.0250344
a56	0.276859	0.354777	0.187905	0.0943007	0.0352519	0.0269179	0.0239894
a75	0.253208	0.348783	0.193593	0.117094	0.0380112	0.0266904	0.0226203
a66	0.244366	0.303009	0.144074	0.110007	0.0726065	0.0653257	0.060611
a38	0.204589	0.203792	0.139689	0.174402	0.0926954	0.0854438	0.0993894
a21	0.163014	0.137317	0.0853237	0.161035	0.163295	0.145609	0.144407
a61	0.171257	0.16326	0.121763	0.187492	0.141812	0.11316	0.101256
a56	0.0797075	0.0630798	0.0506055	0.140776	0.270489	0.218369	0.176973
a11	0.0669851	0.0532501	0.0378376	0.104335	0.252224	0.248122	0.237246
a0	0.0375386	0.0318424	0.0269177	0.0712721	0.253476	0.308333	0.27062
a56	0.0177275	0.0174254	0.0177135	0.0429968	0.190672	0.328882	0.384582
a66	0.00988242	0.00907662	0.00820031	0.0270038	0.173824	0.355392	0.416622
a75	0.00239717	0.00310035	0.0043866	0.0122743	0.0902829	0.29586	0.591699
a96	0.00366578	0.00443696	0.00641676	0.0244986	0.133473	0.328755	0.498754
a44	0.0024666	0.00366317	0.0058962	0.0229637	0.131819	0.301787	0.531405
a7	0.00133379	0.00189084	0.00281331	0.0110605	0.0898068	0.277419	0.615676
a57	0.00118903	0.00154748	0.00223326	0.00578333	0.0498122	0.256757	0.682677
a10	0.0131701	0.0102667	0.00937581	0.0119428	0.0664887	0.280419	0.608337
</S>	0.0426294	0.0286647	0.02965	0.0295117	0.0969615	0.28949	0.483093
