 	la	plante	komokomo	a	beaucoup	poussé	dans	la	parcelle	</S>
a66	0.334246	0.321434	0.1642	0.0223864	0.0164475	0.0157859	0.0197094	0.028659	0.0375744	0.0395575
a87	0.388021	0.112642	0.0559117	0.0289737	0.0306033	0.035289	0.0468671	0.0733805	0.102405	0.125907
a40	0.284316	0.119456	0.0938272	0.03587	0.0339761	0.0319255	0.0421732	0.0636581	0.107424	0.187373
a7	0.165505	0.208206	0.216456	0.0762568	0.0613831	0.0492907	0.0471909	0.0496193	0.0556584	0.0704339
a53	0.136655	0.240456	0.279025	0.0969377	0.0524466	0.0357854	0.0350067	0.0417195	0.0377859	0.0441823
a44	0.116482	0.22966	0.263945	0.151011	0.0827222	0.0473515	0.0348111	0.0284959	0.0221141	0.0234062
a90	0.105583	0.208659	0.229698	0.166843	0.0954582	0.0552929	0.0404283	0.0338309	0.0305319	0.0336741
a69	0.0847719	0.171958	0.209071	0.183583	0.109807	0.0652261	0.0484764	0.041229	0.0407523	0.0451253
a58	0.0863755	0.179627	0.218588	0.185775	0.104817	0.0629757	0.0464042	0.0384002	0.0366836	0.0403532
a53	0.0835951	0.17249	0.203596	0.183397	0.0936813	0.0587408	0.0479345	0.0443702	0.0494525	0.0627433
a90	0.0657516	0.0835726	0.0980606	0.198614	0.129657	0.0903387	0.081815	0.0707489	0.08031	0.101131
a44	0.0725873	0.073229	0.0612471	0.139943	0.125857	0.122108	0.117099	0.0920628	0.0908357	0.105031
a79	0.0353694	0.0306756	0.0299072	0.107207	0.119914	0.131595	0.145798	0.123832	0.122276	0.153425
a44	0.0268091	0.033442	0.039681	0.101817	0.124814	0.137229	0.142241	0.125592	0.116884	0.151491
a34	0.0186359	0.0184389	0.0213711	0.0782064	0.0960269	0.136148	0.169023	0.140524	0.140329	0.181296
a70	0.0119656	0.00935853	0.00985864	0.0582139	0.0827738	0.132685	0.177391	0.161567	0.160561	0.195625
a56	0.00299477	0.00249645	0.00329212	0.0347693	0.0607797	0.126711	0.193653	0.188666	0.182833	0.203806
a44	0.00279317	0.0026114	0.00350904	0.0304637	0.0478084	0.0986828	0.159666	0.182852	0.208119	0.263495
a90	0.000613049	0.000590823	0.00090038	0.0115694	0.02432	0.0709373	0.136676	0.185074	0.254175	0.315144
a56	0.00169123	0.00180546	0.0032113	0.0270049	0.0426989	0.0840357	0.128659	0.158269	0.216741	0.335883
a43	0.000679	0.000703337	0.00100269	0.00940056	0.0179006	0.0535757	0.105226	0.160432	0.269297	0.381783
a62	0.000353179	0.000289257	0.000378753	0.00354943	0.00651263	0.0249308	0.0621004	0.120631	0.282578	0.498677
a0	0.00105408	0.00101225	0.00120784	0.00752344	0.0118499	0.0364562	0.0725669	0.114845	0.27081	0.482674
a70	0.00195168	0.00185954	0.00177763	0.00708506	0.0098642	0.0273042	0.0507951	0.0885958	0.260089	0.550678
a13	0.000655616	0.000760464	0.000864203	0.0044079	0.00731232	0.0243286	0.0500949	0.0960472	0.265315	0.550214
a9	0.00115096	0.00112919	0.000986606	0.0056942	0.0105679	0.0348312	0.0633021	0.111395	0.255638	0.515305
a87	0.0252084	0.0201407	0.0154847	0.0280142	0.0345576	0.0662462	0.0897427	0.119094	0.203047	0.398465
a23	0.176287	0.0692452	0.0487047	0.0598247	0.0584849	0.0665938	0.0721351	0.0885428	0.136441	0.223741
a87	0.0791352	0.0322568	0.0127456	0.0259721	0.0298946	0.0598265	0.0892475	0.133227	0.215492	0.322202
a23	0.00380345	0.00216772	0.00183282	0.00784988	0.0100455	0.0287511	0.0566364	0.120019	0.293471	0.475423
a97	0.0205431	0.00810224	0.00487203	0.0162419	0.0189041	0.0455559	0.0786328	0.14137	0.25768	0.408098
</S>	0.00333106	0.00206459	0.00177293	0.00613869	0.00914439	0.0296535	0.05948	0.121356	0.26999	0.497068
