 	le	village	est	maussade	à	cause	des	décès	successifs	</S>
a10	0.179409	0.0882931	0.0682676	0.0720197	0.113947	0.163828	0.198205	0.0692381	0.0305333	0.0162594
a87	0.192708	0.0862473	0.0875462	0.0755593	0.0994247	0.138086	0.127794	0.0863847	0.0589596	0.0472901
a23	0.316124	0.162941	0.162908	0.0806364	0.0465278	0.0328531	0.0318666	0.0494185	0.0640474	0.0526775
a30	0.23343	0.168262	0.208368	0.133974	0.0883451	0.0531754	0.0387056	0.0303137	0.0277272	0.017699
a93	0.217679	0.187802	0.172702	0.109683	0.0971755	0.0603748	0.0521767	0.0396957	0.0336283	0.029083
a75	0.204844	0.192265	0.173256	0.147188	0.11769	0.0675984	0.0302626	0.0230916	0.0260549	0.0177495
a34	0.232974	0.263194	0.186766	0.147494	0.0833087	0.0441525	0.0198635	0.0105463	0.00754749	0.00415342
a70	0.20458	0.246315	0.196014	0.166483	0.0996221	0.0424886	0.0175255	0.0111886	0.0105681	0.00521496
a66	0.129076	0.166402	0.157437	0.158226	0.154049	0.0999172	0.0547375	0.0360806	0.0308142	0.0132605
a11	0.0961927	0.140175	0.143413	0.133035	0.138812	0.092251	0.0627436	0.0685761	0.0798864	0.0449159
a75	0.0902111	0.131395	0.129609	0.114021	0.146887	0.107222	0.0774983	0.0733985	0.0734393	0.0563193
a34	0.0850057	0.0988703	0.121728	0.11498	0.1889	0.157457	0.0968655	0.055421	0.043778	0.0369957
a21	0.0707976	0.0761856	0.090799	0.081618	0.149849	0.156482	0.123532	0.0970503	0.102591	0.0510962
a47	0.0734252	0.0711092	0.0877954	0.0919565	0.141902	0.153468	0.143395	0.113372	0.088365	0.0352117
a83	0.0751433	0.0675362	0.084615	0.0755726	0.100568	0.105213	0.121973	0.120885	0.155287	0.0932069
a9	0.0333697	0.0334917	0.0402227	0.0329429	0.054083	0.0666437	0.10626	0.14218	0.278685	0.212122
a0	0.0151435	0.0149361	0.0182859	0.015424	0.0244981	0.0343886	0.0751861	0.137009	0.243403	0.421726
a31	0.00700865	0.00687111	0.00748257	0.00598244	0.00918221	0.0112088	0.027695	0.0851643	0.303303	0.536102
a88	0.0116358	0.0117069	0.0135163	0.0119271	0.01695	0.0205431	0.0445244	0.106462	0.299195	0.463539
a0	0.00202816	0.00170403	0.00222153	0.00215485	0.00326144	0.00567645	0.0166168	0.0523205	0.181981	0.732036
a31	0.00171473	0.00121512	0.00151814	0.00197201	0.00362453	0.00652438	0.0175043	0.0500961	0.165834	0.749997
a88	0.00114448	0.00097764	0.00130577	0.00165658	0.00276849	0.00517767	0.0134757	0.0424769	0.16969	0.761327
a47	0.00109641	0.000870385	0.00110361	0.0014777	0.00246285	0.00449147	0.0121579	0.0372253	0.136352	0.802762
a83	0.00194875	0.00160132	0.0020118	0.00236171	0.00368225	0.00677439	0.0182163	0.0513704	0.144234	0.767799
a62	0.00177354	0.00122134	0.00143086	0.00169068	0.00251799	0.00458319	0.0128	0.0414724	0.13424	0.79827
a83	0.00295807	0.0018296	0.00187455	0.00223735	0.00318929	0.00566281	0.0148168	0.0429521	0.14311	0.781369
a9	0.00795065	0.00495378	0.00459913	0.00537808	0.00786934	0.013498	0.0294041	0.0635254	0.163729	0.699093
a10	0.0621407	0.0303554	0.0255308	0.0296571	0.0347754	0.0443787	0.066956	0.0905377	0.196953	0.418715
a87	0.0983744	0.0550907	0.0576045	0.0600922	0.0543089	0.0573512	0.0848583	0.100409	0.144801	0.28711
a23	0.188553	0.0953617	0.0920484	0.0883329	0.0863572	0.0846314	0.10356	0.0779888	0.077794	0.105373
a87	0.141154	0.0841876	0.0949181	0.0673287	0.0563299	0.0444208	0.050602	0.0652502	0.0946002	0.301209
</S>	0.0727055	0.0478568	0.0386781	0.0297023	0.0287353	0.0302669	0.0427101	0.068466	0.128309	0.512569
