 	il	bâtit	une	maison	</S>
a23	0.599821	0.308238	0.0464035	0.0220707	0.0234672
a87	0.54641	0.302519	0.077469	0.0376916	0.0359103
a23	0.408969	0.32758	0.14099	0.0676504	0.0548103
a20	0.427746	0.300234	0.117371	0.0680486	0.0866004
a44	0.392294	0.294392	0.141682	0.087407	0.084225
a84	0.378501	0.327706	0.166344	0.0795323	0.0479164
a38	0.337558	0.307982	0.197235	0.096034	0.0611912
a76	0.252251	0.242126	0.218003	0.156015	0.131604
a94	0.375888	0.260812	0.163331	0.10538	0.094589
a24	0.190126	0.180664	0.226083	0.205765	0.197363
a32	0.084246	0.0840234	0.179521	0.283999	0.368211
a94	0.0956438	0.0677041	0.120463	0.258074	0.458115
a66	0.0762443	0.0611965	0.130601	0.276045	0.455914
a24	0.0407395	0.0355834	0.0959979	0.259576	0.568103
a12	0.0200001	0.0209981	0.0632483	0.216976	0.678777
a98	0.0192336	0.0195032	0.0550997	0.202747	0.703417
a71	0.0146193	0.01921	0.0595266	0.217737	0.688907
a9	0.0308612	0.0280568	0.0593314	0.175457	0.706293
a87	0.024257	0.0254827	0.050521	0.174499	0.725241
</S>	0.0357457	0.0375351	0.0627307	0.18842	0.675568
