 	le	citronnier	a	grandi	</S>
a23	0.705561	0.187709	0.0569938	0.027222	0.0225141
a20	0.60418	0.188912	0.0792223	0.0717162	0.0559703
a37	0.144679	0.164634	0.150179	0.250458	0.29005
a54	0.573978	0.30088	0.0743075	0.0297842	0.0210498
a47	0.349423	0.350435	0.200206	0.0649131	0.0350229
a6	0.247993	0.277491	0.226916	0.134867	0.112733
a37	0.149663	0.209977	0.237357	0.207987	0.195015
a90	0.0822238	0.162647	0.239869	0.266145	0.249115
a93	0.0599732	0.158709	0.228014	0.257412	0.295892
a70	0.0563399	0.118804	0.216788	0.297426	0.310642
a18	0.0373352	0.103757	0.213582	0.328198	0.317128
a62	0.0546117	0.148978	0.23987	0.291479	0.265061
a56	0.0309972	0.101277	0.212429	0.357868	0.297428
a96	0.0151964	0.0514379	0.171083	0.377248	0.385035
a37	0.0139303	0.0685158	0.198783	0.362419	0.356352
a26	0.00657016	0.0365606	0.127019	0.324146	0.505704
a82	0.00424501	0.0110947	0.0587765	0.286001	0.639883
a87	0.00676148	0.0155538	0.0665341	0.32121	0.58994
a23	0.17245	0.129988	0.120615	0.228644	0.348302
a87	0.0324791	0.0541048	0.168513	0.390305	0.354598
</S>	0.015961	0.0325266	0.167031	0.409592	0.374889
