 	la	belle	famille	m'	implique	dans	des	affaires	que	je	ne	connais	pas	</S>
a66	0.262552	0.267841	0.12802	0.116565	0.0588491	0.0357368	0.0273794	0.0292422	0.019265	0.0179515	0.011259	0.00838772	0.00834639	0.00860427
a87	0.620308	0.189533	0.0252031	0.0148069	0.00704077	0.0113545	0.00848103	0.0133765	0.0155962	0.0197249	0.0185823	0.0175456	0.0194129	0.0190347
a23	0.552168	0.155615	0.0681691	0.042547	0.0153549	0.0198663	0.0163516	0.0275771	0.0221855	0.0181254	0.0133007	0.0132798	0.0166419	0.0188174
a40	0.360587	0.113535	0.0395162	0.0263216	0.0151321	0.0175946	0.0223321	0.0591658	0.0718895	0.0611201	0.0420122	0.0487365	0.0600165	0.0620414
a44	0.374728	0.160651	0.0747525	0.0520875	0.0273623	0.0326484	0.0329992	0.0539648	0.0457119	0.0439405	0.0305539	0.0234707	0.0238543	0.0232747
a26	0.453182	0.29736	0.0663702	0.0379823	0.0186788	0.0141387	0.0107727	0.0147663	0.0099798	0.00923106	0.0110802	0.0151249	0.0195501	0.0217838
a56	0.219462	0.188264	0.125964	0.0942685	0.0633878	0.054979	0.0501446	0.0434189	0.0283646	0.0222718	0.023697	0.024417	0.0277234	0.0336371
a90	0.119031	0.110255	0.0865139	0.0740325	0.0821192	0.0881791	0.0921195	0.100329	0.0625451	0.0489137	0.0375003	0.0309298	0.0315159	0.0360153
a92	0.0568236	0.0689524	0.0675117	0.0621149	0.0856606	0.0997534	0.101047	0.116371	0.0650891	0.0514758	0.0435401	0.0491546	0.0589042	0.0736011
a44	0.0337522	0.0478612	0.0474447	0.0470836	0.0649023	0.0831921	0.0900343	0.107842	0.0659242	0.0547361	0.0531077	0.0747863	0.0977244	0.131608
a98	0.0492745	0.0755894	0.0753966	0.0756202	0.079532	0.0856874	0.0858799	0.105373	0.0617702	0.0496607	0.0410312	0.0539728	0.0693744	0.0918377
a47	0.0357982	0.0498061	0.0463308	0.0452243	0.0555804	0.0899718	0.10575	0.10867	0.0747504	0.0594966	0.0527021	0.0676558	0.0848795	0.123383
a92	0.0359606	0.0645615	0.076507	0.0877721	0.10723	0.0975716	0.089736	0.0860406	0.0528152	0.0415753	0.0363427	0.0518645	0.0681864	0.103837
a85	0.0244993	0.0355934	0.0535492	0.0636565	0.0649068	0.0751993	0.0885773	0.0963942	0.063705	0.054798	0.05253	0.0739548	0.103897	0.148739
a6	0.0126813	0.0191701	0.0318723	0.0390538	0.0527508	0.0732059	0.0993641	0.102591	0.076793	0.0716273	0.0762773	0.0935803	0.108394	0.142639
a0	0.00877144	0.0164382	0.0383987	0.0627136	0.0976271	0.106419	0.122357	0.128997	0.0803792	0.0660871	0.0540504	0.0596222	0.0688232	0.0893156
a75	0.00479068	0.00669786	0.0153107	0.0357016	0.0990865	0.109851	0.134455	0.160504	0.0964066	0.0721543	0.0496709	0.0526224	0.0649726	0.0977758
a6	0.00370937	0.00521339	0.0103456	0.0210746	0.0523153	0.0607558	0.0828085	0.100658	0.0768759	0.0759984	0.0860244	0.114858	0.136886	0.172476
a37	0.00249306	0.00353552	0.00783131	0.0158223	0.0498457	0.0652133	0.0933274	0.105754	0.0812754	0.0733817	0.0815674	0.113807	0.136244	0.169901
a85	0.00266971	0.0033767	0.00734234	0.0138834	0.0596027	0.0828878	0.138079	0.185592	0.126795	0.0994393	0.0668762	0.0605414	0.0649455	0.0879686
a15	0.000484183	0.000603733	0.00172861	0.00349031	0.0196496	0.0385394	0.0784775	0.112603	0.0952528	0.0813097	0.0826941	0.116491	0.157753	0.210923
a7	0.000665473	0.000940424	0.00293092	0.00684115	0.0388069	0.0646704	0.102702	0.117678	0.0955232	0.0796309	0.0791622	0.104698	0.135114	0.170636
a90	0.00183444	0.00175325	0.00402743	0.00755996	0.0374604	0.0635476	0.115554	0.148635	0.122939	0.093515	0.0751046	0.0860883	0.0985601	0.14342
a92	0.00109452	0.00107371	0.00233737	0.00423927	0.0240514	0.0550524	0.116079	0.141704	0.125353	0.0979121	0.0818506	0.0915409	0.108631	0.14908
a21	0.000783609	0.000887638	0.00212574	0.0034813	0.0160004	0.0372044	0.0909488	0.116445	0.110808	0.0919068	0.0886947	0.113399	0.138668	0.188647
a47	0.00115721	0.00142576	0.00289232	0.00400964	0.0134451	0.024867	0.0574403	0.0882221	0.0926895	0.0996451	0.102207	0.132883	0.164282	0.214834
a62	0.00114077	0.0015868	0.0033641	0.00492527	0.01574	0.0344096	0.0717086	0.0914236	0.0871972	0.0749116	0.0764564	0.126424	0.168288	0.242423
a83	0.00211006	0.00279148	0.00465586	0.00614961	0.0152707	0.0314286	0.0569889	0.0709516	0.0759293	0.0720826	0.0791084	0.132213	0.185001	0.265318
a93	0.00154583	0.00201059	0.00350677	0.00487424	0.0121898	0.0319777	0.0541206	0.0626592	0.064018	0.0603932	0.0759393	0.137925	0.204837	0.284003
a56	0.000494811	0.000677872	0.00138064	0.0019529	0.00543617	0.0158209	0.0329608	0.0481463	0.054011	0.0558548	0.0724794	0.149239	0.230341	0.331204
a31	0.000623116	0.000784969	0.00136118	0.00174124	0.00440932	0.0102014	0.0195527	0.0270434	0.0314593	0.040146	0.0635543	0.147678	0.25347	0.397975
a62	0.000597479	0.000801566	0.00136115	0.00178961	0.00479618	0.0131214	0.0246362	0.0312828	0.0366357	0.0416404	0.0611875	0.138056	0.24383	0.400265
a88	0.000560325	0.000744521	0.00121075	0.00156574	0.00407218	0.011274	0.0211653	0.0283398	0.0339475	0.0375677	0.0524253	0.124216	0.240035	0.442875
a50	0.000494075	0.000629981	0.00109395	0.00164258	0.00424924	0.0143367	0.0245313	0.031627	0.034157	0.0327266	0.0495736	0.127746	0.253596	0.423596
