 	pour	arriver	chez	nous	il	faut	suivre	le	côté	droit	de	cette	route	</S>
a87	0.094711	0.0512481	0.0286913	0.0349527	0.0689852	0.177138	0.246333	0.143774	0.0937889	0.0312032	0.00831604	0.00682221	0.00698818	0.00704819
a23	0.33579	0.076294	0.0465004	0.03132	0.0348233	0.0420172	0.0565054	0.0540685	0.0473495	0.039442	0.0301787	0.0513352	0.0615257	0.0928499
a87	0.162371	0.0734363	0.133666	0.0915185	0.0667775	0.0602217	0.0804439	0.0610972	0.0541053	0.0465924	0.0287272	0.0310474	0.0418914	0.0681044
a10	0.205439	0.11876	0.122864	0.0766168	0.0593947	0.0734825	0.0733114	0.0416584	0.0287787	0.023261	0.0233515	0.0353674	0.0512894	0.0664246
a83	0.127311	0.12108	0.117575	0.0798518	0.0540231	0.0737138	0.0720907	0.0411331	0.0222843	0.0247262	0.0296716	0.046719	0.0811158	0.108704
a62	0.273141	0.208431	0.0865459	0.0517719	0.0478152	0.0985381	0.0852387	0.0441163	0.0273668	0.0119796	0.00828309	0.0106747	0.0180036	0.0280936
a31	0.206631	0.27464	0.155004	0.082385	0.0672102	0.086566	0.0564319	0.0250872	0.0191731	0.00900428	0.00459048	0.00402391	0.00415398	0.00509753
a88	0.127849	0.197692	0.162514	0.109263	0.0945388	0.116338	0.0791752	0.0387914	0.0330927	0.0162921	0.00713143	0.0059369	0.00557372	0.00581098
a0	0.0812768	0.104602	0.127769	0.141151	0.131869	0.142632	0.094727	0.0482243	0.0498823	0.0263979	0.0139381	0.0116758	0.0126111	0.0132433
a75	0.0618828	0.0650501	0.0963466	0.125446	0.124908	0.139505	0.114191	0.0684331	0.0692255	0.043059	0.0231092	0.0204032	0.0235959	0.0248452
a5	0.0615575	0.054516	0.0879836	0.12489	0.115848	0.1579	0.15017	0.081052	0.0791066	0.0360872	0.0121178	0.0102666	0.0124323	0.0160732
a61	0.0618896	0.0545412	0.0782424	0.14203	0.148774	0.175814	0.13797	0.0726293	0.0652856	0.0301393	0.00934077	0.00713471	0.00762414	0.00858604
a21	0.0463649	0.0381756	0.0630921	0.144681	0.178527	0.177118	0.134561	0.082077	0.072841	0.0297079	0.00932182	0.00709652	0.00776136	0.00867503
a5	0.0541998	0.0562223	0.0761481	0.138921	0.191645	0.1802	0.125159	0.0663815	0.049704	0.0256542	0.01136	0.00813543	0.00781616	0.00845471
a18	0.0494096	0.052845	0.0642081	0.104953	0.167314	0.149018	0.122683	0.0855249	0.0686879	0.0465706	0.0252255	0.0200658	0.0204437	0.0230511
a61	0.0130432	0.0126116	0.0296044	0.0666326	0.111402	0.0904278	0.113994	0.166333	0.14229	0.0744356	0.0317905	0.0331689	0.0519717	0.0622938
a62	0.0247842	0.0226973	0.0334371	0.0754519	0.139478	0.101146	0.103258	0.134155	0.105283	0.0816637	0.039217	0.0320371	0.0467684	0.0606231
a0	0.0222871	0.0243926	0.0374821	0.0752315	0.117887	0.0837505	0.0989376	0.174588	0.151579	0.0842417	0.0321498	0.0254294	0.0328698	0.0391734
a24	0.0176884	0.0186182	0.0318868	0.0720351	0.107637	0.0694611	0.0831385	0.167261	0.157868	0.104233	0.0422519	0.032205	0.0442556	0.0514613
a9	0.0153056	0.016257	0.0303571	0.0671961	0.0965149	0.057057	0.0619178	0.154241	0.149701	0.132973	0.0569046	0.0403407	0.055232	0.0660029
a99	0.00445269	0.0033461	0.00826066	0.0195177	0.0310143	0.0300577	0.0553726	0.144699	0.114934	0.164831	0.0942386	0.0844841	0.108801	0.13599
a97	0.00469075	0.00257795	0.00616645	0.0118698	0.0173847	0.0212431	0.058108	0.155853	0.102916	0.14846	0.0974111	0.0858128	0.123042	0.164464
a87	0.00830844	0.00457099	0.00783468	0.0120043	0.0217847	0.0380967	0.10028	0.209645	0.164348	0.136697	0.0719615	0.0586186	0.0759748	0.0898752
a23	0.0185242	0.00729336	0.00822764	0.0119338	0.0241255	0.0479128	0.108179	0.195931	0.181726	0.134704	0.0694042	0.0528772	0.0609984	0.0781641
a34	0.00713284	0.00241851	0.00478356	0.00767933	0.0124292	0.0284271	0.097824	0.113527	0.0989175	0.0653753	0.0576578	0.0759867	0.155135	0.272706
a25	0.00618222	0.00440952	0.00668972	0.00982115	0.0164283	0.0293029	0.0713813	0.0807635	0.0637285	0.039074	0.038914	0.0643507	0.205392	0.363562
a56	0.00349992	0.00314508	0.00527824	0.00991262	0.0174549	0.0255032	0.0543661	0.076681	0.0700048	0.0700624	0.0527626	0.0663881	0.189886	0.355055
a25	0.00846271	0.00651899	0.00784206	0.0130529	0.0236416	0.0372964	0.0913	0.11975	0.105791	0.0824152	0.0550952	0.0645252	0.14711	0.237198
a92	0.00616574	0.00692935	0.0124678	0.0218368	0.030638	0.0408769	0.0791443	0.117932	0.0916877	0.0962221	0.0603517	0.0713611	0.142822	0.221565
a34	0.00604676	0.00540262	0.00811831	0.0165054	0.0288346	0.0467043	0.0980944	0.157779	0.116241	0.0869167	0.0559708	0.0650264	0.123309	0.185051
a35	0.0117808	0.0101732	0.0135652	0.0222932	0.0324432	0.0380352	0.0793552	0.123154	0.0969462	0.0979652	0.0726363	0.0757008	0.137853	0.188099
a25	0.00881615	0.00821032	0.0111367	0.0188813	0.0246246	0.0316265	0.0482594	0.0933926	0.0626374	0.0816652	0.0691892	0.0895376	0.179997	0.272025
a90	0.00616515	0.00719922	0.0125405	0.0247925	0.0337345	0.0315377	0.0379245	0.095761	0.0690546	0.109911	0.098113	0.10058	0.163905	0.208781
a13	0.00552213	0.00552335	0.00955893	0.0186229	0.0235735	0.0271292	0.0382497	0.103725	0.0774115	0.117219	0.116614	0.108526	0.15874	0.189584
a53	0.000939308	0.000823555	0.00201346	0.00424404	0.00632286	0.00825049	0.0156982	0.0423382	0.0279031	0.0551288	0.0944138	0.122076	0.260796	0.359051
a93	0.00168511	0.00156092	0.00263039	0.0054228	0.00877524	0.011992	0.0265137	0.0842714	0.0500812	0.0955503	0.128804	0.132405	0.202632	0.247676
a96	0.000425512	0.000386033	0.000774588	0.00193864	0.00373859	0.0040588	0.00756091	0.0251663	0.0185244	0.0411804	0.0946861	0.141935	0.279743	0.379882
a75	0.000468048	0.000425686	0.000818136	0.00199774	0.00394605	0.00375059	0.0059415	0.019853	0.0168693	0.0396317	0.0887376	0.134617	0.280345	0.402598
a25	0.000722569	0.000811069	0.00146564	0.00276692	0.00398372	0.00348319	0.00473617	0.0153886	0.0143888	0.0434257	0.0857416	0.133325	0.286178	0.403582
a94	0.000920981	0.00114636	0.00222159	0.00387965	0.00445751	0.00336498	0.0040775	0.0155076	0.0152104	0.0449507	0.0858076	0.134242	0.286914	0.397299
a12	0.000195314	0.000157144	0.000320308	0.00064911	0.00083692	0.0005971	0.000786268	0.00268633	0.00283192	0.0119676	0.0443941	0.0987363	0.306081	0.529761
a35	0.000548439	0.000518752	0.000869318	0.00167234	0.00253242	0.00161685	0.00201518	0.00709463	0.00777353	0.0241849	0.0687972	0.138779	0.299735	0.443862
a75	0.000264283	0.00023115	0.000386252	0.000813358	0.00112651	0.000704306	0.000933093	0.00302885	0.00458211	0.0128174	0.0480316	0.104063	0.283672	0.539346
a44	0.000464983	0.000478154	0.000859246	0.0015181	0.00168062	0.00115133	0.00164105	0.00471213	0.00564715	0.0176995	0.0543376	0.115988	0.301083	0.492739
a90	0.000152046	0.000134829	0.000261906	0.000630552	0.000957671	0.000611525	0.000929372	0.00327617	0.00404526	0.0136533	0.0483821	0.100561	0.276265	0.55014
a25	0.000107689	0.000107808	0.000233967	0.000503705	0.000688095	0.000598574	0.00100592	0.00361765	0.00360237	0.0137926	0.0516127	0.114308	0.282525	0.527296
a21	0.000162344	0.000175571	0.000322399	0.000563035	0.00059876	0.000307072	0.000411038	0.00152962	0.00166022	0.00758872	0.0323908	0.083769	0.272608	0.597913
a47	0.000523019	0.000387458	0.00049667	0.000740449	0.000948269	0.000594748	0.000827393	0.00284774	0.00376291	0.0122402	0.0438729	0.0996996	0.265082	0.567976
a56	0.000391686	0.000293347	0.000452326	0.00087902	0.00108418	0.000716955	0.00103538	0.00260712	0.00411979	0.0114148	0.0484897	0.112053	0.275328	0.541134
a70	0.000327342	0.000249075	0.000353934	0.000617896	0.000783507	0.000523017	0.000773773	0.00230989	0.00341309	0.0113612	0.0436492	0.0930163	0.263869	0.578753
a83	0.000208585	0.000139394	0.000238619	0.000497451	0.000706651	0.000529077	0.00085457	0.00256914	0.00354549	0.0126605	0.0527759	0.11138	0.286812	0.527083
a71	0.000297634	0.000147759	0.000260703	0.000491195	0.0006368	0.0004165	0.000738902	0.00161034	0.00192573	0.00859978	0.0450525	0.11214	0.302264	0.525418
a9	0.00225314	0.000719256	0.00082735	0.000841982	0.00109452	0.000646426	0.00160154	0.00299983	0.00216446	0.0147241	0.0760392	0.167806	0.297378	0.430904
a99	0.0128519	0.00419561	0.00343764	0.00287557	0.00324518	0.00240325	0.00454387	0.00594938	0.00380199	0.0247533	0.11745	0.20847	0.265034	0.340988
a87	0.039948	0.0143781	0.0103721	0.00727527	0.00694966	0.0061927	0.00643474	0.00712238	0.00630547	0.0303543	0.120475	0.214627	0.234364	0.295201
a23	0.0811502	0.0382426	0.0294344	0.0193852	0.0181491	0.0153422	0.0104776	0.0142719	0.0135434	0.0532783	0.11596	0.173796	0.192846	0.224122
