 	la	manière	dont	ils	ont	augmenté	les	salaires	des	fonctionnaires	a	émerveillé	tout	le	pays	</S>
a66	0.237354	0.0593604	0.0557899	0.0770914	0.0572031	0.0558483	0.062769	0.0583005	0.0753736	0.061116	0.0486786	0.0504706	0.0328372	0.0235711	0.0231982	0.0210385
a87	0.119146	0.0876852	0.0686871	0.0424886	0.0240057	0.0178926	0.0160109	0.0218128	0.0204046	0.0240879	0.0393577	0.0541567	0.0624299	0.0749969	0.119551	0.207286
a97	0.141948	0.0961092	0.060081	0.0319411	0.0208701	0.0199187	0.0195892	0.0225431	0.0309165	0.0420825	0.0779118	0.109229	0.0938862	0.0748524	0.072722	0.0853993
a10	0.0969142	0.0746001	0.0494513	0.0244353	0.0164485	0.0167799	0.0177501	0.0225334	0.0339285	0.0508314	0.095902	0.134422	0.114598	0.0920844	0.0831699	0.0761511
a97	0.12101	0.0632207	0.0382758	0.020174	0.014496	0.0145146	0.0159441	0.0206158	0.0329271	0.0504451	0.101812	0.150152	0.119189	0.0908805	0.0781204	0.0682226
a3	0.122123	0.0584264	0.0338323	0.0194125	0.0138825	0.0130378	0.0151999	0.0189146	0.027877	0.0377213	0.0814784	0.131072	0.120251	0.106376	0.105022	0.0953737
a9	0.130685	0.0576689	0.027	0.0146331	0.0106234	0.0103724	0.0124248	0.0180073	0.0281041	0.0382641	0.0793289	0.122245	0.114191	0.109256	0.112245	0.11495
a97	0.114777	0.0588259	0.0290083	0.0160979	0.0118382	0.0120566	0.0142686	0.0207939	0.0306273	0.0411205	0.0773872	0.11666	0.112509	0.109811	0.117937	0.116282
a62	0.129986	0.0651614	0.0280564	0.0140902	0.0105097	0.0112158	0.0135983	0.020576	0.0304897	0.0393374	0.0723996	0.106734	0.107031	0.109699	0.119068	0.122048
a47	0.318896	0.139161	0.0455094	0.0215479	0.0154545	0.014977	0.0155128	0.0180032	0.025164	0.0267371	0.0456944	0.0828917	0.0746268	0.0585819	0.0473711	0.0498711
a31	0.342349	0.306911	0.127185	0.0331496	0.016166	0.0127136	0.0127432	0.0116571	0.015361	0.0137197	0.0169521	0.0226489	0.021292	0.0174251	0.0133243	0.0164028
a24	0.317978	0.296614	0.13819	0.0421223	0.0230959	0.0181553	0.0186461	0.0164137	0.0210578	0.0163651	0.0176148	0.0204102	0.0169807	0.0131147	0.0102484	0.0129919
a62	0.250847	0.288856	0.17062	0.0579795	0.0312059	0.0240345	0.0244086	0.0212373	0.0259167	0.0190138	0.018806	0.0195851	0.0147805	0.0112386	0.00909191	0.0123787
a47	0.222123	0.272931	0.174282	0.0625925	0.0346254	0.0278808	0.0284385	0.0251834	0.0325606	0.0252742	0.0239317	0.0224089	0.0155307	0.0113184	0.00912437	0.0117947
a62	0.130478	0.170921	0.172546	0.0815154	0.0516224	0.0498168	0.0501248	0.0465185	0.0526239	0.043378	0.0388436	0.0343242	0.02396	0.0176052	0.0173883	0.0183344
a47	0.14302	0.180367	0.166247	0.101188	0.0627852	0.0558804	0.0517176	0.0405815	0.0507102	0.0398116	0.0311636	0.0264043	0.0164201	0.011476	0.01074	0.0114866
a0	0.105708	0.125312	0.155342	0.122494	0.0851087	0.0775731	0.071121	0.0513393	0.0551995	0.0408673	0.030386	0.0256666	0.0166412	0.0120646	0.0122059	0.0129713
a88	0.068702	0.0853303	0.134914	0.133773	0.108814	0.100306	0.0909526	0.0605752	0.0660063	0.0443451	0.030297	0.0250649	0.0156439	0.0114145	0.011295	0.0125663
a66	0.0339959	0.0439742	0.0950774	0.126167	0.124483	0.125495	0.117729	0.0814272	0.0842978	0.0570227	0.034351	0.0257722	0.0153594	0.011058	0.0113529	0.0124377
a98	0.0279121	0.0379822	0.101356	0.132535	0.129057	0.114183	0.102995	0.0739396	0.0747088	0.0487566	0.0408166	0.0382748	0.024289	0.0171877	0.0176168	0.0183886
a47	0.012816	0.0153362	0.043331	0.0999083	0.151982	0.157603	0.153428	0.109297	0.0942777	0.0587943	0.0311225	0.0212191	0.0130225	0.0102029	0.0119492	0.0157109
a36	0.00774185	0.00762772	0.0239118	0.0839051	0.152184	0.169414	0.169205	0.125742	0.103791	0.0644896	0.0308119	0.0186184	0.0112599	0.00861297	0.0100381	0.0126463
a2	0.0114826	0.0102021	0.0201468	0.0650458	0.13741	0.159542	0.168079	0.119865	0.102942	0.0589126	0.0356814	0.0254084	0.017723	0.016907	0.0230161	0.0276371
a57	0.0175482	0.0197371	0.0387519	0.0770261	0.112901	0.114643	0.138552	0.11367	0.11605	0.0744476	0.0504498	0.0340544	0.0217236	0.0180301	0.025082	0.0273327
a3	0.0359354	0.0293191	0.0626742	0.0930084	0.106108	0.0924737	0.0961704	0.079193	0.0851487	0.0752825	0.067194	0.0613945	0.0342367	0.0230441	0.025142	0.0336749
a40	0.0532545	0.04514	0.073255	0.0871287	0.0899594	0.0678383	0.0704698	0.0683215	0.0705833	0.0701756	0.075654	0.0737904	0.0439768	0.031172	0.0304092	0.0488717
a6	0.04071	0.0502153	0.0690411	0.0895813	0.0771446	0.0579469	0.0667307	0.0580251	0.049698	0.0330697	0.035047	0.0421597	0.0456136	0.0581357	0.0772927	0.149588
a0	0.0197085	0.0237746	0.0516295	0.111894	0.141201	0.104764	0.103815	0.0792451	0.05749	0.0380661	0.0312016	0.0340733	0.0369783	0.0424921	0.0422575	0.0814089
a11	0.0186283	0.0204098	0.0429278	0.0863493	0.127619	0.103035	0.113904	0.0909907	0.0721625	0.0483402	0.0377579	0.0370479	0.0370772	0.039482	0.0392415	0.0850274
a75	0.0147752	0.0156521	0.0332502	0.0675418	0.104492	0.0953493	0.107828	0.0950193	0.0866152	0.0585236	0.0497142	0.049059	0.0469712	0.046224	0.0428487	0.0861363
a85	0.00688645	0.00871324	0.0181308	0.0540991	0.109487	0.123391	0.136898	0.115229	0.0805922	0.0562529	0.0433701	0.0390752	0.0381224	0.0434207	0.0510094	0.0753218
a5	0.00600264	0.0062273	0.0180976	0.0664442	0.128098	0.134017	0.142409	0.124242	0.0792955	0.0551549	0.0371439	0.0315351	0.0323549	0.0371074	0.0423601	0.0595105
a75	0.00369088	0.00351232	0.00908194	0.039798	0.0964842	0.115667	0.136274	0.131148	0.097729	0.073057	0.0549442	0.0453899	0.0453677	0.0467716	0.0454093	0.0556747
a96	0.00186676	0.00195524	0.00493864	0.0240766	0.0771314	0.107844	0.12644	0.129419	0.0878284	0.075821	0.0567508	0.0444109	0.0465431	0.0564185	0.0670218	0.0915343
a83	0.00177981	0.00170181	0.00425739	0.0199126	0.0767276	0.103076	0.129426	0.130995	0.10354	0.0781483	0.0650003	0.0500571	0.0483053	0.0560968	0.0613825	0.0695935
a90	0.00287467	0.00246451	0.00432463	0.0132019	0.0512648	0.0762336	0.106847	0.116354	0.0965527	0.0713559	0.0638799	0.0507342	0.0512635	0.070957	0.103113	0.118578
a93	0.00135704	0.00200188	0.00490383	0.0156255	0.0507128	0.0792586	0.109235	0.118542	0.0864055	0.0705882	0.0635543	0.0487176	0.0539438	0.073036	0.107361	0.114757
a70	0.00172239	0.00188391	0.00380112	0.0119177	0.0438313	0.067626	0.0981168	0.105295	0.0785968	0.0616107	0.0574981	0.0437474	0.051963	0.0832654	0.149486	0.139638
a93	0.00207532	0.00175188	0.00282882	0.00787679	0.0322225	0.0508196	0.0794645	0.0890321	0.0742708	0.0585428	0.0550321	0.0416792	0.0481904	0.0830391	0.160752	0.212422
a69	0.00125853	0.00132821	0.00263844	0.00827126	0.0324759	0.0530014	0.0807973	0.0882685	0.0682524	0.0537448	0.0532462	0.040647	0.0490275	0.0860615	0.176406	0.204575
a58	0.00216416	0.00189058	0.00299958	0.0081535	0.0273658	0.0421989	0.0675523	0.0778677	0.0588998	0.0454475	0.0481877	0.0375267	0.0470325	0.085301	0.190364	0.257048
a57	0.0138735	0.0102311	0.0104352	0.0177191	0.0367606	0.0388428	0.0576376	0.0761374	0.0585997	0.0442126	0.043998	0.0337614	0.0435983	0.0754785	0.159157	0.279557
a3	0.0223733	0.0146319	0.0110977	0.016849	0.0316485	0.030886	0.0425303	0.0573522	0.0470357	0.0418435	0.0533275	0.0511581	0.0692279	0.108192	0.182034	0.219812
a99	0.0331577	0.0145567	0.00821201	0.0131651	0.0272928	0.0298705	0.039596	0.0543256	0.0461233	0.0453615	0.071616	0.0748571	0.0925233	0.118379	0.161767	0.169197
a62	0.0453404	0.017003	0.00931101	0.0152719	0.0280086	0.0281942	0.0371055	0.0500247	0.0434583	0.0448231	0.0733043	0.0770647	0.0919408	0.112895	0.145011	0.181243
a88	0.0112537	0.00742238	0.00585443	0.0110847	0.0240655	0.0209945	0.0330401	0.0396892	0.0258058	0.0221666	0.0359561	0.0435694	0.066945	0.119015	0.204983	0.328155
a71	0.00524736	0.00370359	0.00309389	0.00619013	0.0185658	0.0231554	0.0396021	0.0495282	0.0366936	0.0318104	0.0377184	0.0359591	0.0490176	0.0959619	0.214515	0.349238
a62	0.00778682	0.00497375	0.00452375	0.00896907	0.0252426	0.0319365	0.0534361	0.0684314	0.0537199	0.0429101	0.049785	0.044291	0.0551042	0.0907058	0.183801	0.274383
a83	0.00195147	0.00173819	0.00257229	0.00974825	0.0337586	0.0418955	0.0598452	0.0769962	0.0592815	0.0539368	0.0579104	0.050029	0.0601605	0.0936123	0.165637	0.230927
a9	0.00107483	0.0012226	0.00173266	0.00498999	0.018356	0.0254025	0.0430628	0.0602173	0.0427528	0.03605	0.040363	0.0325502	0.0432518	0.0884015	0.215413	0.345159
a30	0.00489751	0.00505442	0.00640339	0.0124619	0.0333593	0.0382869	0.0604194	0.080695	0.0594666	0.0436764	0.0489349	0.041097	0.0531567	0.0869318	0.179744	0.245414
a93	0.00902374	0.00656383	0.00633324	0.0115552	0.0250993	0.0265142	0.036949	0.0520271	0.0383965	0.0345795	0.04689	0.0456669	0.061184	0.100557	0.194878	0.303783
a56	0.00116322	0.00103416	0.00124472	0.00330455	0.0120411	0.0139797	0.0238275	0.0330321	0.0217089	0.0180613	0.0226295	0.020355	0.0312502	0.076515	0.232074	0.487779
a37	0.000910573	0.000892951	0.0011496	0.00312402	0.0104669	0.0122979	0.0218565	0.0306496	0.0198741	0.0163621	0.0193243	0.016975	0.0283456	0.0723808	0.237026	0.508364
a11	0.00169613	0.00163071	0.00185099	0.00413489	0.0114351	0.0118145	0.0197896	0.0272234	0.0177795	0.014268	0.0183895	0.0180503	0.031394	0.0766045	0.235552	0.508387
a62	0.00409281	0.00410681	0.00384073	0.00650106	0.0155138	0.0163953	0.0263859	0.036508	0.0239971	0.0181561	0.0245564	0.0236929	0.0412735	0.0880737	0.235118	0.431787
a96	0.00194504	0.00211974	0.00247903	0.00514281	0.0130443	0.0155472	0.0258243	0.0370311	0.0261312	0.0217824	0.0252669	0.0220794	0.0370376	0.0822249	0.228854	0.45349
a0	0.00285779	0.00353928	0.00370038	0.00624489	0.0134665	0.0147954	0.0239876	0.0336299	0.0221621	0.0173039	0.022362	0.0211323	0.037703	0.0871055	0.246294	0.443716
a88	0.00745143	0.00783345	0.00712388	0.00993639	0.0200796	0.0214057	0.0330396	0.0438706	0.0285228	0.020674	0.0279473	0.0256849	0.0454789	0.0925602	0.249044	0.359347
a71	0.00815684	0.00804083	0.00696194	0.0097227	0.0197094	0.0211759	0.0321033	0.0422551	0.0264984	0.019044	0.0270842	0.0254902	0.0460103	0.0939775	0.248667	0.365102
a9	0.0260074	0.0203096	0.0154009	0.0204058	0.0317394	0.0304952	0.0375261	0.045691	0.033042	0.0275855	0.0378779	0.0381832	0.0623957	0.102292	0.20547	0.265578
a3	0.0263618	0.0162213	0.0126502	0.0152664	0.0214172	0.0236363	0.026558	0.0319779	0.0280232	0.0289787	0.0493862	0.0657034	0.0910614	0.12097	0.20361	0.238178
a97	0.0335822	0.0137053	0.00764801	0.0076063	0.0104776	0.0133637	0.0156718	0.0233012	0.0264415	0.0338834	0.0626457	0.077505	0.103647	0.129729	0.198738	0.242054
a99	0.0329894	0.0134466	0.00691666	0.00882844	0.0134362	0.0161165	0.0192951	0.0318856	0.0309996	0.035352	0.0534424	0.0579809	0.0747248	0.101509	0.185999	0.317078
a87	0.0292776	0.0122733	0.00712285	0.00999335	0.0154898	0.017001	0.0195687	0.0325769	0.0258059	0.0285584	0.0438428	0.0479721	0.0645493	0.0953057	0.182875	0.367788
</S>	0.0335781	0.0169383	0.0102848	0.0129846	0.0186666	0.020141	0.0221021	0.0362588	0.032812	0.0350882	0.0497447	0.0513102	0.0630519	0.084963	0.162631	0.349445
