 	il	m'	a	beaucoup	fait	marcher	</S>
a66	0.367288	0.238238	0.123021	0.0969232	0.0754359	0.0500478	0.0490465
a87	0.297923	0.253174	0.166919	0.115738	0.0791272	0.0446469	0.0424725
a97	0.367083	0.250397	0.109527	0.0656506	0.0686709	0.06547	0.0732017
a53	0.380278	0.277356	0.10437	0.054283	0.0588059	0.0611735	0.0637332
a15	0.460692	0.256984	0.0922226	0.0508989	0.0457934	0.0404937	0.0529155
a79	0.40233	0.298098	0.141865	0.0579685	0.0358062	0.0257898	0.0381434
a92	0.328661	0.263752	0.200074	0.0930008	0.0466705	0.0260744	0.0417668
a37	0.286337	0.24893	0.21308	0.113265	0.0593285	0.033259	0.045801
a12	0.246393	0.235558	0.225541	0.119375	0.0638825	0.0454915	0.0637601
a43	0.171207	0.158188	0.196128	0.159451	0.107502	0.0889861	0.118537
a47	0.140684	0.14866	0.201654	0.17955	0.11911	0.0972487	0.113093
a12	0.106713	0.10892	0.163115	0.187458	0.145925	0.13767	0.150199
a75	0.0332088	0.0323583	0.0660854	0.14374	0.211096	0.252046	0.261467
a73	0.0211157	0.0254867	0.0571228	0.131018	0.217744	0.260592	0.286922
a15	0.00858525	0.0106393	0.0240073	0.0609565	0.161379	0.323632	0.410801
a79	0.00444715	0.00537645	0.0120886	0.0342511	0.122764	0.3441	0.476973
a75	0.00383948	0.0039639	0.00837495	0.0233291	0.093369	0.350818	0.516306
a5	0.00147229	0.00168712	0.00418643	0.0155428	0.0797908	0.365922	0.531398
a37	0.00235066	0.00201461	0.00442906	0.0133741	0.0518752	0.310427	0.615529
a26	0.00242845	0.00228146	0.00555207	0.0156725	0.0524769	0.280659	0.640929
a66	0.00918108	0.00779282	0.0152718	0.036218	0.0904203	0.294911	0.546205
a71	0.0704813	0.041535	0.0447991	0.0610451	0.105698	0.239962	0.436479
a3	0.12515	0.0701776	0.0631916	0.0708586	0.109717	0.20877	0.352136
a97	0.194007	0.107758	0.0782121	0.0717144	0.11178	0.181436	0.255092
a10	0.14197	0.0898936	0.064346	0.0567942	0.107214	0.232592	0.30719
a97	0.0991581	0.0679106	0.0504738	0.0484555	0.0999132	0.238549	0.39554
a3	0.0900903	0.0616167	0.0472367	0.0568209	0.123146	0.23531	0.385779
</S>	0.0774277	0.0556829	0.0506338	0.0677391	0.137346	0.239091	0.372079
