 	ce	chien-là	est	déjà	mort	</S>
a97	0.457236	0.222948	0.101946	0.077677	0.0656034	0.0745897
a99	0.338762	0.184001	0.124678	0.121097	0.131164	0.100297
a54	0.316422	0.18652	0.15234	0.134164	0.112657	0.097896
a6	0.361686	0.255544	0.113929	0.0757491	0.0816228	0.111469
a5	0.348164	0.298442	0.170971	0.0885384	0.0458153	0.0480685
a79	0.311972	0.308434	0.195253	0.114976	0.0393628	0.0300013
a90	0.358961	0.227367	0.181174	0.137564	0.0558729	0.0390618
a15	0.160461	0.184517	0.219161	0.232939	0.123538	0.079384
a79	0.0674813	0.124123	0.204432	0.288791	0.185195	0.129977
a37	0.0439176	0.097184	0.188889	0.281721	0.228627	0.159662
a43	0.0210366	0.0481682	0.117055	0.230385	0.301862	0.281494
a25	0.00535767	0.0128491	0.039602	0.117833	0.351011	0.473347
a90	0.00107437	0.00247817	0.00798723	0.0352617	0.286496	0.666703
a15	0.00233882	0.0068936	0.0192143	0.0633712	0.286639	0.621544
a36	0.000499228	0.00213964	0.00773975	0.0344627	0.255557	0.699601
a2	0.00183942	0.0048132	0.013903	0.0470865	0.266052	0.666305
a57	0.0389778	0.0465413	0.0733695	0.124684	0.273546	0.442881
a10	0.0927462	0.0727364	0.109289	0.163692	0.263816	0.297721
a97	0.155319	0.121506	0.137757	0.164114	0.223809	0.197494
a87	0.0996	0.0969955	0.109748	0.153452	0.276626	0.263579
a97	0.0993942	0.0935497	0.10808	0.1603	0.269474	0.269202
a87	0.116251	0.107014	0.122122	0.172398	0.250411	0.231803
a97	0.0964765	0.105891	0.129881	0.180395	0.261979	0.225378
a10	0.105186	0.110691	0.146801	0.191785	0.235671	0.209866
a97	0.0673834	0.0959563	0.133132	0.181267	0.273818	0.248444
</S>	0.0574532	0.085513	0.129603	0.185085	0.289931	0.252415
