 	le	cabri	est	en	train	de	se	frotter	contre	le	mur	</S>
a66	0.172159	0.115722	0.0719946	0.0638048	0.06945	0.110207	0.165726	0.130535	0.0585474	0.0191431	0.0117636	0.0109475
a87	0.187787	0.112087	0.0969403	0.080893	0.0769021	0.0880121	0.104858	0.0953267	0.0454788	0.0342988	0.0344783	0.0429383
a23	0.38082	0.192402	0.117355	0.0752258	0.0502095	0.0548734	0.0449967	0.0249232	0.0111932	0.011999	0.013739	0.0222629
a87	0.355839	0.187794	0.121001	0.0717461	0.0445892	0.0561742	0.0436993	0.0275911	0.0183438	0.0199398	0.0202387	0.0330437
a23	0.267196	0.157139	0.12222	0.0885954	0.0552274	0.0762289	0.0612929	0.0461274	0.0292107	0.0309581	0.0277376	0.0380666
a99	0.281996	0.15416	0.0979071	0.0621077	0.0386256	0.0519667	0.0473684	0.0509462	0.042201	0.0509641	0.0499827	0.0717754
a30	0.15875	0.121873	0.0870774	0.0564725	0.0336617	0.0382674	0.0351715	0.055061	0.0666514	0.10503	0.104382	0.137602
a93	0.190471	0.151173	0.0996974	0.0592858	0.0317067	0.0297336	0.0269714	0.0471483	0.0608449	0.0928021	0.0925671	0.117599
a44	0.225259	0.242723	0.163474	0.105405	0.0643026	0.0479508	0.0380365	0.0266439	0.0187038	0.0188434	0.0210492	0.0276086
a11	0.11485	0.16449	0.159109	0.138871	0.106051	0.0955389	0.0669033	0.0385483	0.0314686	0.0287796	0.0271942	0.0281964
a70	0.0648645	0.0973775	0.128883	0.144458	0.13525	0.12712	0.0828022	0.0506122	0.0449878	0.0412821	0.0411483	0.0412143
a53	0.0593939	0.0893352	0.130559	0.156237	0.158005	0.150591	0.09709	0.0476626	0.0332998	0.0252558	0.0250753	0.0274959
a90	0.050809	0.0767233	0.116246	0.145403	0.157924	0.158344	0.116893	0.0622633	0.0361021	0.0244496	0.0245151	0.0303291
a75	0.040178	0.0548376	0.0918261	0.128232	0.159184	0.169451	0.13272	0.0822467	0.043801	0.0293558	0.0301286	0.0380397
a85	0.0373007	0.0448176	0.079023	0.120642	0.163206	0.183651	0.156755	0.0924203	0.0412848	0.0245036	0.0253724	0.0310233
a5	0.0277943	0.0345445	0.0743655	0.128255	0.187423	0.192197	0.156513	0.0823702	0.0384056	0.0226133	0.0239684	0.0315503
a0	0.0448986	0.0400575	0.0694283	0.114049	0.167869	0.198516	0.163127	0.0886325	0.0410227	0.0228879	0.0219697	0.0275411
a43	0.0284619	0.0241005	0.0387275	0.0631196	0.114726	0.185355	0.188958	0.130168	0.0595575	0.0418064	0.0498335	0.0751851
a31	0.0214456	0.0188449	0.0258173	0.0369157	0.0641316	0.127229	0.163963	0.165962	0.0980291	0.0648291	0.0834636	0.12937
a75	0.0161726	0.0144728	0.0195996	0.0271579	0.0452754	0.0908283	0.133343	0.188645	0.150511	0.0866963	0.0992831	0.128015
a92	0.0178373	0.0139827	0.0192092	0.0286326	0.0503158	0.0865692	0.135437	0.196299	0.133402	0.0862771	0.096236	0.135802
a37	0.0102926	0.00791247	0.0110296	0.0173977	0.0335074	0.0552758	0.0933327	0.176062	0.131912	0.121814	0.141105	0.200358
a36	0.0141164	0.0115922	0.0149374	0.0210669	0.0356107	0.0545563	0.0685593	0.145657	0.15198	0.127954	0.140984	0.212986
a56	0.0166429	0.0140519	0.014234	0.0162338	0.0227345	0.0310991	0.0335032	0.0664439	0.11413	0.141581	0.199356	0.329989
a75	0.00630452	0.00517435	0.00612267	0.00822287	0.0137289	0.0211356	0.0298933	0.0850422	0.135934	0.18616	0.211592	0.29069
a5	0.00174334	0.00132883	0.00189782	0.00321422	0.00731969	0.0121804	0.0190614	0.0637711	0.088628	0.168068	0.254375	0.378412
a37	0.00362217	0.00284082	0.00320176	0.00434492	0.00740607	0.0104632	0.0137873	0.0399592	0.0757657	0.190448	0.285744	0.362416
a98	0.00202067	0.00165589	0.00196472	0.00282332	0.00523464	0.00662204	0.00721934	0.0195543	0.0460597	0.158494	0.294481	0.453871
a47	0.000591283	0.000427108	0.000637347	0.00107544	0.00235615	0.00342418	0.00420946	0.0165038	0.031445	0.132983	0.311788	0.494559
a36	0.00102474	0.000703997	0.000904293	0.00134139	0.00257502	0.00392503	0.00465787	0.0221503	0.0542827	0.165515	0.30825	0.434669
a2	0.00615204	0.00394078	0.00348303	0.00352766	0.00462779	0.00423048	0.00355685	0.0100752	0.0256757	0.0966193	0.230053	0.608058
a57	0.0906598	0.0473251	0.0328035	0.024727	0.025969	0.0219625	0.0218324	0.046354	0.0649703	0.102997	0.174739	0.34566
a87	0.177838	0.0760758	0.0451356	0.0317069	0.0332476	0.0289991	0.0289858	0.0547565	0.0596717	0.0920211	0.121369	0.250193
a23	0.178628	0.0886429	0.0567321	0.0401406	0.0408643	0.0445076	0.0518436	0.097817	0.0860917	0.104629	0.0891067	0.120996
a87	0.227998	0.101398	0.0704306	0.048351	0.0460587	0.0322828	0.026173	0.044478	0.0314875	0.075263	0.10823	0.187849
</S>	0.0744338	0.0357176	0.022323	0.0154362	0.017588	0.0133287	0.0134343	0.0409045	0.0362523	0.096574	0.192842	0.441166
