 	on	a	assassiné	le	chef	du	village	d'	un	coup	de	sagaie	</S>
a23	0.243233	0.0650587	0.0582371	0.105588	0.10624	0.0835803	0.0633907	0.0654089	0.0669664	0.0489541	0.0301738	0.0320887	0.031081
a87	0.110858	0.0471026	0.040785	0.0661531	0.078476	0.0738327	0.0713541	0.0866734	0.113069	0.0928376	0.0615375	0.0788013	0.0785194
a40	0.108899	0.0727227	0.0497437	0.0529667	0.0599382	0.0625935	0.0613118	0.0766632	0.0991941	0.0994307	0.0694002	0.0882511	0.0988855
a73	0.316502	0.10487	0.0437545	0.0673806	0.0636815	0.0554498	0.0598451	0.0695217	0.0739536	0.0533343	0.0306211	0.0289984	0.0320873
a26	0.317686	0.140463	0.0727732	0.104935	0.0757476	0.0568147	0.0453928	0.0435908	0.0410889	0.0372587	0.0233162	0.02109	0.0198424
a94	0.245059	0.154632	0.0956015	0.104881	0.065151	0.0511793	0.0423681	0.0442458	0.0481392	0.0504147	0.0358053	0.0323874	0.0301357
a24	0.201002	0.164003	0.107295	0.0990598	0.0614086	0.0507847	0.0430242	0.0432862	0.0488263	0.0548588	0.0453036	0.0421694	0.038978
a71	0.160465	0.146308	0.123364	0.130012	0.0820737	0.0645154	0.046941	0.0424949	0.0444875	0.0474541	0.0388962	0.0378059	0.0351825
a9	0.13133	0.139668	0.119867	0.133901	0.0867682	0.0665039	0.0490518	0.0434375	0.0470521	0.0521167	0.0447103	0.0440527	0.0415415
a53	0.0569456	0.0776747	0.098723	0.140765	0.104263	0.081715	0.0646471	0.0568761	0.0616086	0.0637988	0.063524	0.0645045	0.0649545
a76	0.107651	0.132978	0.11784	0.152775	0.0880054	0.0656608	0.0468647	0.0396563	0.0442825	0.0495993	0.0475244	0.0521278	0.0550353
a94	0.123154	0.116993	0.109757	0.128116	0.0992422	0.0779256	0.0582921	0.0473103	0.0467772	0.0506159	0.0455649	0.0498258	0.0464261
a54	0.0723343	0.0757834	0.0866795	0.135115	0.117353	0.0963398	0.0716359	0.0544944	0.0540428	0.0578801	0.052917	0.0618502	0.0635738
a14	0.0607729	0.0581034	0.0800788	0.114957	0.113944	0.0918827	0.0700059	0.0554548	0.0571671	0.0614651	0.0647334	0.0816772	0.0897579
a30	0.0475032	0.0485089	0.0771382	0.117178	0.124957	0.103208	0.0744551	0.0570804	0.0572035	0.0586637	0.0615273	0.0840094	0.0885672
a2	0.0219157	0.0248752	0.0410811	0.0868315	0.103146	0.0961977	0.0820544	0.0664219	0.0709115	0.069807	0.0806987	0.107487	0.148572
a76	0.00767144	0.00883579	0.0126015	0.0409273	0.0647588	0.0776403	0.0850254	0.0804221	0.0885587	0.0722498	0.0852656	0.14272	0.233323
a69	0.0172852	0.0145868	0.0182467	0.0496989	0.0696835	0.0740812	0.0853308	0.0807788	0.0918164	0.0770125	0.0926882	0.139338	0.189453
a57	0.0130424	0.0145507	0.0197628	0.0407131	0.0549388	0.0658149	0.083758	0.0877477	0.099115	0.0998187	0.105818	0.137777	0.177143
a53	0.00496723	0.00644084	0.0117236	0.0309705	0.043643	0.0525865	0.0720404	0.0790824	0.0976399	0.100328	0.119238	0.162219	0.219121
a90	0.0134809	0.0142393	0.0155826	0.0337609	0.0453458	0.0574893	0.0750841	0.080586	0.0953874	0.102339	0.107937	0.156836	0.201932
a94	0.0148677	0.0142756	0.0135679	0.0280213	0.0387758	0.0516037	0.076158	0.0830873	0.0996595	0.101516	0.109698	0.154551	0.214218
a11	0.0090398	0.00881477	0.00959149	0.0221086	0.0333236	0.0408362	0.0585837	0.0650757	0.0792268	0.0810091	0.109347	0.182797	0.300247
a75	0.0101548	0.00793701	0.00830427	0.0176932	0.0270235	0.0322596	0.0471436	0.0556315	0.0705848	0.0754563	0.110831	0.188473	0.348508
a73	0.0134108	0.0145322	0.016894	0.0329542	0.0442476	0.052973	0.0721597	0.0761912	0.0929857	0.088512	0.113644	0.151103	0.230393
a84	0.00744754	0.00811103	0.0101953	0.0247166	0.0337025	0.0384969	0.0552666	0.0630751	0.0789733	0.0744973	0.102669	0.160315	0.342533
a53	0.00206887	0.00202619	0.00332038	0.00811359	0.0131899	0.0164229	0.0257921	0.0364515	0.0516871	0.0590433	0.103846	0.217772	0.460266
a90	0.00435154	0.00304799	0.0043379	0.0111197	0.0222839	0.028323	0.046582	0.0634734	0.0828498	0.0801741	0.113281	0.190339	0.349837
a94	0.00589337	0.00550445	0.00667388	0.0115709	0.0191981	0.0229063	0.0364196	0.0458667	0.063584	0.0650446	0.10121	0.181275	0.434853
a24	0.0024359	0.00190746	0.00236896	0.00538497	0.0102045	0.0130481	0.0200879	0.027064	0.0409441	0.045965	0.0934601	0.215591	0.521538
a98	0.00269182	0.00160084	0.0020797	0.00483973	0.00903558	0.0113166	0.0189975	0.03001	0.0493943	0.0579237	0.110874	0.236323	0.464913
a24	0.00168274	0.00122646	0.00182377	0.00451803	0.00986135	0.0129758	0.0250793	0.0373946	0.0573244	0.0621276	0.109953	0.220615	0.455418
a25	0.00217379	0.00175918	0.00199905	0.0037987	0.00697498	0.00882086	0.015749	0.0256575	0.0403485	0.0479855	0.0933565	0.211006	0.540371
a76	0.00118287	0.000780371	0.000880193	0.00255052	0.00490741	0.00694194	0.0142397	0.0261946	0.0424417	0.054291	0.105389	0.238022	0.502178
a94	0.0014975	0.00121958	0.00196842	0.00566539	0.0119291	0.0161504	0.0314916	0.0485702	0.0724403	0.0732481	0.110737	0.201811	0.423271
a76	0.00120669	0.00105224	0.00133212	0.00288116	0.00525196	0.00710183	0.0137839	0.0230047	0.0367317	0.0459269	0.0936906	0.209353	0.558683
a69	0.00220087	0.00202125	0.00280589	0.0066835	0.012294	0.0160578	0.0286589	0.0425865	0.0635738	0.0712082	0.115043	0.207187	0.42968
a58	0.00122097	0.00125535	0.00168476	0.00462081	0.00779129	0.0104205	0.0167352	0.0240825	0.0358673	0.0431324	0.0875629	0.207342	0.558284
a84	0.0013349	0.00116753	0.00189276	0.00537334	0.00913441	0.0123149	0.0196718	0.0302144	0.0458892	0.0556468	0.0981816	0.224917	0.494261
a87	0.00233117	0.00144466	0.00240685	0.00513907	0.00882886	0.0116743	0.0206628	0.0377402	0.0609537	0.0684785	0.113756	0.255471	0.411113
</S>	0.00663363	0.00405336	0.00593327	0.00876734	0.014451	0.017568	0.0295781	0.0510975	0.0760997	0.082419	0.119315	0.224303	0.359781
