 	notre	père	fume	la	pipe	</S>
a66	0.773846	0.153973	0.0272841	0.0136878	0.013351	0.0178582
a87	0.662988	0.169902	0.0576805	0.0349304	0.0385379	0.0359619
a23	0.701603	0.189211	0.0372014	0.0238798	0.0232378	0.0248664
a40	0.422724	0.112402	0.0502881	0.0828708	0.146615	0.185101
a36	0.717319	0.137739	0.0482286	0.0357717	0.0302577	0.0306837
a37	0.544097	0.321213	0.070037	0.0288736	0.0190354	0.0167435
a61	0.426067	0.382476	0.142139	0.0258651	0.0136535	0.00979938
a0	0.325149	0.403218	0.194717	0.0416488	0.020372	0.0148957
a75	0.192851	0.394143	0.286184	0.0665307	0.0327706	0.0275209
a6	0.143427	0.295365	0.299406	0.129309	0.0751354	0.0573572
a37	0.0753412	0.172673	0.249678	0.219844	0.158186	0.124278
a47	0.0267013	0.0313626	0.0632563	0.211605	0.330291	0.336784
a37	0.00516249	0.0067898	0.0306691	0.170231	0.361935	0.425213
a21	0.00127902	0.00311493	0.018219	0.0900558	0.305833	0.581498
a12	0.000947464	0.00202147	0.00813783	0.0629988	0.251737	0.674157
a18	0.00040909	0.00126557	0.00700972	0.0482544	0.22068	0.722381
a25	0.00301093	0.00565499	0.0175183	0.0636655	0.243791	0.666359
a87	0.0287801	0.0233936	0.0357179	0.0855421	0.229302	0.597264
a23	0.505003	0.144433	0.0735754	0.0764609	0.0941088	0.106419
a87	0.145392	0.079857	0.0685812	0.148367	0.267724	0.290079
</S>	0.00860758	0.0114665	0.0328224	0.117077	0.311128	0.518898
