 	mets-le	au-dedans	</S>
a23	0.530641	0.302306	0.167052
a40	0.40311	0.269416	0.327474
a14	0.520648	0.327795	0.151556
a35	0.760122	0.200628	0.0392502
a98	0.661966	0.244012	0.0940221
a14	0.495025	0.30654	0.198435
a73	0.299047	0.358362	0.342591
a32	0.177423	0.35215	0.470428
a75	0.128979	0.298429	0.572592
a41	0.0767771	0.293177	0.630046
a94	0.0450806	0.282644	0.672275
a90	0.0497531	0.244114	0.706133
a44	0.0998769	0.289946	0.610177
a57	0.0793494	0.295833	0.624817
a82	0.0236533	0.192916	0.78343
a87	0.0138892	0.157959	0.828152
</S>	0.0434893	0.253251	0.70326
