 	nous	avons	arrêté	un	voleur	la	nuit	</S>
a66	0.436388	0.187162	0.0988739	0.0559806	0.0550026	0.0633263	0.0554408	0.0478256
a87	0.222556	0.206161	0.163434	0.138457	0.0870252	0.058398	0.056567	0.0674018
a23	0.340857	0.249826	0.171409	0.0813258	0.0456326	0.0332894	0.0359043	0.0417565
a97	0.323866	0.25355	0.194633	0.105436	0.049935	0.02862	0.0210201	0.0229395
a99	0.343863	0.25651	0.178259	0.092021	0.0452256	0.0298469	0.0259799	0.0282944
a31	0.294175	0.239899	0.21014	0.111628	0.0551095	0.0340815	0.0270351	0.0279319
a0	0.373267	0.270762	0.189018	0.0869418	0.0403841	0.0190941	0.0108606	0.00967256
a21	0.242843	0.282821	0.257761	0.10172	0.0508398	0.0265823	0.0183465	0.0190859
a24	0.241317	0.292309	0.26578	0.0952569	0.0482443	0.0247908	0.0155601	0.0167419
a61	0.137267	0.218792	0.263793	0.148593	0.0969457	0.0546076	0.0381529	0.0418495
a18	0.115423	0.201344	0.246564	0.162968	0.111138	0.0644838	0.0461515	0.0519274
a24	0.0695616	0.10155	0.139468	0.148038	0.155071	0.127258	0.117355	0.141698
a62	0.0245495	0.0370302	0.0527252	0.0714138	0.143608	0.187058	0.214542	0.269073
a61	0.0217567	0.0285219	0.0343608	0.0678618	0.161131	0.218922	0.224358	0.243087
a41	0.008782	0.0137131	0.0184472	0.0370479	0.112012	0.21154	0.282668	0.315789
a12	0.00293222	0.0063759	0.00847849	0.02438	0.0753496	0.186249	0.314563	0.381672
a94	0.00274707	0.00541107	0.00698339	0.0196808	0.0529337	0.14094	0.322514	0.44879
a56	0.00098113	0.00219853	0.00347633	0.00932042	0.0274771	0.083444	0.278448	0.594654
a98	0.000601673	0.00163687	0.0024892	0.00660093	0.0176089	0.0636328	0.27607	0.63136
a79	0.000115858	0.000381009	0.000604484	0.00305225	0.0121054	0.0558944	0.271347	0.6565
a7	0.000158908	0.000418396	0.000767594	0.00212563	0.00792136	0.0425204	0.262499	0.683589
a93	0.000424182	0.00107981	0.00182966	0.00506365	0.0141989	0.0499639	0.248144	0.679296
a94	0.000224236	0.000556162	0.000870712	0.0030615	0.0099884	0.0428854	0.246331	0.696082
a71	0.000419176	0.000948632	0.00125988	0.00430524	0.0127693	0.0506774	0.249287	0.680333
a9	0.0132059	0.0162755	0.0169959	0.0278095	0.0440584	0.102828	0.288272	0.490555
a87	0.141691	0.0983947	0.0782437	0.0763584	0.0773573	0.0999062	0.176939	0.25111
a23	0.242097	0.171079	0.112142	0.0984328	0.0816353	0.0757209	0.0970589	0.121835
a87	0.0366391	0.0310823	0.0236743	0.0395772	0.0575389	0.0874933	0.224682	0.499313
</S>	0.00753355	0.00985946	0.010712	0.0180242	0.0327383	0.0754871	0.259422	0.586223
