 	il	peut	travailler	davantage	</S>
a23	0.387109	0.182053	0.0928377	0.156733	0.181267
a53	0.279278	0.189705	0.1799	0.176123	0.174994
a15	0.496379	0.245969	0.115941	0.0944371	0.0472739
a73	0.556973	0.288465	0.104648	0.0350826	0.0148304
a32	0.383393	0.322158	0.195554	0.0720317	0.0268633
a75	0.339268	0.333461	0.225848	0.0642089	0.0372136
a14	0.281223	0.318527	0.22468	0.108435	0.0671354
a35	0.255061	0.307036	0.224125	0.122364	0.0914145
a41	0.227834	0.292098	0.253235	0.135132	0.0917006
a56	0.185612	0.255111	0.261119	0.175258	0.122901
a21	0.200722	0.21343	0.276661	0.192384	0.116803
a41	0.118146	0.129433	0.208452	0.309657	0.234312
a35	0.0837915	0.106073	0.152255	0.313433	0.344448
a25	0.0836218	0.0876378	0.108713	0.31234	0.407687
a94	0.0390215	0.0486167	0.0707172	0.31244	0.529204
a11	0.0330768	0.0388795	0.0602291	0.298463	0.569352
a90	0.0108832	0.0144854	0.0265561	0.217942	0.730133
a25	0.0249172	0.0275341	0.0401795	0.208315	0.699054
a43	0.0178392	0.0210325	0.0325088	0.185731	0.742889
a75	0.0164993	0.015982	0.0215817	0.137513	0.808424
a41	0.0336825	0.0330024	0.0361525	0.147903	0.74926
a25	0.0273932	0.0254262	0.0290854	0.139801	0.778294
a56	0.0452925	0.0325329	0.0296985	0.128511	0.763965
a62	0.0233984	0.0200349	0.0200646	0.0947701	0.841732
a24	0.0309049	0.0222111	0.0199114	0.0817657	0.845207
a9	0.00941249	0.00976397	0.012171	0.0757473	0.892905
a87	0.00564308	0.00836862	0.0134067	0.113517	0.859065
</S>	0.00273293	0.00329014	0.0051919	0.082652	0.906133
