 	la	manière	dont	ils	ont	fermé	la	maison	laisse	libre	accès	au	voleur	</S>
a66	0.091027	0.0556149	0.0419618	0.0700366	0.115858	0.147651	0.115788	0.105453	0.10583	0.0758687	0.0299125	0.0171573	0.0141398	0.013702
a87	0.337029	0.256457	0.182568	0.0645283	0.0276946	0.0220107	0.017657	0.0212123	0.0118294	0.0158669	0.00732411	0.0104588	0.012317	0.0130459
a23	0.29488	0.230406	0.159825	0.0717289	0.0369569	0.0236961	0.0193409	0.0232532	0.0294009	0.0409778	0.021782	0.0170301	0.0160005	0.0147221
a5	0.226331	0.341736	0.188766	0.0605671	0.0281617	0.0197838	0.0164049	0.0184764	0.0168662	0.0228062	0.0141193	0.0135387	0.0151234	0.0173187
a23	0.205077	0.261985	0.132507	0.0551469	0.0333782	0.0287696	0.0259966	0.02622	0.0270736	0.0376162	0.0262499	0.034474	0.0522218	0.053284
a75	0.343167	0.249588	0.155946	0.0680918	0.0352711	0.0285801	0.0170479	0.0150131	0.0119515	0.0215051	0.01176	0.01228	0.0156617	0.0141369
a6	0.253417	0.243738	0.166036	0.0831328	0.0465738	0.0446544	0.0233759	0.0179297	0.0152454	0.0300676	0.0159977	0.0194861	0.0209011	0.0194441
a5	0.18934	0.251539	0.164117	0.0716571	0.037725	0.0379942	0.0231032	0.0171073	0.0164835	0.0316225	0.0220061	0.0360829	0.0472308	0.0539912
a12	0.183619	0.291684	0.19609	0.0890003	0.0509331	0.0344251	0.0220404	0.0173601	0.0155587	0.0215225	0.012722	0.0169482	0.0219457	0.0261509
a21	0.161762	0.251264	0.179769	0.113537	0.0770446	0.0509199	0.0331029	0.025885	0.0228034	0.0247506	0.0134363	0.0123851	0.0144828	0.018857
a41	0.104099	0.173157	0.14964	0.13153	0.10842	0.0800762	0.0582299	0.0474827	0.0412101	0.0367632	0.0188755	0.0149635	0.0155897	0.0199632
a5	0.0398083	0.0689601	0.0730723	0.106694	0.114524	0.102301	0.094669	0.0856918	0.0796536	0.0626697	0.0433211	0.0355167	0.0402856	0.0528328
a85	0.0201171	0.0342844	0.0388024	0.0927537	0.12701	0.122765	0.122611	0.114067	0.107744	0.0707269	0.0401575	0.0275791	0.0325438	0.0488386
a5	0.0102705	0.0123434	0.0164542	0.0592225	0.106169	0.10885	0.129811	0.138866	0.147316	0.0799185	0.0611735	0.0374393	0.0367992	0.055368
a94	0.00971367	0.0111116	0.0125163	0.0505319	0.122747	0.152934	0.150291	0.127178	0.114792	0.0640515	0.044838	0.0322321	0.0431622	0.0639004
a98	0.00951678	0.00982232	0.0108001	0.0344582	0.101627	0.159405	0.14381	0.116946	0.107125	0.0518654	0.0520425	0.0435103	0.0590617	0.100011
a85	0.00554983	0.00685156	0.00756516	0.023082	0.0861656	0.161397	0.164189	0.126976	0.125506	0.0398697	0.0473265	0.040663	0.0540691	0.110789
a6	0.00534528	0.00652389	0.00614888	0.0183869	0.0653298	0.119888	0.147023	0.131268	0.149179	0.0521446	0.0580425	0.0471827	0.0605965	0.13294
a37	0.00634812	0.00856902	0.00770767	0.0196228	0.0570118	0.108544	0.123427	0.107801	0.12885	0.0611069	0.0733718	0.0659434	0.081158	0.150539
a21	0.0130011	0.0134547	0.0126296	0.0205453	0.0565677	0.122125	0.117407	0.0895346	0.1066	0.040017	0.0615978	0.0592408	0.0848567	0.202422
a47	0.00578402	0.00590746	0.00473165	0.0128602	0.0401911	0.0797266	0.0854274	0.081689	0.100948	0.0523336	0.0714854	0.0735207	0.123757	0.261638
a88	0.010718	0.00879183	0.00844861	0.0184452	0.0502294	0.0911827	0.0903374	0.0785629	0.0890197	0.0402943	0.0852224	0.0802356	0.111233	0.237279
a71	0.00909225	0.00691672	0.00596494	0.0122881	0.0311197	0.050462	0.0589523	0.066977	0.0859686	0.0479111	0.103073	0.100813	0.137509	0.282953
a9	0.0123321	0.0115117	0.0103307	0.0178004	0.0530987	0.0859439	0.0863701	0.0778395	0.0974504	0.0407206	0.0807937	0.0702651	0.10606	0.249483
a83	0.0213704	0.0219311	0.0218847	0.0369755	0.0613529	0.0903891	0.0720522	0.0545554	0.0637679	0.0489715	0.0631928	0.0770763	0.135872	0.230608
a34	0.00687125	0.00738432	0.00639551	0.0111427	0.0180192	0.0334253	0.0349462	0.0333797	0.0489258	0.0416391	0.0965432	0.128259	0.201972	0.331097
a56	0.00183665	0.00150023	0.00139817	0.00376654	0.00787486	0.0137626	0.0130991	0.0126474	0.0164834	0.0163903	0.0536836	0.120562	0.309198	0.427798
a96	0.00097762	0.000735593	0.000735317	0.00218516	0.00414012	0.00702092	0.00682447	0.00717639	0.0103966	0.0116004	0.0433826	0.109283	0.33799	0.457552
a35	0.00110754	0.000956774	0.000945934	0.00216197	0.00432652	0.00745012	0.00741436	0.00741755	0.00872898	0.0084319	0.0385236	0.0970873	0.307399	0.508048
a56	0.000243675	0.000228646	0.000233234	0.000676092	0.00151202	0.00294246	0.00289906	0.00273498	0.00404894	0.00440686	0.0257695	0.0843972	0.328576	0.541331
a93	0.000156649	0.000152933	0.000184643	0.000544972	0.00119324	0.0020948	0.00203884	0.00200424	0.00284258	0.00306956	0.0229358	0.080054	0.326539	0.556189
a4	0.000224742	0.000198703	0.000232088	0.000731797	0.0013431	0.00219316	0.00215346	0.00227692	0.00323313	0.0034371	0.0200451	0.0702644	0.322679	0.570987
a90	0.000406151	0.000379855	0.000503356	0.00129728	0.00224538	0.00311194	0.00318703	0.00357078	0.00460632	0.00405144	0.0242749	0.0757555	0.314992	0.561618
a15	0.000304883	0.000263174	0.000367081	0.00110654	0.00206752	0.00336291	0.00398622	0.00448697	0.00715618	0.00693707	0.0316426	0.0706147	0.306863	0.560841
a69	0.00046081	0.000385684	0.000546613	0.00136141	0.00277771	0.00483136	0.00583706	0.00588187	0.00795048	0.00594958	0.0315487	0.0760542	0.268722	0.587693
a58	0.001815	0.00146217	0.00205544	0.00347095	0.0066869	0.011906	0.0132844	0.0116533	0.0129707	0.00802521	0.0449979	0.102054	0.237692	0.541926
a82	0.0502809	0.0249502	0.0197227	0.0241519	0.0406674	0.0558012	0.0542707	0.045215	0.0439594	0.0290503	0.0604975	0.0977345	0.134358	0.31934
a87	0.18439	0.0670144	0.0464009	0.0447732	0.0542734	0.0674247	0.0566542	0.0539877	0.0505517	0.063841	0.0798283	0.0748188	0.0665781	0.0894637
a23	0.255252	0.104956	0.0893279	0.0635208	0.0452549	0.0595632	0.0460624	0.0496429	0.0519792	0.06767	0.0453891	0.0411071	0.0381947	0.0420808
a87	0.0530345	0.0191293	0.0192413	0.0139416	0.0102591	0.0121425	0.0109617	0.0114901	0.0167275	0.0279467	0.0723569	0.127303	0.258515	0.346951
</S>	0.00857334	0.00414051	0.0040706	0.00487165	0.00555273	0.0082142	0.00812197	0.00917186	0.0179384	0.0250464	0.0712207	0.127749	0.271911	0.433418
