 	il	l'	a	attendu	longtemps	</S>
a79	0.240915	0.16489	0.116581	0.146274	0.175249	0.156092
a76	0.250431	0.168975	0.13169	0.113001	0.15476	0.181143
a41	0.333947	0.204738	0.120918	0.120969	0.110664	0.108765
a27	0.471145	0.292582	0.115366	0.0597905	0.0356908	0.0254252
a24	0.385753	0.280751	0.136046	0.0725764	0.0624173	0.0624565
a41	0.309088	0.265454	0.180567	0.109257	0.07586	0.0597742
a31	0.274183	0.257	0.196605	0.118891	0.0847234	0.0685979
a62	0.204988	0.221698	0.208978	0.14847	0.119429	0.0964362
a12	0.129842	0.147809	0.185902	0.19846	0.185164	0.152824
a90	0.0756564	0.092213	0.148989	0.211164	0.242728	0.22925
a98	0.111258	0.111539	0.142158	0.184208	0.224259	0.226577
a24	0.063546	0.073113	0.110324	0.18044	0.26725	0.305328
a9	0.0250689	0.0295613	0.0542887	0.128631	0.287411	0.475039
a87	0.0128857	0.0162239	0.0308063	0.0858426	0.265918	0.588324
</S>	0.0090664	0.0113098	0.0255792	0.0850785	0.242491	0.626475
