 	mon	cadet	a	tué	un	souriceau	</S>
a66	0.424678	0.233357	0.11587	0.0857239	0.0748917	0.0440345	0.0214453
a87	0.421383	0.218651	0.147039	0.104121	0.0527671	0.0336338	0.0224052
a23	0.452577	0.192673	0.113537	0.0806193	0.0494347	0.0533491	0.0578103
a13	0.363647	0.204168	0.155977	0.108312	0.0640692	0.0469897	0.0568365
a44	0.257796	0.179651	0.146672	0.140351	0.106463	0.0773347	0.0917322
a38	0.314257	0.290652	0.20592	0.104784	0.0408892	0.0218377	0.0216608
a62	0.225697	0.269429	0.230952	0.137405	0.0680806	0.0363662	0.0320709
a34	0.142114	0.202684	0.224614	0.182798	0.119598	0.0714835	0.0567077
a98	0.111509	0.217165	0.277853	0.193126	0.110388	0.0520266	0.0379327
a92	0.103025	0.242507	0.268638	0.169471	0.0882557	0.0637155	0.0643875
a98	0.148939	0.221194	0.229298	0.159334	0.0961261	0.0698074	0.0753025
a79	0.102546	0.188524	0.231784	0.179177	0.123706	0.0919771	0.082287
a44	0.107989	0.148652	0.197051	0.1894	0.145183	0.110687	0.101038
a96	0.0862746	0.0874763	0.14848	0.18398	0.176257	0.150938	0.166594
a66	0.0419667	0.0382303	0.0640327	0.139882	0.233788	0.22761	0.254491
a75	0.0141689	0.013525	0.0195387	0.0490008	0.158701	0.281489	0.463577
a47	0.00590567	0.00580032	0.0124602	0.0450442	0.155115	0.338816	0.436858
a36	0.00200583	0.00207033	0.00632561	0.0342884	0.116614	0.306305	0.532391
a6	0.00196219	0.00158548	0.00252457	0.0107771	0.0639213	0.232657	0.686572
a36	0.00187864	0.001762	0.0028467	0.0115935	0.0551652	0.251912	0.674842
a2	0.00234573	0.00190867	0.00322194	0.014278	0.0436167	0.203162	0.731467
a57	0.0372722	0.0404009	0.0433995	0.0793954	0.114006	0.216721	0.468806
a87	0.25273	0.124888	0.0958765	0.0968297	0.106561	0.136326	0.186789
a23	0.269486	0.142054	0.113358	0.126047	0.117867	0.123249	0.107939
a99	0.104914	0.0484435	0.0382565	0.0527328	0.0874314	0.247552	0.420671
a38	0.0570853	0.0352032	0.0378581	0.0630542	0.117913	0.257177	0.43171
</S>	0.032577	0.0282628	0.0388665	0.0716161	0.114562	0.242396	0.471719
