 	le	soleil	a	fait	éclater	le	pneu	du	véhicule	de	tsimba	</S>
a66	0.158173	0.104949	0.108226	0.115241	0.138499	0.114098	0.0981123	0.0786448	0.0419591	0.016569	0.0128634	0.0126646
a87	0.252938	0.188481	0.130199	0.0949629	0.0705761	0.0510753	0.0338882	0.033787	0.033627	0.0290551	0.0382054	0.0432057
a23	0.325684	0.253275	0.134151	0.0835802	0.0652892	0.0312944	0.0196986	0.0161191	0.013832	0.0137294	0.0193397	0.0240066
a99	0.301813	0.281353	0.126437	0.0569236	0.0431373	0.0313831	0.0240978	0.0215279	0.025294	0.0202381	0.030535	0.037261
a44	0.230736	0.211358	0.141015	0.0787123	0.0667575	0.0373527	0.0315171	0.029886	0.0438953	0.0363752	0.0444878	0.0479067
a43	0.282837	0.223775	0.159759	0.082345	0.0830781	0.0345949	0.0196669	0.0161472	0.0209362	0.0211976	0.0260066	0.029657
a11	0.250929	0.252103	0.188143	0.0982028	0.0924946	0.0314691	0.0174902	0.0122823	0.0142012	0.014459	0.0142825	0.0139435
a34	0.152968	0.215513	0.184177	0.132135	0.117651	0.0599554	0.0380496	0.023385	0.0213308	0.0185107	0.0183656	0.0179591
a56	0.0871818	0.134941	0.167335	0.163707	0.162109	0.10711	0.0748341	0.0352003	0.0215659	0.015529	0.0154233	0.0150636
a37	0.0707966	0.110768	0.1518	0.160835	0.15998	0.123924	0.0920884	0.0425086	0.0273465	0.0197155	0.0198989	0.0203389
a75	0.0585441	0.0814242	0.126674	0.141626	0.149705	0.13214	0.103992	0.0507713	0.038881	0.0337787	0.0385889	0.0438757
a56	0.0349547	0.0561007	0.115033	0.146081	0.144413	0.137614	0.111562	0.0635512	0.0482914	0.0365239	0.0473812	0.0584932
a96	0.0417348	0.0577863	0.123733	0.169601	0.178905	0.148482	0.113945	0.0604148	0.0325725	0.0193418	0.0235787	0.0299052
a62	0.0352784	0.0461298	0.101162	0.157883	0.175332	0.152185	0.122889	0.0735404	0.0430142	0.0246948	0.0300383	0.0378539
a0	0.0210002	0.027011	0.0669989	0.132919	0.16969	0.176638	0.155464	0.104871	0.0603661	0.0283848	0.0267744	0.0298823
a62	0.0179247	0.0208288	0.0397697	0.0851673	0.124498	0.194499	0.190903	0.130609	0.0832422	0.035918	0.0354506	0.0411889
a88	0.0125594	0.0151562	0.0300975	0.0675785	0.104526	0.194324	0.195886	0.147127	0.1055	0.0476529	0.0383827	0.0412098
a71	0.00995333	0.0110685	0.0208376	0.043461	0.0670846	0.151759	0.173241	0.141188	0.146533	0.0833182	0.0704719	0.0810835
a70	0.0134389	0.0133206	0.0224434	0.0388431	0.0576588	0.129729	0.178834	0.139598	0.165066	0.0895164	0.0740576	0.0774939
a93	0.0125388	0.012124	0.0199448	0.033944	0.0499824	0.108875	0.172324	0.146853	0.159521	0.0942007	0.0870801	0.102613
a56	0.00712706	0.0071361	0.012277	0.0227756	0.0339924	0.0774266	0.119838	0.116394	0.183074	0.151198	0.125073	0.143689
a25	0.00247578	0.00243355	0.00456117	0.00931525	0.0152874	0.0423307	0.0800491	0.087232	0.132887	0.176098	0.199299	0.248031
a79	0.000998205	0.00107067	0.00176465	0.00345366	0.00525393	0.0224457	0.047515	0.0545743	0.12598	0.198707	0.231019	0.307218
a44	0.0018885	0.00177277	0.0028459	0.00522989	0.00700285	0.0219405	0.044929	0.051359	0.128062	0.20806	0.235543	0.291367
a90	0.00168185	0.00141264	0.00192946	0.00330316	0.00414165	0.0114951	0.0241185	0.031798	0.0932197	0.198438	0.2662	0.362262
a56	0.00143285	0.00128324	0.00207977	0.00433677	0.00584335	0.0203756	0.0429656	0.0509824	0.0977913	0.185968	0.245059	0.341882
a96	0.000491542	0.000349101	0.000596688	0.00138916	0.00235236	0.00960829	0.0214818	0.0264885	0.0546785	0.17404	0.291084	0.41744
a62	0.000478031	0.000339304	0.00055804	0.00110355	0.00175179	0.00489539	0.00816538	0.00989412	0.0222314	0.117985	0.304845	0.527752
a21	0.000436149	0.000331394	0.000519378	0.000943379	0.00136718	0.00333959	0.00480455	0.00615026	0.0162659	0.106258	0.303561	0.556023
a85	0.000288522	0.000210204	0.000314825	0.000540531	0.000837131	0.00227365	0.00373396	0.004404	0.0109562	0.0892742	0.313156	0.574011
a6	7.60234e-05	5.85566e-05	7.61692e-05	0.000185076	0.000286075	0.00165222	0.0031665	0.00364801	0.0110592	0.0954055	0.307927	0.57646
a36	8.95259e-05	7.21879e-05	9.71321e-05	0.000193729	0.000277696	0.00130173	0.00327116	0.00371034	0.0127666	0.0921453	0.310777	0.575298
a11	0.000364072	0.000225332	0.000208368	0.000320381	0.000303188	0.00101108	0.00166612	0.00205411	0.00976309	0.083992	0.295504	0.604589
a66	0.00375389	0.00262185	0.00219521	0.00280694	0.00266062	0.00460513	0.00541041	0.00668301	0.0295756	0.105359	0.29104	0.543289
a26	0.0403145	0.0247473	0.0181555	0.0228996	0.0219051	0.0304525	0.0281168	0.0305042	0.0688241	0.132614	0.232489	0.348977
a57	0.129918	0.072539	0.0413765	0.0468409	0.0413295	0.0449914	0.0380834	0.0424513	0.0641321	0.109937	0.150254	0.218147
a87	0.194293	0.119645	0.0597336	0.0536948	0.0394729	0.038183	0.0359754	0.0420669	0.051925	0.0878199	0.117378	0.159813
a23	0.12851	0.101038	0.0746413	0.0741761	0.0577252	0.0488545	0.052137	0.0684067	0.0667853	0.103124	0.109226	0.115376
a87	0.0311626	0.0235714	0.0116428	0.0109972	0.00613003	0.00819793	0.010206	0.0144173	0.0237851	0.104564	0.287389	0.467936
