 	cet	homme	est	un	brigand	</S>
a10	0.310189	0.193475	0.140402	0.102609	0.11723	0.136094
a38	0.308987	0.16672	0.147346	0.126863	0.106908	0.143176
a90	0.391644	0.180374	0.13099	0.0896497	0.0859314	0.121411
a25	0.444025	0.222344	0.130742	0.0847706	0.0629743	0.0551439
a90	0.428091	0.33451	0.157367	0.0504765	0.0171812	0.0123739
a15	0.350842	0.332088	0.198634	0.071152	0.0275216	0.0197626
a73	0.265472	0.269173	0.212271	0.121402	0.0746782	0.0570037
a36	0.178446	0.222068	0.245574	0.168672	0.102383	0.0828571
a75	0.157129	0.185739	0.243045	0.201164	0.117355	0.0955674
a66	0.109353	0.122956	0.175369	0.205204	0.209767	0.177352
a0	0.0684175	0.0675028	0.122508	0.247777	0.262908	0.230887
a11	0.0525199	0.0524227	0.0883691	0.18357	0.310558	0.312561
a90	0.031259	0.0316502	0.0575637	0.147464	0.324976	0.407088
a9	0.023935	0.024211	0.0435925	0.130015	0.414573	0.363673
a10	0.00885139	0.0084201	0.0163373	0.0601326	0.246842	0.659417
a87	0.0040043	0.00340553	0.0068197	0.0299607	0.198929	0.756881
a10	0.0280485	0.0209463	0.0342277	0.0913888	0.318201	0.507187
</S>	0.0895	0.0540753	0.0622726	0.115261	0.299859	0.379032
