 	angonga	a	curé	l'	étang	de	sa	femme	</S>
a66	0.134462	0.0684816	0.0558318	0.112427	0.138934	0.165471	0.16082	0.0983722	0.0652001
a87	0.231118	0.12382	0.102525	0.114432	0.127569	0.134796	0.0767756	0.0486099	0.0403546
a30	0.488104	0.181047	0.122785	0.0548299	0.0565836	0.0395665	0.0211937	0.0183397	0.0175514
a40	0.516493	0.176907	0.119573	0.0454365	0.0539388	0.0349539	0.0178121	0.0181009	0.0167847
a44	0.558372	0.155715	0.124659	0.0403038	0.0355114	0.0269949	0.0166605	0.0203227	0.021461
a70	0.349984	0.247396	0.189486	0.0670221	0.0488793	0.0343045	0.020225	0.0207638	0.0219392
a99	0.233413	0.280668	0.249248	0.0923511	0.0624899	0.033552	0.0170106	0.0149007	0.0163674
a4	0.111528	0.219735	0.252307	0.13968	0.111703	0.0629956	0.0342648	0.0295733	0.0382121
a70	0.105698	0.215542	0.241423	0.145502	0.125274	0.0658554	0.0364239	0.0296717	0.0346092
a54	0.0603316	0.14397	0.199225	0.159967	0.154897	0.0869669	0.0570085	0.0570779	0.0805564
a5	0.0388362	0.103562	0.149867	0.188561	0.184585	0.111335	0.071126	0.0701627	0.0819646
a96	0.0227211	0.0717573	0.124223	0.19228	0.193775	0.118622	0.0796262	0.0824585	0.114537
a44	0.00527352	0.0170934	0.0485094	0.138513	0.179168	0.146052	0.121779	0.131161	0.21245
a70	0.0028309	0.00946261	0.0282831	0.110196	0.161461	0.163912	0.149016	0.147322	0.227515
a56	0.00169339	0.0043944	0.0125412	0.064372	0.121552	0.148458	0.171528	0.180914	0.294548
a43	0.000737528	0.00197201	0.00637474	0.0357676	0.0694282	0.110333	0.184364	0.226394	0.364629
a96	0.000182715	0.000478318	0.00165794	0.0103162	0.0288971	0.071262	0.181424	0.280063	0.425719
a66	0.000225561	0.000451615	0.00128816	0.00653906	0.0212566	0.065969	0.192097	0.301134	0.411039
a38	0.00110184	0.0011427	0.00294461	0.00829452	0.019773	0.0587986	0.172625	0.317627	0.417693
a44	0.00257595	0.00199023	0.00416405	0.00818491	0.0157348	0.0414969	0.141501	0.322614	0.461737
a70	0.00166764	0.00154421	0.0036095	0.00665493	0.0120605	0.031114	0.123456	0.324273	0.495621
a13	0.000693556	0.00081549	0.00208728	0.00519899	0.011039	0.0333799	0.132846	0.327232	0.486707
a3	0.00134576	0.00130443	0.00284961	0.00540659	0.00995282	0.0251205	0.104608	0.321555	0.527857
a97	0.0352514	0.0145568	0.017614	0.0197639	0.0303759	0.0537024	0.127244	0.276541	0.42495
a87	0.122339	0.0503748	0.0436927	0.0403458	0.0601965	0.0964501	0.152279	0.206542	0.22778
</S>	0.125436	0.0696566	0.0636394	0.0581454	0.0876968	0.123137	0.147948	0.166503	0.157838
