 	le	feu	s'	étend	dans	la	savane	</S>
a66	0.274564	0.268377	0.212276	0.0745599	0.0441211	0.0552524	0.035093	0.0357568
a87	0.319981	0.306633	0.17241	0.0758108	0.0576214	0.0313479	0.0166542	0.019542
a23	0.49255	0.275263	0.14564	0.0434561	0.0125654	0.00940899	0.00856705	0.012549
a83	0.342323	0.281629	0.165812	0.108169	0.028107	0.0134987	0.0182545	0.0422054
a62	0.294625	0.249715	0.145573	0.158947	0.0317411	0.01525	0.0313881	0.0727609
a5	0.235783	0.293918	0.291398	0.13759	0.0247205	0.00656226	0.00480216	0.00522527
a37	0.162135	0.236257	0.279534	0.246582	0.0518986	0.0103829	0.00655859	0.00665167
a90	0.132372	0.178384	0.251249	0.294624	0.099416	0.0206723	0.0113407	0.0119418
a70	0.0769271	0.116678	0.226872	0.301091	0.191455	0.0465672	0.020216	0.0201936
a62	0.0874214	0.127497	0.21099	0.29502	0.203111	0.0441818	0.0152062	0.016572
a0	0.0550179	0.0899722	0.165995	0.334241	0.248091	0.0664964	0.0192131	0.020973
a21	0.0359487	0.0486948	0.0905685	0.239964	0.323848	0.152243	0.0483576	0.0603759
a12	0.023509	0.0427394	0.0853894	0.204686	0.260613	0.157258	0.106672	0.119133
a62	0.0158231	0.0257275	0.0462144	0.13453	0.218972	0.224374	0.163775	0.170585
a21	0.0149079	0.0225048	0.0375136	0.115878	0.205919	0.252238	0.185162	0.165878
a5	0.00839708	0.0106437	0.0153401	0.0467132	0.125047	0.250364	0.27807	0.265425
a43	0.00587294	0.00730148	0.00873364	0.0206052	0.0585038	0.205183	0.345752	0.348048
a90	0.00310823	0.00348088	0.0044108	0.0103632	0.0327266	0.152912	0.342557	0.450442
a44	0.000552861	0.000421637	0.000469156	0.00108284	0.00623633	0.0838495	0.358596	0.548791
a90	0.000796062	0.000384704	0.000398214	0.000596659	0.0029339	0.035776	0.24608	0.713034
a69	0.000296944	0.000140219	0.000145554	0.000232272	0.00193011	0.0391489	0.266928	0.691178
a44	0.000205926	8.67581e-05	8.64983e-05	0.000100982	0.000921021	0.0237709	0.230896	0.743932
a4	0.000147695	6.65442e-05	7.85186e-05	8.03004e-05	0.00087136	0.0234828	0.216642	0.758631
a57	0.000212758	9.58947e-05	0.000115505	0.000131229	0.00114846	0.0271145	0.223694	0.747488
a82	0.00503273	0.0017275	0.00206034	0.00118014	0.00561909	0.0513055	0.288626	0.644449
a87	0.23643	0.119135	0.0775981	0.0353345	0.0471052	0.093	0.144546	0.246851
a23	0.392419	0.253408	0.152968	0.0465658	0.0339467	0.0335489	0.0400542	0.0470895
a87	0.110308	0.0590432	0.0357404	0.00855601	0.0222301	0.0693321	0.240976	0.453814
</S>	0.00964126	0.00511632	0.00364761	0.0024116	0.0125776	0.0678705	0.266513	0.632223
