 	j'	aime	manger	le	poisson	frais	que	l'	on	fait	pourrir	</S>
a66	0.102197	0.0806095	0.0975716	0.117177	0.11945	0.12122	0.120227	0.123219	0.0737493	0.027411	0.0108215	0.00634634
a10	0.169014	0.0929083	0.0735378	0.0608596	0.0598137	0.0725856	0.0809298	0.0935821	0.0928827	0.0948888	0.0693935	0.0396043
a87	0.26295	0.162694	0.12347	0.0842561	0.0629643	0.0641209	0.0615157	0.0592149	0.0438238	0.032883	0.020681	0.0214264
a10	0.232577	0.158755	0.113381	0.0725823	0.0526364	0.0584973	0.0728432	0.0840005	0.0656673	0.0469283	0.0232373	0.0188938
a83	0.23156	0.166053	0.122028	0.0788105	0.0530829	0.0585479	0.0670544	0.0749406	0.0627978	0.0481724	0.0217893	0.0151631
a50	0.287543	0.159979	0.106173	0.0878822	0.0605026	0.0433998	0.0458223	0.0547255	0.0511498	0.047153	0.0340096	0.0216599
a62	0.309004	0.221083	0.152598	0.110551	0.057192	0.0291364	0.0201351	0.0188051	0.0204288	0.0258815	0.0243829	0.0108025
a88	0.278065	0.231738	0.147871	0.104036	0.060379	0.0380314	0.0235505	0.0188437	0.020533	0.0291491	0.0322261	0.015576
a62	0.195682	0.215629	0.151832	0.12022	0.0772737	0.052216	0.0295202	0.0215353	0.0233406	0.0357803	0.0458906	0.0310803
a61	0.137678	0.186946	0.150495	0.144503	0.108899	0.0792228	0.0391666	0.0245821	0.0242232	0.0336716	0.0404466	0.0301643
a75	0.144747	0.173618	0.144933	0.139276	0.11258	0.0850793	0.0425684	0.0259804	0.0242234	0.032384	0.0403466	0.0342643
a6	0.0961765	0.128749	0.131273	0.13627	0.119712	0.10415	0.0654614	0.0436614	0.0356567	0.0431402	0.0515832	0.0441663
a36	0.0745825	0.109439	0.125341	0.135196	0.123913	0.115977	0.0800974	0.0556862	0.0460681	0.0464079	0.046659	0.0406333
a93	0.039986	0.0705291	0.101655	0.148962	0.161848	0.156012	0.0993525	0.0603695	0.0427231	0.0407945	0.0374818	0.0402866
a56	0.0435279	0.0673948	0.0891308	0.138929	0.161623	0.157099	0.104642	0.0649787	0.0436552	0.041475	0.0410202	0.046524
a43	0.0391176	0.0607285	0.0824971	0.120497	0.153963	0.172829	0.122595	0.0827709	0.0540533	0.0413444	0.0351871	0.0344168
a56	0.0171814	0.0283982	0.0419093	0.0890296	0.167309	0.216581	0.145612	0.0871757	0.0546279	0.0493097	0.0474576	0.0554085
a70	0.016021	0.0247389	0.0361787	0.0724515	0.146077	0.21179	0.15882	0.109565	0.0739275	0.0606386	0.0487994	0.0409929
a11	0.0111195	0.0174171	0.0251576	0.0538099	0.125266	0.209368	0.172555	0.124878	0.0916469	0.0750618	0.0526895	0.0410307
a93	0.010512	0.0148678	0.0214187	0.0471508	0.109969	0.190516	0.175159	0.134144	0.0986245	0.0822245	0.0619311	0.0534823
a4	0.00824949	0.0118427	0.017563	0.0345282	0.0749202	0.140813	0.131278	0.112174	0.10993	0.121439	0.120203	0.117058
a13	0.00787777	0.0109165	0.0158568	0.0354323	0.0798338	0.1543	0.156067	0.129264	0.115552	0.11857	0.0986531	0.0776771
a38	0.00700188	0.00837509	0.0113305	0.0264839	0.0648135	0.140439	0.154262	0.132654	0.117661	0.116962	0.115896	0.10412
a53	0.00597128	0.00644876	0.00812893	0.0176615	0.044562	0.103782	0.125061	0.112545	0.109854	0.121198	0.155317	0.189469
a69	0.00305599	0.00398596	0.00570868	0.0127136	0.0328636	0.0742509	0.0973178	0.0962913	0.121472	0.159661	0.190058	0.202622
a84	0.00359933	0.00493274	0.00704496	0.0140523	0.0357923	0.0877546	0.115384	0.106483	0.121044	0.134037	0.158168	0.211708
a10	0.00592456	0.00660481	0.00891798	0.016155	0.036275	0.0838146	0.116977	0.10657	0.104127	0.108602	0.147043	0.25899
a87	0.0293106	0.0235573	0.0252929	0.0303187	0.045404	0.078471	0.105399	0.106948	0.0959659	0.100779	0.127684	0.230869
a23	0.0541319	0.0366608	0.0339781	0.0358334	0.0497096	0.0689004	0.0925074	0.109601	0.0992045	0.122803	0.149315	0.147354
a99	0.00931519	0.00735071	0.0089831	0.0120711	0.0201879	0.0299044	0.0473438	0.0787315	0.107669	0.221774	0.226145	0.230524
a87	0.00286249	0.00346901	0.00521396	0.0104589	0.0227537	0.0295711	0.0388058	0.0644166	0.101912	0.207343	0.233267	0.279926
a97	0.0108882	0.0111147	0.0131815	0.0178595	0.0290536	0.0356461	0.0413971	0.0557154	0.0717408	0.128514	0.229129	0.355761
</S>	0.0141451	0.0128371	0.0160321	0.0222508	0.0360492	0.0399325	0.0569127	0.0848928	0.0960335	0.137748	0.208374	0.274793
