 	cette	femme	m'	a	insulté	parce	que	je	l'	ai	frôlée	</S>
a87	0.126505	0.0978913	0.0842755	0.100125	0.126325	0.135875	0.118693	0.0909568	0.0637229	0.0315952	0.0157767	0.008259
a97	0.114573	0.0654722	0.0770746	0.107424	0.168469	0.119472	0.0789665	0.075631	0.0495941	0.0382874	0.0425906	0.0624445
a3	0.12753	0.0905413	0.0844558	0.0981318	0.126458	0.0953857	0.0672048	0.0639134	0.0476373	0.0361946	0.0553758	0.107171
a30	0.186903	0.120291	0.0949338	0.0942381	0.118251	0.08874	0.072781	0.0652503	0.0456432	0.0308758	0.0380082	0.0440856
a93	0.202526	0.122839	0.0824182	0.0852443	0.104708	0.0858876	0.0697789	0.0650543	0.0493496	0.0359253	0.0488428	0.0474258
a61	0.159048	0.132412	0.0914709	0.0934745	0.11118	0.0931297	0.0731211	0.0593439	0.0535462	0.0421318	0.046037	0.0451046
a75	0.393431	0.213484	0.101876	0.0555707	0.0533439	0.0446228	0.0379423	0.0230346	0.0219535	0.0182505	0.0173035	0.0191882
a56	0.310558	0.195905	0.108455	0.0797005	0.0943791	0.0742598	0.0559045	0.0235598	0.015503	0.0119552	0.0117749	0.0180454
a90	0.334688	0.233063	0.113793	0.0775981	0.0788302	0.0619022	0.043168	0.0177517	0.0127229	0.00918274	0.00737023	0.00992942
a98	0.216097	0.196431	0.140227	0.114709	0.103474	0.078128	0.0579163	0.025696	0.016169	0.0151733	0.013874	0.0221055
a44	0.16745	0.172911	0.137814	0.1156	0.118776	0.0987271	0.0783042	0.0360117	0.0204694	0.0153521	0.0151127	0.0234707
a84	0.119082	0.16178	0.148271	0.139344	0.137474	0.109514	0.0796452	0.0367399	0.0208251	0.0147335	0.0129171	0.0196736
a57	0.0493881	0.101303	0.142406	0.181505	0.163337	0.118685	0.0789497	0.0394211	0.022413	0.0204043	0.0272494	0.0549385
a38	0.0669772	0.109624	0.144146	0.193031	0.174952	0.11227	0.0660841	0.0328298	0.0185416	0.0158886	0.0226536	0.043002
a90	0.0358489	0.077613	0.122224	0.176023	0.17869	0.141351	0.0960357	0.0476769	0.0253922	0.0213833	0.025365	0.0523972
a56	0.0600515	0.0974474	0.135889	0.146147	0.150533	0.122317	0.0989212	0.0606933	0.0381999	0.0292324	0.0226938	0.037875
a43	0.040872	0.0658733	0.108541	0.147691	0.164085	0.144858	0.120496	0.0781807	0.044434	0.0292037	0.022755	0.0330105
a11	0.0172072	0.0357823	0.0737689	0.13643	0.16452	0.163929	0.130765	0.0977376	0.0537237	0.0343731	0.0341623	0.0576005
a96	0.0218989	0.0380136	0.0713935	0.132576	0.159232	0.164129	0.131547	0.0971974	0.0560339	0.037626	0.0335091	0.0568436
a75	0.0243609	0.036739	0.0624167	0.118318	0.15171	0.158878	0.137067	0.107139	0.0657981	0.0470359	0.0371377	0.0533993
a85	0.0377893	0.0448511	0.0648944	0.114019	0.14697	0.146811	0.118121	0.0820337	0.0554152	0.0471701	0.0530131	0.0889121
a36	0.05492	0.0604346	0.086078	0.124376	0.148803	0.131893	0.109295	0.0688568	0.0485657	0.0378137	0.0450415	0.0839229
a27	0.0359247	0.0415189	0.0529076	0.100831	0.140376	0.161883	0.131536	0.0993304	0.0671258	0.0457841	0.0403226	0.0824588
a9	0.0217781	0.0322004	0.0574721	0.123024	0.158627	0.182336	0.136669	0.0963357	0.0520744	0.0342085	0.0335686	0.0717059
a87	0.0198587	0.0248867	0.0502128	0.136902	0.197919	0.1903	0.110778	0.0706096	0.0367085	0.0281996	0.0356957	0.0979295
a23	0.0372156	0.0485903	0.07752	0.141577	0.211253	0.160899	0.0967072	0.0754123	0.0476592	0.0333741	0.0296694	0.0401228
