 	viens	m'	aider	à	porter	le	panier	</S>
a23	0.400315	0.195654	0.136805	0.111382	0.0720896	0.0395374	0.0216434	0.0225735
a50	0.552467	0.192878	0.0677228	0.0575799	0.031191	0.0283544	0.032157	0.0376497
a75	0.593531	0.24427	0.0645966	0.0382699	0.0225042	0.0105037	0.0105075	0.0158178
a98	0.594097	0.269296	0.0707764	0.0357683	0.0148495	0.00694165	0.00457983	0.00369154
a14	0.456189	0.33615	0.102058	0.0569492	0.0243849	0.0114168	0.0073761	0.00547586
a24	0.413052	0.327378	0.114978	0.0734765	0.0343202	0.0169167	0.0108682	0.00901004
a41	0.269751	0.364595	0.185571	0.0995398	0.0380706	0.0168574	0.0127162	0.0128988
a14	0.179474	0.293177	0.22412	0.1431	0.0704759	0.0367728	0.0256855	0.0271948
a35	0.136179	0.214277	0.236674	0.185086	0.0957965	0.0568554	0.0376342	0.0374986
a38	0.093294	0.153061	0.203958	0.190968	0.124851	0.0904094	0.0694421	0.074017
a35	0.117562	0.138831	0.155102	0.177834	0.146526	0.0938349	0.0724531	0.0978568
a26	0.0814779	0.0933752	0.118728	0.173954	0.186529	0.124747	0.0961214	0.125066
a24	0.0484952	0.0572478	0.0718611	0.134907	0.219297	0.184481	0.123854	0.159856
a71	0.0798781	0.0902917	0.100112	0.136006	0.156712	0.159252	0.132208	0.145541
a75	0.0861491	0.0808637	0.0771372	0.109293	0.181117	0.170868	0.13561	0.158961
a41	0.0590564	0.0424571	0.0395297	0.0570268	0.141445	0.178787	0.197997	0.2837
a35	0.0671261	0.0558516	0.0516393	0.0642392	0.121731	0.170557	0.207777	0.261079
a14	0.046123	0.0399559	0.0428758	0.0527977	0.111879	0.17029	0.231471	0.304608
a35	0.0454606	0.0352521	0.0362331	0.0395561	0.0933718	0.16469	0.260768	0.324669
a14	0.0542941	0.0320803	0.0298132	0.0349009	0.082037	0.150451	0.258551	0.357872
a2	0.0554585	0.030872	0.0294762	0.0327902	0.0800233	0.152002	0.271801	0.347577
a57	0.0130646	0.00712961	0.00780014	0.0120161	0.0324075	0.0839246	0.239917	0.60374
a75	0.00978473	0.00322996	0.0027725	0.00484993	0.0245646	0.0969418	0.297722	0.560135
a41	0.00380934	0.0019873	0.00230764	0.0047704	0.0199893	0.0729184	0.26332	0.630898
a96	0.0051888	0.00308417	0.00375801	0.00687507	0.0211919	0.0662982	0.244367	0.649237
a66	0.00598541	0.00310237	0.00403553	0.00783356	0.022086	0.0641082	0.223897	0.668952
a50	0.00945611	0.00312073	0.00303077	0.00609504	0.0273501	0.0780062	0.236534	0.636407
a18	0.0111056	0.00410991	0.00321809	0.00633546	0.0236666	0.071934	0.229858	0.649772
a25	0.0341719	0.0105719	0.00540699	0.0071081	0.0217066	0.0673824	0.213157	0.640495
a87	0.0168602	0.0090167	0.00545441	0.00740926	0.0201103	0.067761	0.229085	0.644303
</S>	0.0381386	0.0228757	0.0136271	0.0161968	0.0338382	0.107812	0.243214	0.524298
