 	l'	eau	est	bouillante	</S>
a23	0.570011	0.188045	0.0911313	0.0854348	0.065378
a83	0.420288	0.228831	0.137377	0.130473	0.0830314
a75	0.359338	0.174999	0.125512	0.106145	0.234007
a85	0.501271	0.251448	0.14178	0.0648264	0.0406748
a36	0.578136	0.281873	0.103554	0.0227355	0.0137014
a75	0.510899	0.249611	0.135588	0.0590067	0.0448956
a85	0.420456	0.231278	0.162885	0.0912461	0.094135
a37	0.2245	0.174277	0.162022	0.175641	0.26356
a61	0.0990568	0.10867	0.175537	0.267545	0.349192
a75	0.0593851	0.0839278	0.152726	0.32298	0.380982
a85	0.0448514	0.0439273	0.0887304	0.301897	0.520593
a36	0.0234761	0.0425136	0.0890217	0.255103	0.589886
a2	0.0212068	0.0388188	0.0705506	0.202121	0.667302
a57	0.131697	0.112932	0.145259	0.221939	0.388174
a87	0.208761	0.105972	0.108	0.172771	0.404496
a23	0.328024	0.195013	0.154989	0.145453	0.176522
a87	0.27589	0.232215	0.216474	0.161823	0.113598
</S>	0.0950497	0.0887445	0.129897	0.263196	0.423112
