 	ce	manioc	s'	est	déjà	refroidi	</S>
a66	0.257785	0.210166	0.243297	0.169385	0.0825934	0.0200454	0.0167274
a87	0.284113	0.198812	0.213283	0.182329	0.0899609	0.0176436	0.013858
a23	0.37937	0.249496	0.188492	0.102886	0.0457156	0.0185086	0.0155317
a18	0.429448	0.278175	0.158839	0.0657696	0.0288835	0.0179307	0.0209542
a53	0.375411	0.241862	0.176894	0.0972367	0.0446353	0.0305164	0.0334442
a15	0.351734	0.247748	0.183712	0.112883	0.058946	0.031111	0.0138662
a56	0.0983847	0.11941	0.137331	0.194844	0.223914	0.179495	0.0466225
a12	0.102096	0.119697	0.137331	0.163948	0.16341	0.226492	0.0870276
a62	0.0954574	0.109941	0.121913	0.14065	0.153227	0.268075	0.110738
a88	0.0779067	0.0910163	0.115121	0.143585	0.156541	0.282868	0.132961
a0	0.0634216	0.0745104	0.100668	0.145116	0.17234	0.272629	0.171315
a90	0.0373477	0.0367238	0.040526	0.0775947	0.171259	0.340638	0.295912
a56	0.0249874	0.0286806	0.0398744	0.0962632	0.193963	0.35178	0.264452
a0	0.0182263	0.0162436	0.0182973	0.0437938	0.160356	0.371371	0.371712
a96	0.00752799	0.00587649	0.00576788	0.0171396	0.11426	0.317786	0.531642
a36	0.0047219	0.00354035	0.00317724	0.00968055	0.0759449	0.21777	0.685165
a26	0.00467606	0.00359235	0.00335678	0.00840173	0.0363093	0.108372	0.835292
a57	0.10551	0.0789908	0.0886281	0.080929	0.107369	0.163271	0.375301
a87	0.309611	0.207379	0.150777	0.0671051	0.0528935	0.0674293	0.144805
a23	0.277421	0.230652	0.19055	0.102722	0.0584197	0.0508291	0.0894058
a87	0.119573	0.104123	0.108075	0.107909	0.128754	0.12475	0.306817
</S>	0.0251337	0.0174998	0.0188518	0.033712	0.122121	0.261727	0.520954
