 	le	pêcheur	apprend	à	son	enfant	à	pagayer	</S>
a66	0.413983	0.156383	0.079937	0.0476016	0.0462101	0.0531101	0.0559883	0.0859437	0.0608432
a87	0.265692	0.136909	0.094401	0.0840868	0.0742772	0.072327	0.0759668	0.108578	0.0877621
a23	0.41148	0.253967	0.13907	0.0662266	0.0370934	0.0248381	0.0183351	0.0244515	0.0245382
a87	0.3794	0.233521	0.136786	0.0804435	0.0573083	0.0373228	0.0243771	0.0255972	0.0252441
a10	0.3992	0.21589	0.133728	0.0715643	0.0516642	0.0357449	0.0288621	0.0306074	0.0327391
a9	0.464998	0.22981	0.121313	0.0486815	0.0343934	0.0240943	0.0219307	0.0232234	0.0315556
a38	0.507566	0.212007	0.106701	0.0416666	0.0292831	0.0235239	0.0224403	0.0234201	0.0333918
a4	0.474389	0.246289	0.133393	0.0437432	0.0311438	0.0219574	0.0165206	0.0118141	0.0207507
a70	0.384782	0.19964	0.192615	0.0947402	0.0525662	0.0352989	0.0164018	0.00883563	0.0151193
a90	0.191373	0.132295	0.202287	0.17174	0.11269	0.0817656	0.0438289	0.0262773	0.0377428
a79	0.201472	0.144073	0.225329	0.180507	0.104962	0.0659637	0.0312153	0.0183088	0.0281703
a44	0.14857	0.120866	0.201011	0.1909	0.1319	0.100258	0.0466887	0.0269813	0.0328241
a75	0.0661195	0.0737659	0.159856	0.209317	0.169077	0.130334	0.0731452	0.0526051	0.0657802
a6	0.0596627	0.0716239	0.151945	0.187553	0.174936	0.150691	0.0873475	0.0550702	0.0611718
a56	0.0296396	0.0404096	0.100021	0.160634	0.185169	0.183089	0.123669	0.0853601	0.092009
a12	0.0116148	0.0205021	0.0517716	0.119346	0.17546	0.179437	0.162619	0.142312	0.136936
a43	0.00703225	0.011665	0.0292337	0.079209	0.151004	0.172271	0.184591	0.185719	0.179275
a54	0.00677893	0.0101793	0.0287585	0.07136	0.146546	0.171042	0.179016	0.183334	0.202985
a47	0.009461	0.0140258	0.033739	0.0606894	0.125234	0.176405	0.184705	0.169684	0.226057
a56	0.0103566	0.016706	0.0419665	0.0668275	0.142658	0.183095	0.156753	0.132933	0.248704
a7	0.0050881	0.00886923	0.0189748	0.0400607	0.108101	0.149798	0.176146	0.203443	0.289519
a37	0.00517404	0.00885065	0.022447	0.0375236	0.0920333	0.120363	0.164497	0.208525	0.340585
a96	0.00378671	0.00642851	0.0152491	0.0240558	0.0610585	0.0746993	0.139771	0.224686	0.450265
a66	0.00350026	0.00540991	0.0121375	0.0199203	0.0492062	0.0652122	0.13032	0.238707	0.475587
a83	0.00221811	0.00246549	0.00521199	0.00692605	0.0167022	0.0255442	0.0844753	0.252745	0.603711
a90	0.00133157	0.00152984	0.00326935	0.00438558	0.0116777	0.0184016	0.0738519	0.256587	0.628965
a15	0.00192545	0.00361987	0.0082834	0.0152372	0.0421763	0.0619117	0.129365	0.235988	0.501493
a79	0.00131092	0.00280899	0.00733524	0.0122497	0.035672	0.0517092	0.113171	0.203018	0.572725
a54	0.00103879	0.00181293	0.00444903	0.00847174	0.0237433	0.0334212	0.0837862	0.193824	0.649453
a7	0.00123946	0.00217231	0.00497054	0.0101755	0.0279899	0.0445468	0.10374	0.199812	0.605354
a54	0.000722545	0.00120984	0.00295411	0.00725339	0.0214774	0.0365627	0.0938319	0.213292	0.622696
a7	0.00126238	0.00192973	0.00424976	0.00949207	0.0261687	0.0446421	0.104414	0.196175	0.611666
a26	0.000578222	0.000736507	0.0016227	0.00333392	0.00946955	0.0155737	0.0613994	0.208765	0.698522
a27	0.00476672	0.00355154	0.00577287	0.00821023	0.0185957	0.0258504	0.105485	0.337347	0.49042
a10	0.0299805	0.018238	0.0226735	0.0268855	0.044217	0.0495119	0.118062	0.28913	0.401302
a87	0.117149	0.067531	0.0528275	0.0444448	0.0527275	0.0589943	0.101906	0.220635	0.283784
a97	0.0870021	0.0600203	0.0596725	0.0472979	0.0541439	0.0710263	0.112896	0.22214	0.2858
</S>	0.0766994	0.0551773	0.0634656	0.0575838	0.0814494	0.104144	0.130673	0.204182	0.226625
