 	on	recherchait	une	bouffée	d'	air	frais	</S>
a85	0.191918	0.0760965	0.0768006	0.0935165	0.170814	0.222725	0.114936	0.0531933
a87	0.147608	0.066384	0.0444218	0.0821209	0.175132	0.262779	0.145141	0.0764127
a23	0.138237	0.13869	0.117088	0.117073	0.136287	0.135201	0.110638	0.106785
a87	0.220742	0.180821	0.114247	0.0616643	0.0718803	0.111226	0.0934237	0.145996
a23	0.195774	0.217888	0.153712	0.0773169	0.0776256	0.0952801	0.0783463	0.104057
a87	0.22665	0.177896	0.101534	0.0587503	0.0646953	0.121505	0.105153	0.143816
a23	0.201802	0.175298	0.110668	0.071529	0.072389	0.120449	0.109309	0.138556
a83	0.284327	0.160722	0.0899372	0.056733	0.0567743	0.0898906	0.106587	0.155028
a24	0.397134	0.29838	0.168443	0.0744507	0.0277442	0.0188697	0.0100865	0.00489157
a41	0.343061	0.339413	0.170975	0.0627953	0.0313452	0.0270216	0.0154765	0.00991199
a32	0.254839	0.300128	0.216061	0.0784335	0.053375	0.0451007	0.0312999	0.0207627
a61	0.261846	0.284036	0.237604	0.0918521	0.0570784	0.0376345	0.0188406	0.0111088
a41	0.222505	0.259876	0.242551	0.106713	0.0796232	0.0523307	0.0230039	0.0133981
a35	0.162244	0.19608	0.225057	0.133415	0.116551	0.088662	0.0484751	0.0295164
a41	0.186662	0.185169	0.211726	0.133537	0.11442	0.0917319	0.0451451	0.0316096
a24	0.17048	0.159623	0.182314	0.137841	0.138034	0.109832	0.0583576	0.0435175
a41	0.124518	0.128834	0.125775	0.101697	0.156896	0.162977	0.107211	0.0920925
a35	0.109874	0.0988207	0.105984	0.0909398	0.165151	0.177736	0.140232	0.111263
a14	0.0958203	0.0712948	0.072084	0.0611257	0.151339	0.213093	0.185625	0.149618
a41	0.0695553	0.0475071	0.0479069	0.0485208	0.134849	0.231764	0.21782	0.202076
a35	0.0693452	0.0428467	0.0425264	0.0448836	0.121306	0.197486	0.229889	0.251717
a41	0.0716656	0.0464602	0.0495478	0.0523718	0.102913	0.15821	0.222496	0.296335
a14	0.0560536	0.032851	0.0349674	0.0412822	0.0870448	0.164401	0.240002	0.343398
a73	0.0450748	0.0282921	0.0303085	0.0395408	0.0767687	0.151355	0.236822	0.391838
a84	0.021976	0.0129671	0.0126982	0.0158068	0.0356427	0.132968	0.264637	0.503304
a38	0.015904	0.00740348	0.00510745	0.00950652	0.0278455	0.0646289	0.199218	0.670386
a75	0.0221745	0.00852849	0.00518319	0.00908109	0.0296365	0.0662314	0.171998	0.687167
a37	0.0101789	0.00530986	0.00392979	0.00500904	0.0169055	0.0456762	0.159529	0.753462
a27	0.00809844	0.00401814	0.00330648	0.00576916	0.0187409	0.0486415	0.140574	0.770851
a38	0.0108962	0.00497319	0.00382672	0.0111605	0.0382021	0.0741674	0.167029	0.689745
a18	0.0114563	0.00609769	0.00540965	0.0156502	0.0407886	0.0628448	0.146646	0.711107
a25	0.0129445	0.00637849	0.00704434	0.0239184	0.0770501	0.0904794	0.140668	0.641516
a87	0.0106214	0.00673569	0.00814673	0.0216932	0.0502149	0.0681401	0.138049	0.696399
a23	0.0187968	0.00676241	0.0103203	0.0177979	0.0443403	0.0848128	0.170234	0.646936
a87	0.0660843	0.0333574	0.043956	0.0391762	0.07877	0.106538	0.189239	0.44288
</S>	0.0243208	0.00863853	0.011181	0.0162638	0.0470807	0.0985689	0.180958	0.612988
