 	j'	ai	gardé	un	morceau	de	goudron	dans	une	boite	</S>
a58	0.162657	0.113614	0.110546	0.0823013	0.0806634	0.0859089	0.117976	0.11519	0.0603003	0.0404168	0.0304278
a9	0.216872	0.144198	0.0748106	0.0525422	0.0761959	0.0779394	0.0742389	0.0883936	0.0635958	0.0585152	0.0726979
a97	0.34392	0.195336	0.0897347	0.0546511	0.0600122	0.0531857	0.0493437	0.0464997	0.0312056	0.0304071	0.045704
a3	0.342971	0.192803	0.103163	0.0687079	0.0631631	0.0564839	0.0499078	0.040595	0.0273385	0.0252627	0.0296035
a9	0.313175	0.201804	0.118974	0.0771009	0.0741354	0.0597324	0.050398	0.0401596	0.0245559	0.0195152	0.02045
a83	0.343693	0.198719	0.104745	0.0661579	0.0626084	0.0528827	0.0435733	0.0395958	0.0283287	0.0285444	0.0311514
a99	0.17872	0.138179	0.118091	0.0826673	0.0955905	0.0793761	0.0961579	0.0733313	0.0462985	0.0469125	0.0446754
a31	0.142838	0.133771	0.136003	0.0994475	0.111163	0.0863513	0.103638	0.0639408	0.0353341	0.0389896	0.0485234
a83	0.188766	0.187018	0.162548	0.113433	0.100642	0.0794641	0.0757697	0.0318398	0.0180118	0.0181652	0.0243427
a90	0.170858	0.197274	0.178815	0.130244	0.101296	0.0794673	0.0647641	0.0243752	0.0147453	0.0156446	0.0225178
a25	0.0943477	0.132643	0.170674	0.149691	0.125997	0.106259	0.110296	0.0434766	0.0218453	0.0194263	0.025345
a70	0.0867819	0.120453	0.142663	0.147574	0.128024	0.131603	0.120683	0.0477282	0.0253316	0.0215659	0.0275925
a66	0.0419563	0.054184	0.0849237	0.104227	0.101314	0.119324	0.13072	0.0905513	0.0814696	0.0872847	0.104045
a61	0.0398415	0.0447757	0.0653084	0.0827745	0.0877947	0.108285	0.126298	0.0978327	0.108502	0.112629	0.125959
a66	0.06024	0.0603794	0.0642161	0.0824324	0.0841548	0.122703	0.116819	0.109519	0.110922	0.0909887	0.0976253
a38	0.0167561	0.0141523	0.0181519	0.0278843	0.0330455	0.0580549	0.0918174	0.113075	0.18046	0.230198	0.216404
a11	0.0100346	0.0074682	0.00919202	0.0145994	0.0173581	0.036535	0.0634892	0.112789	0.187259	0.278028	0.263247
a96	0.0102277	0.00673524	0.00689129	0.00943987	0.0101634	0.0209097	0.034409	0.0968762	0.19853	0.3047	0.301118
a34	0.00697571	0.00459937	0.00458896	0.00632149	0.00761178	0.0137889	0.0238423	0.0824077	0.191863	0.316749	0.341252
a0	0.00515358	0.00318897	0.00324355	0.00454208	0.00596895	0.0111298	0.0183415	0.0762308	0.189045	0.326465	0.35669
a62	0.00140621	0.000910522	0.00114783	0.00186608	0.00313819	0.0060375	0.0106742	0.053343	0.169449	0.326799	0.425229
a34	0.00358988	0.00246019	0.00236844	0.00319355	0.00486662	0.00796022	0.0104109	0.052091	0.153523	0.313052	0.446484
a75	0.00127833	0.000855172	0.00103064	0.00159987	0.00261214	0.00491879	0.00871587	0.0414945	0.140398	0.325854	0.471242
a85	0.00343772	0.00216741	0.00240325	0.00375848	0.00563255	0.00976723	0.0115907	0.0419226	0.109115	0.325713	0.484492
a37	0.00643546	0.0046035	0.00496737	0.00643132	0.00924274	0.0145985	0.0144548	0.0504593	0.117233	0.312558	0.459016
a83	0.00149247	0.00082765	0.000771766	0.00102479	0.00167582	0.00301736	0.00449448	0.0215719	0.0977684	0.328955	0.5384
a38	0.00424046	0.00273982	0.00225741	0.00271591	0.00358975	0.00557883	0.00662362	0.0200099	0.0854426	0.332904	0.533897
a27	0.0132646	0.00860232	0.006255	0.00693062	0.00757733	0.0109822	0.00993101	0.0209474	0.0773666	0.306955	0.531188
a57	0.0679251	0.0393435	0.0240611	0.0240183	0.0249231	0.0309587	0.018791	0.0322591	0.0763717	0.21439	0.446958
a87	0.148956	0.0848956	0.0380879	0.0280364	0.0299464	0.032702	0.0202929	0.0445713	0.0891262	0.178627	0.304759
a23	0.138474	0.089851	0.0411932	0.0258504	0.0303064	0.0289135	0.0189627	0.0430011	0.0850902	0.189098	0.30926
a9	0.132251	0.0761638	0.0334127	0.025081	0.0273889	0.0327439	0.0192563	0.0449474	0.0971715	0.204829	0.306754
</S>	0.149543	0.0889667	0.0371992	0.0273416	0.032626	0.0395746	0.0204901	0.0545716	0.0935557	0.166943	0.289188
