 	cette	manière	de	griller	les	banane	demande	beaucoup	d'	huile	</S>
a66	0.222009	0.170176	0.14787	0.161402	0.108378	0.0674945	0.0556276	0.0292696	0.0177567	0.010047	0.00997042
a87	0.411917	0.269313	0.157775	0.115958	0.0199305	0.00809715	0.00364437	0.00364986	0.00275739	0.0029295	0.00402943
a23	0.289338	0.313867	0.201709	0.106908	0.0329757	0.0213408	0.0100409	0.00740513	0.00560507	0.00450035	0.00630906
a5	0.179322	0.274357	0.184228	0.0779765	0.0496385	0.04208	0.0305049	0.0279593	0.027763	0.0368328	0.0693376
a23	0.248294	0.254326	0.192608	0.126163	0.0382311	0.0339952	0.0275015	0.0187717	0.0171379	0.0194048	0.0235667
a85	0.192984	0.21233	0.173867	0.216696	0.076775	0.0556994	0.0284194	0.0131339	0.0107111	0.00944093	0.00994243
a6	0.0943907	0.125695	0.129915	0.256903	0.100398	0.102964	0.0680377	0.0369597	0.0302346	0.0267634	0.0277397
a12	0.0700515	0.13532	0.15729	0.278696	0.107614	0.0951023	0.0570111	0.0295759	0.0251327	0.02217	0.0220368
a21	0.0665047	0.129873	0.159758	0.233161	0.127794	0.124869	0.0645107	0.0389319	0.0235362	0.0160818	0.0149796
a85	0.0538881	0.104466	0.134692	0.220423	0.134545	0.138398	0.0836571	0.0577994	0.0345004	0.0202619	0.0173691
a6	0.0199126	0.0443596	0.0942611	0.183694	0.184918	0.162401	0.122481	0.076285	0.0557695	0.0324429	0.0234751
a36	0.0240882	0.0383196	0.0739411	0.175075	0.204485	0.187958	0.118112	0.0783523	0.0488093	0.0289702	0.0218891
a92	0.026303	0.0306352	0.0628043	0.146852	0.201946	0.179306	0.112759	0.0799481	0.0570954	0.0499375	0.0524123
a12	0.0178491	0.0195772	0.0448641	0.120128	0.194762	0.178312	0.116068	0.095599	0.0823213	0.0689027	0.0616164
a21	0.00866064	0.00928003	0.0182642	0.046744	0.146536	0.165119	0.147862	0.130504	0.120711	0.107657	0.0986623
a47	0.00499286	0.00549304	0.00977967	0.0217783	0.0774193	0.115836	0.153959	0.160072	0.163074	0.151249	0.136347
a31	0.0066341	0.00640397	0.0111058	0.0264494	0.0882957	0.139816	0.170694	0.154369	0.136459	0.130104	0.129669
a21	0.00392088	0.0033885	0.0057227	0.0138224	0.0484935	0.0837911	0.164855	0.201441	0.183625	0.152185	0.138753
a85	0.0019125	0.00166285	0.00248327	0.00558252	0.0156322	0.0312938	0.0968341	0.17682	0.23396	0.225868	0.207951
a47	0.000784967	0.000674035	0.00140203	0.00345371	0.012882	0.0304199	0.0818792	0.157829	0.186681	0.241658	0.282336
a79	0.000529931	0.000302587	0.000595526	0.00152201	0.00504722	0.0113294	0.0366007	0.106318	0.233231	0.297504	0.30702
a90	0.000129108	0.00010037	0.000238848	0.000608248	0.00215537	0.0052746	0.0236531	0.0776508	0.190378	0.347872	0.35194
a92	0.000142037	0.000100786	0.000167308	0.000542716	0.00152316	0.00342026	0.0174555	0.0692226	0.184465	0.357237	0.365723
a6	0.000115435	6.68428e-05	0.0001231	0.000442263	0.00131886	0.00330587	0.013819	0.0532587	0.158	0.357521	0.412029
a7	9.71266e-05	5.72598e-05	9.23236e-05	0.000278564	0.000867654	0.00239209	0.0104155	0.0438695	0.134336	0.353466	0.454129
a26	0.000290145	0.000188861	0.000292883	0.000795944	0.00128921	0.00231057	0.00687987	0.0352133	0.122897	0.325634	0.504208
a84	0.0116599	0.00919975	0.0093399	0.0181356	0.0143405	0.01741	0.0291145	0.0635161	0.134899	0.270463	0.421922
a82	0.0488281	0.0391356	0.0339776	0.0573484	0.0425722	0.0486231	0.0597048	0.0736021	0.11713	0.202745	0.276333
a87	0.152237	0.12938	0.0748733	0.0821346	0.055631	0.045563	0.0547366	0.0627882	0.0950202	0.117889	0.129748
a97	0.155634	0.137937	0.0963185	0.089702	0.0679205	0.0529892	0.0745923	0.0826133	0.0919031	0.0809105	0.0694803
a87	0.112632	0.0957057	0.0664318	0.0631412	0.0473083	0.0418097	0.0587568	0.0751603	0.0853559	0.136415	0.217283
a23	0.101174	0.0874011	0.0621792	0.0635427	0.0667392	0.062015	0.0656851	0.0755475	0.0817696	0.132638	0.201309
a99	0.0153962	0.0116221	0.00878274	0.00913522	0.00965206	0.0117091	0.0218087	0.0683108	0.10469	0.261235	0.477658
a87	0.0115152	0.0092221	0.00743888	0.0105611	0.0133873	0.0164292	0.0268936	0.0742302	0.108018	0.254581	0.467723
a97	0.00779183	0.00547322	0.00445273	0.00589137	0.00808798	0.0111339	0.0184946	0.0602416	0.0953185	0.268998	0.514116
</S>	0.0183994	0.0125995	0.0108238	0.012256	0.0139665	0.0163023	0.0237594	0.0638288	0.0940457	0.246558	0.487461
