 	je	ne	bougerai	pas	d'	ici	</S>
a23	0.385294	0.161125	0.116865	0.141976	0.103921	0.0537574	0.0370613
a10	0.534361	0.20229	0.136259	0.0667013	0.0293687	0.0150782	0.0159423
a87	0.301825	0.248991	0.195641	0.0996799	0.0622364	0.0432842	0.0483434
a23	0.317898	0.216522	0.189043	0.107652	0.06646	0.0484113	0.0540135
a83	0.327202	0.238085	0.146077	0.0913954	0.0773582	0.0524913	0.0673913
a11	0.397947	0.334197	0.19105	0.0466827	0.0166001	0.00785341	0.00567023
a31	0.320517	0.327002	0.274205	0.0478775	0.0142754	0.00867522	0.00744769
a61	0.344889	0.298293	0.267143	0.0592077	0.0148553	0.00847973	0.00713257
a0	0.277223	0.258549	0.272425	0.112763	0.0375304	0.0224513	0.0190581
a75	0.172437	0.184195	0.224872	0.188642	0.100265	0.0693469	0.0602424
a66	0.15098	0.146489	0.210645	0.214914	0.114136	0.0852349	0.0776012
a0	0.0573544	0.0709648	0.137773	0.233104	0.203653	0.160726	0.136426
a75	0.0303696	0.0316522	0.0663585	0.194885	0.250032	0.228738	0.197965
a85	0.0203067	0.0211455	0.0458742	0.165833	0.249483	0.250507	0.24685
a36	0.012244	0.0135417	0.0235881	0.0828952	0.207859	0.320876	0.338995
a75	0.00605892	0.00468444	0.00875995	0.0419706	0.162578	0.322752	0.453197
a47	0.00341456	0.0031596	0.00584938	0.0264069	0.112665	0.331144	0.517361
a36	0.00185322	0.00223855	0.00532169	0.0330573	0.131075	0.338039	0.488415
a2	0.00225567	0.00201962	0.00481446	0.0293144	0.109922	0.300036	0.551637
a57	0.00811796	0.00625866	0.00709213	0.0188751	0.06325	0.247353	0.649053
a10	0.0917453	0.0336192	0.0318261	0.0500639	0.0863377	0.224599	0.481809
a87	0.232763	0.0953024	0.0905377	0.112272	0.12727	0.153093	0.188762
a23	0.125265	0.0693821	0.0937509	0.157561	0.185931	0.177855	0.190254
a87	0.0712943	0.0409518	0.0572196	0.106094	0.198088	0.248428	0.277924
</S>	0.0124873	0.0113077	0.0242	0.071464	0.156655	0.284131	0.439756
